panel_id,arm,behaviour_cluster,strict_rows,exact_identities,economic_hypotheses,development_survivors
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:1283de0f506065c32ca850ad,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:134e515a71cabc01c5e9fc69,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:1b40ed4e96eee1e878e202eb,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:2913f9b194c2d1a9353a28da,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:2b557804190b632477719e40,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:41ab5ba9678af9dd997c0c9b,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:4ab33af3c0e2e3b677e5ac69,1,1,1,1
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:52e5cfc516e16d5dfdefd946,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:5a24405d2960e78bd746ad01,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:5c02a0257d18c3b549122d6d,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:5cad6e8f4273b50026fda9c1,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:5dacb5bd73f8527fc1f275c1,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:6dcd1e3d24e3e7c22805efd4,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:776575cf27528b02d9f8b2b4,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:7bab8bc0ad3ded7807c69a9a,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:7c99a3c75a400c74ebe565a9,4,4,4,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:7ea4b96e6152043192f8ee54,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:876e70dd100d2e328c5dde60,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:98c005bfc64e94f492b82771,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:9a599c9ea4c6f924af8bba34,1,1,1,0
bbo_micro,GLOBAL_TOP_K_CONTROL,behaviour-cluster:a2032f9c432934d47c038cef,1,1,1,0
