panel_id,lane_id,proposals,legal_candidates,legal_candidate_rate,canonical_identities,exact_identities,stratified_admissions,stratified_strict_evaluations,runtime_seconds,failure_rate
bbo_micro,bbo_temporal_event_micro,512,490,0.95703125,256,95,64,32,2.308795199962333,0.04296875
main,adaptive_challenger,512,493,0.962890625,306,184,49,32,12.679498599958606,0.037109375
main,basis_oi_state,512,486,0.94921875,256,120,64,32,9.109767300018575,0.05078125
main,competitor_reproduction,512,382,0.74609375,256,109,64,32,8.958344599988777,0.25390625
main,cross_asset_state,512,400,0.78125,256,47,47,32,7.760442400001921,0.21875
main,funding_event,512,182,0.35546875,240,27,27,27,23.535570799955167,0.64453125
main,orthogonal_exile,512,484,0.9453125,256,93,64,32,34.99748240003828,0.0546875
main,static_cross_sectional,512,504,0.984375,256,151,64,32,8.262126899964642,0.015625
main,temporal_program,512,408,0.796875,256,79,64,32,11.113738999993075,0.203125
main,volatility_session,512,306,0.59765625,256,57,57,32,7.395336800022051,0.40234375
