blueprint_id,label_rows,clue_rows_all_labels,non_l7_clue_rows_all_labels,non_l7_clue_label_family_count,clue_horizon_count,min_control_ratio,median_control_ratio,max_control_ratio,max_score_no_may,max_cost10
a7ls15_04d0fe57519a6e45,20,2,2,2,1,0.6466220440763166,2.366209078940267,119.08222811671304,,0.0642100933627317
a7ls15_42dc6539d51aca8b,20,1,1,1,1,0.1079680341531996,0.830894284530811,10.037759563085377,,0.4875059907860676
a7ls15_6b338a109f660b8c,20,2,2,1,2,0.6678077210487531,1.9772543152700846,70.70298842213731,,0.3561387925878742
a7ls15_7355ef8aa37d5217,20,1,1,1,1,0.0751875782148505,0.7369775597026501,3.6797715853575386,,0.3573140029547492
a7ls15_78478a819e0cd255,20,4,2,2,3,0.5497113370309218,1.0046084960392712,6.129280161150917,,0.1074825646379599
a7ls15_83b2ec53c58ee01a,20,1,1,1,1,0.1717256967292881,0.7442606410769183,8.365585751839042,,0.141773970634782
a7ls15_982c459fa90224ed,20,5,4,4,2,0.2084420360368272,0.8713713172490325,45.5171025341748,,0.4626159168701736
