cell_id,generated,unique_expr,simplified_unique,unique_expr_ratio,simplified_unique_ratio,zero_activity_predicted,zero_activity_predicted_share,unsupported_operator_count,may_dependency_count,liquidity_volatility_motif_share,feature_family_combo_count,operator_motif_count,horizon_class_count,engine_mix_count
C0000,512,456,456,0.890625,0.890625,0,0.0,0,0,0.0,1,1,1,7
C0001,512,456,456,0.890625,0.890625,0,0.0,0,0,0.0,1,1,1,7
C0002,512,456,456,0.890625,0.890625,0,0.0,0,0,0.0,3,1,1,7
C0003,512,101,101,0.197265625,0.197265625,0,0.0,0,0,0.0,1,1,1,7
C0004,512,456,456,0.890625,0.890625,0,0.0,0,0,0.0,1,1,1,7
C0005,512,101,101,0.197265625,0.197265625,0,0.0,0,0,0.0,1,1,1,7
C0006,512,101,101,0.197265625,0.197265625,0,0.0,0,0,0.0,1,1,1,7
C0007,512,456,456,0.890625,0.890625,0,0.0,0,0,0.0,5,1,1,7
C0008,512,101,101,0.197265625,0.197265625,0,0.0,0,0,0.0,1,1,1,7
C0009,512,470,470,0.91796875,0.91796875,0,0.0,0,0,0.0,1,1,1,7
C0010,512,456,456,0.890625,0.890625,0,0.0,0,0,0.0,1,1,1,7
C0011,512,101,101,0.197265625,0.197265625,0,0.0,0,0,1.0,1,1,1,7
C0012,512,456,456,0.890625,0.890625,0,0.0,0,0,0.0,1,1,1,7
C0013,512,456,456,0.890625,0.890625,0,0.0,0,0,0.0,1,1,1,7
C0014,512,470,470,0.91796875,0.91796875,0,0.0,0,0,0.0,1,1,1,7
C0015,512,308,308,0.6015625,0.6015625,0,0.0,0,0,0.0,1,1,1,7
C0016,512,101,101,0.197265625,0.197265625,0,0.0,0,0,0.201171875,5,1,1,7
C0017,512,101,101,0.197265625,0.197265625,0,0.0,0,0,0.0,1,1,1,7
C0018,512,456,456,0.890625,0.890625,0,0.0,0,0,0.0,3,1,1,7
C0019,512,101,101,0.197265625,0.197265625,0,0.0,0,0,0.0,1,1,1,7
C0020,512,456,456,0.890625,0.890625,0,0.0,0,0,0.201171875,5,1,1,7
