cell_id,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,turnover_class,regime_fold_target,dry_generated_per_cell,l1_generated_per_cell,l1_strict_replay_per_cell,l1_deep_audit_per_cell,l2_generated_per_cell,l3_generated_per_cell
C0000,H11_regime_conditional_non_may,P0_price_return,ResidualizeVsCore4,spread_12_vs_48,same_symbol_zscore,FundingCore,lag_stable,F7_trend_reversal,512,2048,24,3,4096,8192
C0001,H00_low_turnover_robust,P0_price_return,SmoothInteraction,H24,cross_symbol_rank,FundingCore,medium_turnover,F7_trend_reversal,512,2048,24,3,4096,8192
C0002,H14_open_ast_cem_diversity,P14_horizon_spread,TSRankMul,H12,cross_symbol_zscore,FundingCore_and_Core4,low_turnover,F6_cross_symbol_dispersion,512,2048,24,3,4096,8192
C0003,H13_symbol_tier_relative,P11_volatility_basis,Rank,spread_6_vs_24,same_symbol_zscore,Core4,low_turnover,F11_cross_symbol_crowding,512,2048,24,3,4096,8192
C0004,H14_open_ast_cem_diversity,P2_liquidity,TSRankMul,H72,same_symbol_rank,none,low_turnover,F2_low_liquidity,512,2048,24,3,4096,8192
C0005,H00_low_turnover_robust,P9_price_basis,WinsorZScore,mixed_6_24,same_symbol_rank,FundingCore,lag_stable,F6_cross_symbol_dispersion,512,2048,24,3,4096,8192
C0006,H15_placebo_null_adversarial,P2_liquidity,RollingMinRank,H72,same_symbol_rank,FundingCore_and_Core4,low_turnover,F11_cross_symbol_crowding,512,2048,24,3,4096,8192
C0007,H06_liquidity_structure_ex_realized_vol_mul,P7_cross_symbol_relative,SafeDivZScore,H72,cross_symbol_rank,FundingCore,lag_stable,F4_basis_dislocation,512,2048,24,3,4096,8192
C0008,H06_liquidity_structure_ex_realized_vol_mul,P2_liquidity,RollingMinRank,H12,same_symbol_zscore,FundingCore,low_turnover,F10_volatility_compression,512,2048,24,3,4096,8192
C0009,H15_placebo_null_adversarial,P4_taker_flow,TSRankMul,mixed_6_24,same_symbol_rank,none,low_turnover,F0_calendar_blocks,512,2048,24,3,4096,8192
C0010,H15_placebo_null_adversarial,P9_price_basis,SubRank,mixed_6_24,cross_symbol_zscore,FundingCore,low_turnover,F10_volatility_compression,512,2048,24,3,4096,8192
C0011,H13_symbol_tier_relative,P13_trade_size_volatility,DecayZScore,mixed_12_48,cross_symbol_rank,Core4,low_turnover,F1_high_realized_vol,512,2048,24,3,4096,8192
C0012,H06_liquidity_structure_ex_realized_vol_mul,P2_liquidity,SafeDivZScore,H12,cross_symbol_zscore,FundingCore_and_Core4,low_turnover,F9_liquidity_shock,512,2048,24,3,4096,8192
C0013,H03_basis_premium_residual,P12_liquidity_flow,MulRankRank,mixed_6_24,cross_symbol_rank,none,lag_stable,F5_funding_neutral,512,2048,24,3,4096,8192
C0014,H07_taker_flow_lag_stable,P4_taker_flow,AddZScore,H48,cross_symbol_zscore,FundingCore,lag_stable,F2_low_liquidity,512,2048,24,3,4096,8192
C0015,H10_range_breakout_failure,P10_price_liquidity,HorizonSpread,H48,same_symbol_rank,FundingCore_and_Core4,lag_stable,F2_low_liquidity,512,2048,24,3,4096,8192
C0016,H12_horizon_ensemble_stability,P8_regime_state,DecayZScore,mixed_12_48,cross_symbol_rank,FundingCore,medium_turnover,F6_cross_symbol_dispersion,512,2048,24,3,4096,8192
C0017,H00_low_turnover_robust,P2_liquidity,TSStdZScore,H72,cross_symbol_zscore,none,medium_turnover,F2_low_liquidity,512,2048,24,3,4096,8192
C0018,H01_cross_symbol_relative_strength,P14_horizon_spread,ResidualizeVsCore4,spread_12_vs_48,cross_symbol_rank,Core4,lag_stable,F7_trend_reversal,512,2048,24,3,4096,8192
C0019,H06_liquidity_structure_ex_realized_vol_mul,P9_price_basis,CrossSymbolRank,mixed_12_48,cross_symbol_rank,none,medium_turnover,F3_high_liquidity_high_vol,512,2048,24,3,4096,8192
C0020,H00_low_turnover_robust,P8_regime_state,MulRankRank,H72,same_symbol_zscore,Core4,low_turnover,F0_calendar_blocks,512,2048,24,3,4096,8192
C0021,H13_symbol_tier_relative,P6_funding_observable,SubRank,H6,same_symbol_rank,Core4,medium_turnover,F6_cross_symbol_dispersion,512,2048,24,3,4096,8192
C0022,H04_basis_compression_expansion,P4_taker_flow,DeltaRank,H24,cross_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,512,2048,24,3,4096,8192
C0023,H08_trade_size_microstructure_lite,P0_price_return,TSRankMul,mixed_12_48,same_symbol_rank,Core4,medium_turnover,F3_high_liquidity_high_vol,512,2048,24,3,4096,8192
C0024,H15_placebo_null_adversarial,P7_cross_symbol_relative,ResidualizeVsCore4,H48,same_symbol_rank,FundingCore,medium_turnover,F10_volatility_compression,512,2048,24,3,4096,8192
C0025,H02_cross_symbol_dispersion_reversal,P0_price_return,TSStdZScore,mixed_6_24,cross_symbol_rank,Core4,lag_stable,F3_high_liquidity_high_vol,512,2048,24,3,4096,8192
C0026,H00_low_turnover_robust,P15_open_ast_diverse,TSRankMul,spread_6_vs_24,same_symbol_rank,Core4,lag_stable,F0_calendar_blocks,512,2048,24,3,4096,8192
C0027,H01_cross_symbol_relative_strength,P7_cross_symbol_relative,TSMeanRank,mixed_12_48,cross_symbol_zscore,none,low_turnover,F10_volatility_compression,512,2048,24,3,4096,8192
C0028,H12_horizon_ensemble_stability,P8_regime_state,ResidualizeVsFundingCore,mixed_6_24,same_symbol_zscore,FundingCore_and_Core4,lag_stable,F0_calendar_blocks,512,2048,24,3,4096,8192
C0029,H13_symbol_tier_relative,P4_taker_flow,SafeDivZScore,spread_6_vs_24,cross_symbol_rank,FundingCore_and_Core4,low_turnover,F4_basis_dislocation,512,2048,24,3,4096,8192
C0030,H08_trade_size_microstructure_lite,P15_open_ast_diverse,SafeDivZScore,H12,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F11_cross_symbol_crowding,512,2048,24,3,4096,8192
C0031,H08_trade_size_microstructure_lite,P3_trade_size,SubRank,H48,same_symbol_zscore,FundingCore,low_turnover,F2_low_liquidity,512,2048,24,3,4096,8192
C0032,H02_cross_symbol_dispersion_reversal,P0_price_return,TSStdZScore,spread_12_vs_48,cross_symbol_zscore,FundingCore_and_Core4,low_turnover,F3_high_liquidity_high_vol,512,2048,24,3,4096,8192
C0033,H01_cross_symbol_relative_strength,P7_cross_symbol_relative,ResidualizeVsFundingCore,ensemble_6_12_24_48,cross_symbol_rank,FundingCore_and_Core4,lag_stable,F6_cross_symbol_dispersion,512,2048,24,3,4096,8192
C0034,H02_cross_symbol_dispersion_reversal,P5_basis_premium,HorizonSpread,mixed_6_24,same_symbol_zscore,FundingCore,low_turnover,F7_trend_reversal,512,2048,24,3,4096,8192
C0035,H05_volatility_structure_ex_liquidity_mul,P5_basis_premium,TSMeanRank,H12,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F3_high_liquidity_high_vol,512,2048,24,3,4096,8192
C0036,H06_liquidity_structure_ex_realized_vol_mul,P3_trade_size,TSStdZScore,H48,same_symbol_rank,FundingCore_and_Core4,low_turnover,F9_liquidity_shock,512,2048,24,3,4096,8192
C0037,H10_range_breakout_failure,P8_regime_state,HorizonSpread,spread_12_vs_48,same_symbol_zscore,none,lag_stable,F6_cross_symbol_dispersion,512,2048,24,3,4096,8192
C0038,H07_taker_flow_lag_stable,P7_cross_symbol_relative,SafeDivZScore,H12,same_symbol_zscore,Core4,low_turnover,F5_funding_neutral,512,2048,24,3,4096,8192
C0039,H01_cross_symbol_relative_strength,P10_price_liquidity,SafeDivZScore,H48,cross_symbol_zscore,FundingCore,medium_turnover,F2_low_liquidity,512,2048,24,3,4096,8192
C0040,H09_trend_reversal_horizon_mix,P11_volatility_basis,ResidualizeVsCore4,spread_12_vs_48,same_symbol_rank,FundingCore_and_Core4,low_turnover,F2_low_liquidity,512,2048,24,3,4096,8192
C0041,H14_open_ast_cem_diversity,P15_open_ast_diverse,SafeDivZScore,mixed_12_48,cross_symbol_zscore,FundingCore_and_Core4,medium_turnover,F10_volatility_compression,512,2048,24,3,4096,8192
C0042,H05_volatility_structure_ex_liquidity_mul,P10_price_liquidity,SafeDivZScore,H72,same_symbol_rank,Core4,low_turnover,F4_basis_dislocation,512,2048,24,3,4096,8192
C0043,H03_basis_premium_residual,P0_price_return,ResidualizeVsCore4,H12,same_symbol_rank,Core4,lag_stable,F0_calendar_blocks,512,2048,24,3,4096,8192
