horizon_class,primary_hours,may_dependency_allowed
H6,6,False
H12,12,False
H24,24,False
H48,48,False
H72,72,False
mixed_6_24,6,False
mixed_12_48,6,False
spread_6_vs_24,6,False
spread_12_vs_48,6,False
ensemble_6_12_24_48,6,False
