candidate_id,objective_family,split,control_variant,oriented_original_abs,oriented_control_abs,control_ratio,control_dominates
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,validation_2025H1,wrong_lag_future_24h,,,,False
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,validation_2025H1,wrong_lag_stale_168h,,,,False
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,validation_2025H1,time_shuffle,,0.0004408872231238,,False
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,validation_2025H1,symbol_shuffle,,,,False
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,validation_2025H1,same_family_random,,0.0003654650812819,,False
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,test_2025H2,wrong_lag_future_24h,,,,False
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,test_2025H2,wrong_lag_stale_168h,,,,False
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,test_2025H2,time_shuffle,,0.0075859855093954,,False
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,test_2025H2,symbol_shuffle,,,,False
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,test_2025H2,same_family_random,,0.0003672011702556,,False
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,recent_oos_2026JanApr,wrong_lag_future_24h,0.0056520188798019,0.0114803907442748,2.0312017685045634,True
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,recent_oos_2026JanApr,wrong_lag_stale_168h,0.0056520188798019,0.0067131121505466,1.1877370357938173,True
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,recent_oos_2026JanApr,time_shuffle,0.0056520188798019,0.0091423094018685,1.6175298767206052,True
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,recent_oos_2026JanApr,symbol_shuffle,0.0056520188798019,0.0016627854313884,0.29419318419663165,False
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,recent_oos_2026JanApr,same_family_random,0.0056520188798019,0.0009096081192214,0.16093508152847524,False
a7al2z1_5d8b43fa29769147,Z0_funding_basis_premium_dislocation,validation_2025H1,wrong_lag_future_24h,0.0001217793853298,0.0004695365595554,3.855632529954166,True
a7al2z1_5d8b43fa29769147,Z0_funding_basis_premium_dislocation,validation_2025H1,wrong_lag_stale_168h,0.0001217793853298,0.001130581581676,9.283850288898948,True
a7al2z1_5d8b43fa29769147,Z0_funding_basis_premium_dislocation,validation_2025H1,time_shuffle,0.0001217793853298,0.0003861707091759,3.1710679778033186,True
a7al2z1_5d8b43fa29769147,Z0_funding_basis_premium_dislocation,validation_2025H1,symbol_shuffle,0.0001217793853298,0.0006724490624016,5.5218628389401845,True
