objective_family,control_variant,median_control_ratio,max_control_ratio,dominated_count
Z0_funding_basis_premium_dislocation,wrong_lag_future_24h,1.5948295053943138,550.9709166097758,26
Z0_funding_basis_premium_dislocation,wrong_lag_stale_168h,0.8314174052315143,60.60851319449884,19
Z0_funding_basis_premium_dislocation,symbol_shuffle,0.5987437927460559,10.882299474337152,17
Z0_funding_basis_premium_dislocation,time_shuffle,0.5217973561138844,39.34553987471618,14
Z0_funding_basis_premium_dislocation,same_family_random,0.3722567661529661,29.64527153652053,7
Z1_price_range_volatility_structure,wrong_lag_future_24h,2.4904190665003654,193.7379203026041,37
Z1_price_range_volatility_structure,wrong_lag_stale_168h,1.0189923367715805,31.663572628401646,25
Z1_price_range_volatility_structure,symbol_shuffle,0.7716196524237379,10.28130727086946,20
Z1_price_range_volatility_structure,time_shuffle,0.45322245148762225,10.217790481913736,14
Z1_price_range_volatility_structure,same_family_random,0.2536341537317781,2.286864241478956,5
Z2_liquidity_taker_microstructure_lite,wrong_lag_future_24h,3.297357811616224,1071.2968040485703,42
Z2_liquidity_taker_microstructure_lite,time_shuffle,0.7395841988030969,357.2482794135882,21
Z2_liquidity_taker_microstructure_lite,wrong_lag_stale_168h,0.7930488590459345,521.190294740127,21
Z2_liquidity_taker_microstructure_lite,same_family_random,0.4124843316984955,147.63892914729237,15
Z2_liquidity_taker_microstructure_lite,symbol_shuffle,0.5823736168714212,180.5372652715411,15
Z3_basis_price_trend_reversal,wrong_lag_future_24h,8.96126177516858,464.24679199219344,44
Z3_basis_price_trend_reversal,wrong_lag_stale_168h,1.2802722900589574,24.881783657871697,30
Z3_basis_price_trend_reversal,symbol_shuffle,0.7012039150063274,20.07914795576416,20
Z3_basis_price_trend_reversal,time_shuffle,0.5447632072893138,24.588495062989388,15
Z3_basis_price_trend_reversal,same_family_random,0.3333940909139703,14.973158396890698,11
Z4_upper_regime_relative_value,wrong_lag_future_24h,2.161293408374528,464.24679199219344,30
Z4_upper_regime_relative_value,symbol_shuffle,0.5668186477701322,22.431223291015506,14
Z4_upper_regime_relative_value,wrong_lag_stale_168h,0.5948033446604027,24.881783657871697,14
Z4_upper_regime_relative_value,time_shuffle,0.47113998430776843,13.94112503640429,9
Z4_upper_regime_relative_value,same_family_random,0.11287678639173229,6.6893519005437865,2
Z5_latent_listing_meme_neutral_structure,wrong_lag_future_24h,12.393651826965762,329.9146722925349,37
Z5_latent_listing_meme_neutral_structure,symbol_shuffle,0.6358756871377363,85.39746600025627,14
Z5_latent_listing_meme_neutral_structure,wrong_lag_stale_168h,0.6283380860801492,25.54095868357049,14
Z5_latent_listing_meme_neutral_structure,time_shuffle,0.38252623384415746,27.824492373269027,10
Z5_latent_listing_meme_neutral_structure,same_family_random,0.21029599624071937,21.171074286533955,7
Z6_cross_sectional_relative_flow_value,wrong_lag_future_24h,2.638491748200642,31.121331654182843,33
Z6_cross_sectional_relative_flow_value,wrong_lag_stale_168h,0.5293244701705695,16.454410272891103,16
Z6_cross_sectional_relative_flow_value,time_shuffle,0.5101522672514898,17.51433516651732,14
Z6_cross_sectional_relative_flow_value,symbol_shuffle,0.5058509282605284,21.442195087523256,12
Z6_cross_sectional_relative_flow_value,same_family_random,0.2381085087956383,27.513222823068485,9
Z7_market_regime_price_breadth,wrong_lag_future_24h,10.35652582549375,622.650338612055,46
Z7_market_regime_price_breadth,wrong_lag_stale_168h,0.9101724824835847,37.60678511827303,21
Z7_market_regime_price_breadth,symbol_shuffle,0.5616663231266062,46.038443636287965,13
Z7_market_regime_price_breadth,time_shuffle,0.41724577030871113,11.257165331635987,12
Z7_market_regime_price_breadth,same_family_random,0.3088429690036036,1.6850027620020942,7
