candidate_id,objective_family,validation_2025H1_positive,test_2025H2_positive,recent_oos_2026JanApr_positive,premay_positive_split_count,premay_spread_sum,decision
a7al2z1_18a6b78a193210db,Z0_funding_basis_premium_dislocation,False,False,True,1,0.0056520188798019,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE
a7al2z1_5d8b43fa29769147,Z0_funding_basis_premium_dislocation,False,False,False,0,-0.0020744903692320998,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE
a7al2z1_902f31baa5005418,Z0_funding_basis_premium_dislocation,False,False,True,1,0.0018428639854962,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE
a7al2z1_b7d8223ba0236850,Z0_funding_basis_premium_dislocation,False,False,True,1,0.0096410052784497,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE
a7al2z1_d0cb162ee47ff62d,Z0_funding_basis_premium_dislocation,True,False,False,1,-0.0038280696605585,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE
a7al2z1_e2abe5031d2b5181,Z0_funding_basis_premium_dislocation,True,True,False,2,-0.00032315730748200006,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE
a7al2z1_0025716230424fb7,Z0_funding_basis_premium_dislocation,True,True,False,2,0.0020883463889635003,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE
a7al2z1_0313bc007ac9963d,Z0_funding_basis_premium_dislocation,True,True,False,2,-0.0046354212477789,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE
a7al2z1_23cc7365fa741d7c,Z0_funding_basis_premium_dislocation,True,False,False,1,-0.0012748826081202997,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE
a7al2z1_2877ae50ae09b29b,Z0_funding_basis_premium_dislocation,True,True,False,2,-0.0013969026919753002,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE
a7al2z1_2d8189ddb782e0f0,Z0_funding_basis_premium_dislocation,True,False,False,1,-0.009010192856450201,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE
a7al2z1_1fa487e13f578276,Z0_funding_basis_premium_dislocation,False,True,False,1,-0.0008330852414353791,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE
a7al2z1_094c52bafda2cb02,Z0_funding_basis_premium_dislocation,True,False,True,2,0.0003600439483862998,HOLD_A7AL2Z4_PRE_MAY_UNSTABLE
