candidate_id,expression,family,field_families,expression_key,skeleton_key,production_key,operator_signature,horizon_signature
crypto_fg2_e3eeee6c6c128159,"Sub(Rank(Mean(top_long_short_account_ratio_last,96)),Rank(Mean(trade_close,96)))",positioning_reversal,positioning|price,expr-cd16bad77e7176d3,skeleton-612ffe194eccb811,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::96,Mean|Rank|Sub,96
crypto_fg2_6f44fa67b5a9ca06,"Mul(Abs(ZScore(Delta(top_long_short_position_ratio_last,72))),Sign(Delta(index_close,12)))",positioning_reversal,positioning|price,expr-75b3648a4f85dda1,skeleton-c626ba6bf1687861,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::12|72,Abs|Delta|Mul|Sign|ZScore,12|72
crypto_fg2_4afc41266266fbfe,"Mul(Rank(Mean(open_interest_last,12)),ZScore(Delta(mark_close,168)))",oi_price_interaction,open_interest|price,expr-1df897df29063f56,skeleton-ded8d0d5aade90e2,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::12|168,Delta|Mean|Mul|Rank|ZScore,12|168
crypto_fg2_b711235005348263,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_mean,96)),ZScore(Mean(taker_buy_sell_volume_ratio_mean,12)))",taker_flow_state,liquidity|taker_ratio,expr-4ffc9f5f594cf289,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::12|96,Mean|Sub|ZScore,12|96
crypto_fg2_3cbd1218eef4d5c7,"Add(ZScore(Delta(open_interest_value_mean,72)),ZScore(Delta(trade_close,8)))",oi_price_interaction,open_interest|price,expr-12d01055fce6e7dc,skeleton-2e3fa7ca15d43f41,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::8|72,Add|Delta|ZScore,8|72
crypto_fg2_08f1acb4f96ccf7f,"Mul(Abs(ZScore(Mean(taker_buy_sell_volume_ratio_mean,168))),Rank(Delta(trade_quote_volume,72)))",taker_flow_state,liquidity|taker_ratio,expr-a09ef82683e337ad,skeleton-2ef3c76974d18388,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::72|168,Abs|Delta|Mean|Mul|Rank|ZScore,72|168
crypto_fg2_ab5daaf2d4bb1b38,"Sub(Rank(Delta(open_interest_value_last,48)),Rank(Delta(index_close,168)))",oi_price_interaction,open_interest|price,expr-0478b588f660dac5,skeleton-8ad46b9059e6381f,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::48|168,Delta|Rank|Sub,48|168
crypto_fg2_115383654a40dc95,"Mul(Rank(Mean(trade_volume,336)),ZScore(Delta(mark_low,24)))",liquidity_volatility_guarded,liquidity|volatility,expr-ef05439d85e6e408,skeleton-ded8d0d5aade90e2,crypto_formula_gen_v2_adapter::liquidity_volatility_guarded::liquidity|volatility::24|336,Delta|Mean|Mul|Rank|ZScore,24|336
crypto_fg2_9f9a9ca347b5802f,"Mul(Sign(Delta(open_interest_value_last,504)),Rank(Mean(index_close,12)))",oi_price_interaction,open_interest|price,expr-4ebca7d085d616ac,skeleton-7470f7edcb033b50,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::12|504,Delta|Mean|Mul|Rank|Sign,12|504
crypto_fg2_bc4bfd6a20077e8c,"Sub(Abs(ZScore(Mean(mark_trade_basis_bps,8))),Abs(ZScore(Mean(funding_rate,720))))",basis_funding_crowding,basis|funding,expr-ed779752853c1540,skeleton-746e1c41665c2005,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::8|720,Abs|Mean|Sub|ZScore,8|720
crypto_fg2_9501221db0fc209a,"Mul(ZScore(Mean(global_long_short_account_ratio_last,72)),Neg(ZScore(Delta(trade_close,96))))",positioning_reversal,positioning|price,expr-386f3e5e9a25eeae,skeleton-68fcd98ee78740fa,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::72|96,Delta|Mean|Mul|Neg|ZScore,72|96
crypto_fg2_e894db1889d0e70d,"Add(ZScore(Delta(global_long_short_account_ratio_mean,336)),Neg(Rank(Delta(index_close,48))))",positioning_reversal,positioning|price,expr-c47402d6bf2c61af,skeleton-ae37e2737f6e97ed,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::48|336,Add|Delta|Neg|Rank|ZScore,48|336
crypto_fg2_47fe7bf74113902b,"Sub(Abs(ZScore(Delta(mark_close,336))),Rank(Mean(mark_low,720)))",price_volatility_structure,price|volatility,expr-53dcc8ef0909e77a,skeleton-131162e8b64c3fa4,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::336|720,Abs|Delta|Mean|Rank|Sub|ZScore,336|720
crypto_fg2_2b9c738ec11bacea,"Mul(ZScore(Delta(open_interest_value_last,8)),ZScore(Delta(mark_close,48)))",oi_price_interaction,open_interest|price,expr-da88ab1ab6307b2c,skeleton-c14ad246aa64fd6e,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::8|48,Delta|Mul|ZScore,8|48
