candidate_id,duplicate_type,key
crypto_fg2_1d8d3d74ee3dd701,skeleton_repeat_soft,skeleton-7762e3f46e546cc2
crypto_fg2_422f3aa826219ad4,skeleton_repeat_soft,skeleton-7762e3f46e546cc2
crypto_fg2_ba4851c6a8fe7516,skeleton_repeat_soft,skeleton-7762e3f46e546cc2
crypto_fg2_76ca30746eef69f6,skeleton_repeat_soft,skeleton-7762e3f46e546cc2
crypto_fg2_703f43f2c8825405,skeleton_repeat_soft,skeleton-68fcd98ee78740fa
crypto_fg2_4046312acdd0dd68,skeleton_repeat_soft,skeleton-7762e3f46e546cc2
crypto_fg2_e7bf44eeb42e2fa2,skeleton_repeat_soft,skeleton-7762e3f46e546cc2
crypto_fg2_7dd16d5802666585,skeleton_repeat_soft,skeleton-7bb80280bed53044
crypto_fg2_ab3c0513cb663d2b,skeleton_repeat_soft,skeleton-ded8d0d5aade90e2
crypto_fg2_29952a812ea3b58b,skeleton_repeat_soft,skeleton-7bb80280bed53044
crypto_fg2_05390a2435132d37,skeleton_repeat_soft,skeleton-7762e3f46e546cc2
crypto_fg2_e1a8edb8cb6cc8f4,skeleton_repeat_soft,skeleton-7762e3f46e546cc2
crypto_fg2_d9667d20f5c6b84e,skeleton_repeat_soft,skeleton-ded8d0d5aade90e2
crypto_fg2_931a6d15f9dc4138,skeleton_repeat_soft,skeleton-7762e3f46e546cc2
crypto_fg2_1084fef9c46a189f,skeleton_repeat_soft,skeleton-c14ad246aa64fd6e
crypto_fg2_9b2f8f58c3c17bc0,skeleton_repeat_soft,skeleton-4b7c966f0b1870e8
crypto_fg2_1ae1f362184fc76e,skeleton_repeat_soft,skeleton-c14ad246aa64fd6e
crypto_fg2_5dbb875ed17c7860,skeleton_repeat_soft,skeleton-7762e3f46e546cc2
crypto_fg2_ae7b89fcb0006ceb,skeleton_repeat_soft,skeleton-c14ad246aa64fd6e
crypto_fg2_f9dce1a80431a4cb,skeleton_repeat_soft,skeleton-ded8d0d5aade90e2
crypto_fg2_f92cfa11e4814e46,skeleton_repeat_soft,skeleton-68fcd98ee78740fa
crypto_fg2_0c0df7a06893775a,skeleton_repeat_soft,skeleton-68fcd98ee78740fa
crypto_fg2_0d7bacafd679e081,skeleton_repeat_soft,skeleton-c14ad246aa64fd6e
crypto_fg2_01d7ac34a1167413,skeleton_repeat_soft,skeleton-c14ad246aa64fd6e
crypto_fg2_a411f9895d2fb613,skeleton_repeat_soft,skeleton-c14ad246aa64fd6e
crypto_fg2_ec306554c7a38c56,skeleton_repeat_soft,skeleton-1f835c24e049b69a
crypto_fg2_cb12a3adbb323e6a,skeleton_repeat_soft,skeleton-7762e3f46e546cc2
crypto_fg2_8022ae1f6dee3e30,skeleton_repeat_soft,skeleton-7bb80280bed53044
crypto_fg2_157925489a7842eb,skeleton_repeat_soft,skeleton-1f835c24e049b69a
crypto_fg2_bfb68177872d7a44,skeleton_repeat_soft,skeleton-68fcd98ee78740fa
crypto_fg2_4e6bb5071f624a9d,skeleton_repeat_soft,skeleton-7bb80280bed53044
crypto_fg2_7edd9af45325d634,skeleton_repeat_soft,skeleton-4b7c966f0b1870e8
crypto_fg2_799334713a320165,skeleton_repeat_soft,skeleton-c14ad246aa64fd6e
crypto_fg2_592d2173da25feeb,skeleton_repeat_soft,skeleton-68fcd98ee78740fa
crypto_fg2_ce91bdf575b1d935,skeleton_repeat_soft,skeleton-7762e3f46e546cc2
