production_key,count
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::12,6
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::12|168,6
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::12|24,1
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::12|336,2
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::12|48,1
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::12|504,4
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::12|72,4
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::12|720,3
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::12|96,3
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::168,3
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::168|336,4
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::168|504,3
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::168|720,3
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::24,6
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::24|168,2
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::24|336,4
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::24|48,1
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::24|72,4
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::24|720,3
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::24|96,4
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::336,2
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::336|504,4
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::336|720,2
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::4,4
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::48,3
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::48|168,3
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::48|336,5
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::48|504,2
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::48|72,1
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::48|720,1
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::4|12,4
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::4|168,3
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::4|24,3
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::4|336,2
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::4|48,1
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::4|504,1
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::4|72,2
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::4|720,5
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::4|8,3
crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::4|96,1
