second_pass_family,left_field,left_family,right_field,right_family,left_transform,right_transform,operator,priority_wave,blueprint_id,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,h2_repair_candidate,near_miss,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error,lag_bonus,non_l5_bonus,priority_bonus,selection_score
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_2h,delta_1h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_1h,L0_raw_forward_return,24,-1.0,3,True,0.5167988164786361,0.0007106463858988,True,True,False,A7FFCORE16ME_H2_REPAIR_CANDIDATE_LAG_OK,546,-0.0002790090968826,-0.3428639581383034,0.0549422616789587,-2.500123324847485,0.4908424908424908,543,-0.0007312674212406,-1.188386644121924,-0.3487707015512997,-2.190297883193718,0.4825046040515653,565,-0.0013141494555943,-1.57013974555058,-0.6145479737109585,-1.6709507681236784,0.504424778761062,658,-0.0010331860886418,-0.9028623641823472,-0.3444047588970041,-2.019221200531275,0.4650455927051671,45.69444444444444,,1,1,1,16.483201183521363
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_2h,delta_1h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_1h,L1_cross_sectional_relative_return,24,-1.0,3,True,0.5167988164786359,0.0007106463858988,True,True,False,A7FFCORE16ME_H2_REPAIR_CANDIDATE_LAG_OK,546,-0.0002790090968826,-0.3428639581383038,0.0549422616789586,-2.500123324847485,0.4908424908424908,543,-0.0007312674212406,-1.188386644121924,-0.3487707015512999,-2.190297883193717,0.4825046040515653,565,-0.0013141494555943,-1.57013974555058,-0.6145479737109584,-1.6709507681236784,0.504424778761062,658,-0.0010331860886418,-0.902862364182347,-0.344404758897004,-2.019221200531275,0.4650455927051671,45.69444444444444,,1,1,1,16.483201183521363
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_2h,delta_1h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_1h,L3_liquidity_tier_relative_return,24,-1.0,3,True,0.512878420592669,0.0005548510995362,True,True,False,A7FFCORE16ME_H2_REPAIR_CANDIDATE_LAG_OK,546,-8.923347099396699e-05,-0.1117925537196278,0.1079538528089129,-3.147539593496385,0.5,543,-0.0007037907490479,-1.1603043254802328,-0.1536831934565546,-2.267120732718406,0.4843462246777164,565,-0.0011252243636988,-1.368479106907582,-0.2343361412917672,-1.8475887206654205,0.5026548672566372,658,-0.0008766071462839,-0.7893296279891651,-0.2538816730288795,-2.135607771009622,0.4650455927051671,45.69444444444444,,1,1,1,16.48712157940733
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_2h,delta_8h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_8h,L5_vol_adjusted_return,1,-1.0,3,True,0.9164358653038214,0.0042435039326891,False,True,False,A7FFCORE16ME_H2_REPAIR_CANDIDATE_LAG_FRAGILE,711,-0.0151503705778606,-1.8968158716908328,-1.8968158716908328,-1.8968158716908328,0.4894514767932489,719,-0.0125277616522712,-1.3142075731980194,-1.3142075731980194,-1.3142075731980194,0.4826147426981919,719,-0.0212433110735558,-2.09931330328735,-2.09931330328735,-2.09931330328735,0.4659248956884562,719,-0.0259354424294736,-1.5734241688082162,-1.5734241688082162,-1.5734241688082162,0.4770514603616133,85.78333333333333,,0,0,1,1.0835641346961786
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_4h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_Mul_liquidity_rank_active_universe_shock_24h,L0_raw_forward_return,8,-1.0,3,True,0.6547352625959779,-0.0001462883066454,False,True,False,A7FFCORE16ME_H2_REPAIR_CANDIDATE_LAG_FRAGILE,665,-0.0001360369765987,-0.3975671948728981,0.0103118881803865,-1.4356255301001108,0.4887218045112781,712,-0.0002372869699219,-1.0174162293798508,-0.3949206777311981,-1.981739764428276,0.4831460674157303,712,-0.0002315528103307,-0.6984746718253464,-0.0976029828777758,-1.897368123251325,0.4957865168539326,712,-0.0002214888167476,-0.4851820779693947,-0.4457920560757865,-1.3376126787721845,0.4747191011235955,93.26388888888889,,0,1,1,6.3452647374040225
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_4h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_Mul_liquidity_rank_active_universe_shock_24h,L1_cross_sectional_relative_return,8,-1.0,3,True,0.6547352625959763,-0.0001462883066454,False,True,False,A7FFCORE16ME_H2_REPAIR_CANDIDATE_LAG_FRAGILE,665,-0.0001360369765987,-0.3975671948728979,0.0103118881803864,-1.4356255301001108,0.4887218045112781,712,-0.0002372869699219,-1.0174162293798503,-0.3949206777311977,-1.9817397644282757,0.4831460674157303,712,-0.0002315528103307,-0.6984746718253463,-0.0976029828777761,-1.8973681232513249,0.4957865168539326,712,-0.0002214888167476,-0.4851820779693947,-0.4457920560757865,-1.3376126787721845,0.4747191011235955,93.26388888888889,,0,1,1,6.345264737404023
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_4h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_Mul_liquidity_rank_active_universe_shock_24h,L3_liquidity_tier_relative_return,8,-1.0,3,True,0.5783966631560385,-1.8345424408032848e-05,False,True,False,A7FFCORE16ME_H2_REPAIR_CANDIDATE_LAG_FRAGILE,665,-0.0002072312760053,-0.6304977263455195,-0.2222680089546136,-1.136338609374835,0.4902255639097744,712,-0.0002480108093901,-1.0674617249834522,-0.3147212430008173,-1.7761958768973616,0.4803370786516854,712,-0.0001596187648553,-0.4929166454584196,0.0553394351743207,-1.560858876773365,0.4859550561797753,712,-0.0003749276677464,-0.8301390031830228,-0.3381919403127466,-1.3904790146252024,0.4634831460674157,93.26388888888889,,0,1,1,6.421603336843962
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_2h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_2h,L0_raw_forward_return,4,-1.0,3,True,0.952750140952802,3.18509931918733e-05,False,True,False,A7FFCORE16ME_H2_REPAIR_CANDIDATE_LAG_FRAGILE,671,-0.0002309065069681,-0.7931515200431208,-0.5558651341668301,-0.7928648555949241,0.4575260804769001,668,-0.0001231737011434,-0.4601131693035255,-0.2426644793872225,-1.0842575240947108,0.4955089820359281,667,-0.0003620739255295,-1.8464750993276424,-0.8378924227509746,-1.6237820813858936,0.472263868065967,711,-0.0007630103491254,-2.093543834355569,-1.0433943258288163,-1.3492158436178583,0.4556962025316455,62.513888888888886,,0,1,1,6.047249859047198
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_2h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_2h,L1_cross_sectional_relative_return,4,-1.0,3,True,0.9527501409528032,3.185099319187352e-05,False,True,False,A7FFCORE16ME_H2_REPAIR_CANDIDATE_LAG_FRAGILE,671,-0.0002309065069681,-0.793151520043121,-0.5558651341668297,-0.7928648555949237,0.4575260804769001,668,-0.0001231737011434,-0.4601131693035252,-0.2426644793872224,-1.0842575240947108,0.4955089820359281,667,-0.0003620739255295,-1.8464750993276429,-0.8378924227509748,-1.6237820813858936,0.472263868065967,711,-0.0007630103491254,-2.093543834355569,-1.0433943258288163,-1.3492158436178576,0.4556962025316455,62.513888888888886,,0,1,1,6.047249859047197
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_4h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_SafeDiv_open_interest_change_24h_shock_24h,L5_vol_adjusted_return,4,-1.0,3,True,0.8883655192269777,0.0133715752326558,True,True,False,A7FFCORE16ME_H2_REPAIR_CANDIDATE_LAG_OK,669,-0.0291511595852808,-1.81578217259944,-0.6919512903277995,-2.8562428338527925,0.4678624813153961,716,-0.0138453141897437,-0.6894501311824333,-0.434153027441361,-1.2042124016317173,0.4790502793296089,716,-0.0347317067214432,-1.640734065717912,-0.5557674333183609,-2.939323915762821,0.4692737430167598,716,-0.0393429308592063,-1.394226903386813,-0.5452349040101103,-1.7643770559320318,0.4594972067039106,95.45416666666668,,1,0,1,11.111634480773022
