symbol,status,error,rows,pages,timestamp_min,timestamp_max,silver_path,raw_dir
KNCUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=KNCUSDT\funding_rate_a7ac_company_p0b05_funding_retry_20260522_194314.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=KNCUSDT\run=a7ac_company_p0b05_funding_retry_20260522_194314
APEUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=APEUSDT\funding_rate_a7ac_company_p0b05_funding_retry_20260522_194314.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=APEUSDT\run=a7ac_company_p0b05_funding_retry_20260522_194314
WLDUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=WLDUSDT\funding_rate_a7ac_company_p0b05_funding_retry_20260522_194314.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=WLDUSDT\run=a7ac_company_p0b05_funding_retry_20260522_194314
MAGICUSDT,ok,,3802,4,2024-01-01 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=MAGICUSDT\funding_rate_a7ac_company_p0b05_funding_retry_20260522_194314.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=MAGICUSDT\run=a7ac_company_p0b05_funding_retry_20260522_194314
UNIUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=UNIUSDT\funding_rate_a7ac_company_p0b05_funding_retry_20260522_194314.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=UNIUSDT\run=a7ac_company_p0b05_funding_retry_20260522_194314
1000BONKUSDT,ok,,5232,6,2024-01-01 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=1000BONKUSDT\funding_rate_a7ac_company_p0b05_funding_retry_20260522_194314.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=1000BONKUSDT\run=a7ac_company_p0b05_funding_retry_20260522_194314
NEARUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=NEARUSDT\funding_rate_a7ac_company_p0b05_funding_retry_20260522_194314.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=NEARUSDT\run=a7ac_company_p0b05_funding_retry_20260522_194314
ZECUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=ZECUSDT\funding_rate_a7ac_company_p0b05_funding_retry_20260522_194314.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=ZECUSDT\run=a7ac_company_p0b05_funding_retry_20260522_194314
AXSUSDT,ok,,3145,4,2024-01-01 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=AXSUSDT\funding_rate_a7ac_company_p0b05_funding_retry_20260522_194314.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=AXSUSDT\run=a7ac_company_p0b05_funding_retry_20260522_194314
APEUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=APEUSDT\funding_rate_a7ac_company_p0b05_funding_retry_20260522_194314.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=APEUSDT\run=a7ac_company_p0b05_funding_retry_20260522_194314
KNCUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=KNCUSDT\funding_rate_a7ac_company_p0b05_funding_retry_20260522_194314.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=KNCUSDT\run=a7ac_company_p0b05_funding_retry_20260522_194314
