symbol,status,error,rows,pages,timestamp_min,timestamp_max,silver_path,raw_dir
ALGOUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=ALGOUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=ALGOUSDT\run=a7ac_company_p0b05_funding_20260522_193740
ARUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=ARUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=ARUSDT\run=a7ac_company_p0b05_funding_20260522_193740
AAVEUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=AAVEUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=AAVEUSDT\run=a7ac_company_p0b05_funding_20260522_193740
1000FLOKIUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=1000FLOKIUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=1000FLOKIUSDT\run=a7ac_company_p0b05_funding_20260522_193740
ARBUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=ARBUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=ARBUSDT\run=a7ac_company_p0b05_funding_20260522_193740
ATOMUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=ATOMUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=ATOMUSDT\run=a7ac_company_p0b05_funding_20260522_193740
1INCHUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=1INCHUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=1INCHUSDT\run=a7ac_company_p0b05_funding_20260522_193740
ACHUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=ACHUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=ACHUSDT\run=a7ac_company_p0b05_funding_20260522_193740
BATUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=BATUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=BATUSDT\run=a7ac_company_p0b05_funding_20260522_193740
CHZUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=CHZUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=CHZUSDT\run=a7ac_company_p0b05_funding_20260522_193740
API3USDT,ok,,5821,6,2024-01-01 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=API3USDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=API3USDT\run=a7ac_company_p0b05_funding_20260522_193740
BLURUSDT,ok,,2811,3,2024-01-01 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=BLURUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=BLURUSDT\run=a7ac_company_p0b05_funding_20260522_193740
CELOUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=CELOUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=CELOUSDT\run=a7ac_company_p0b05_funding_20260522_193740
APTUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=APTUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=APTUSDT\run=a7ac_company_p0b05_funding_20260522_193740
DASHUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=DASHUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=DASHUSDT\run=a7ac_company_p0b05_funding_20260522_193740
BOMEUSDT,ok,,4780,5,2024-03-16 00:00:00+00:00,2026-05-21 20:00:00.001000+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=BOMEUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=BOMEUSDT\run=a7ac_company_p0b05_funding_20260522_193740
ETCUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=ETCUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=ETCUSDT\run=a7ac_company_p0b05_funding_20260522_193740
GMXUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=GMXUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=GMXUSDT\run=a7ac_company_p0b05_funding_20260522_193740
BANDUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=BANDUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=BANDUSDT\run=a7ac_company_p0b05_funding_20260522_193740
HBARUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=HBARUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=HBARUSDT\run=a7ac_company_p0b05_funding_20260522_193740
LRCUSDT,ok,,3156,4,2024-01-01 00:00:00+00:00,2026-03-24 08:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=LRCUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=LRCUSDT\run=a7ac_company_p0b05_funding_20260522_193740
MANAUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=MANAUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=MANAUSDT\run=a7ac_company_p0b05_funding_20260522_193740
PENDLEUSDT,ok,,2616,3,2024-01-01 00:00:00+00:00,2026-05-21 16:00:00+00:00,G:\AlphaFactory_CryptoData\silver\binance_api\funding_rate\symbol=PENDLEUSDT\funding_rate_a7ac_company_p0b05_funding_20260522_193740.parquet,G:\AlphaFactory_CryptoData\raw\binance_api\funding_rate\symbol=PENDLEUSDT\run=a7ac_company_p0b05_funding_20260522_193740
