temporal_horizon_class,deep_count,post_may_eligible_count,may_vetoed_count,pre_may_near_miss_count,rejected_count,avg_rank_score,avg_raw_may,avg_residual_funding_may,avg_raw_recent,avg_cost20_recent,avg_lag1_recent,avg_min_fold,avg_positive_fold_rate,post_may_eligible_rate,summary_name
H72,57,5,47,3,2,1.1409868495636881,-8.882017961378041,-7.123668162191871,3.395701586994644,3.225143840645555,3.3781844057614214,0.2192842692771824,0.9263157894736843,0.08771929824561403,horizon
H48,30,5,22,0,3,1.1687656047174149,-2.4506301351660893,-0.6814209190652767,2.6335575453447593,2.439812606262666,2.6374578272020313,0.23363416663772,0.9405128205128205,0.16666666666666666,horizon
spread_6_vs_24,21,1,19,1,0,1.5569119983151039,-6.918032004324849,-3.8369818334587555,2.95302943475185,2.8241141647075843,2.940717588448505,0.6152128480168577,0.945054945054945,0.047619047619047616,horizon
ensemble_6_12_24_48,15,1,13,1,0,1.1141349233519453,-6.674998312600379,-3.599894241992997,3.339722884930633,3.2119738567836107,3.3446896879826244,0.17188154575041187,0.9456410256410257,0.06666666666666667,horizon
H12,9,1,8,0,0,1.1696226949440873,-2.7818474952075976,-1.2532506693705037,1.21386498205057,1.0941363379396227,1.2123099444573517,0.1936114538218683,0.9794871794871796,0.1111111111111111,horizon
H24,27,0,26,1,0,1.148852435133121,-3.536803299520459,-1.5355820699805693,1.781306954974525,1.5801138820348046,1.7520750161971526,0.21233840026562223,0.9424501424501425,0.0,horizon
mixed_12_48,12,0,12,0,0,1.8429808395094092,-11.593866446429558,-8.522613758035144,3.6586903093344207,3.464026548611366,3.654036578696044,0.8530068762385342,0.9948717948717949,0.0,horizon
mixed_6_24,12,0,12,0,0,2.147340041685698,-12.672507698323912,-9.354541775717061,3.8031068234270915,3.6964302405330347,3.7489055938749343,1.1501375002090786,1.0,0.0,horizon
spread_12_vs_48,9,0,7,1,1,1.0374335025463877,-7.020679215424241,-5.4473113387164975,2.1881301144764294,2.031283036630373,2.183679227503786,0.13788317513686255,0.9042735042735042,0.0,horizon
