fold_id,rows,negative_count,median_ann,mean_ann,p10_ann,p90_ann,median_active_hours,median_gross,negative_rate,series
F11_cross_symbol_crowding,1536,756,0.0666156574049605,0.11549851433017476,-3.2737812519316405,3.807862336554066,3463.0,0.3905575915056516,0.4921875,raw_10bp
F4_basis_dislocation,1536,708,0.21968287870918557,0.23527181842014025,-2.6159447752857763,3.1886374766514445,3463.0,0.3888859841190377,0.4609375,raw_10bp
F1_high_realized_vol,1536,685,0.32442169024515816,0.27570345703757376,-4.876008374441777,4.613598569137353,3463.0,0.3473608604290228,0.4459635416666667,raw_10bp
F3_high_liquidity_high_vol,1536,665,0.24622178715587115,0.2570313077764309,-5.144465988850668,5.162459557778853,3341.0,0.3623236852307067,0.4329427083333333,raw_10bp
F6_cross_symbol_dispersion,1536,618,0.4191682092267986,0.6382200113381379,-2.465178431968831,4.235790077239514,3463.0,0.3314768963241075,0.40234375,raw_10bp
F5_funding_neutral,1536,576,0.4843612888581058,0.7043163838211036,-2.331804654916488,3.92015000993523,5775.0,0.4094143639096966,0.375,raw_10bp
F2_low_liquidity,1536,559,0.5572028284635789,1.0607095363491712,-2.0798970049913397,4.6448122978614546,3463.0,0.41092919054788135,0.3639322916666667,raw_10bp
F0_validation_2025H1,1536,551,0.8682221485050823,1.2126080792467444,-2.3902261610515536,5.468588621833456,4296.0,0.3209046346194794,0.3587239583333333,raw_10bp
F8_low_vol_high_liquidity,1536,545,0.9259188880472895,1.9921720363537616,-4.8788079618585485,9.792400332252939,478.0,0.39012256908991444,0.3548177083333333,raw_10bp
F9_liquidity_shock,1536,538,0.6494187795929436,0.7478057810234892,-1.9003600352357322,3.5523260332329447,2886.0,0.3828713795880927,0.3502604166666667,raw_10bp
F10_volatility_compression,1536,514,0.9088395675844179,1.1189500635267156,-1.9019598407422564,4.607161554831461,4041.0,0.3830077167117344,0.3346354166666667,raw_10bp
F7_trend_reversal,1536,497,0.8656334589870628,1.0525090119308405,-1.9901448935870631,4.312428779211954,4178.0,0.3777849778822113,0.3235677083333333,raw_10bp
