cell_id,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,deep_count,post_may_eligible_count,may_vetoed_count,pre_may_near_miss_count,rejected_count,avg_rank_score,avg_raw_may,avg_residual_funding_may,avg_raw_recent,avg_cost20_recent,avg_lag1_recent,avg_min_fold,avg_positive_fold_rate,post_may_eligible_rate,summary_name
C0078,H12_horizon_ensemble_stability,P0_price_return,SafeDivZScore,H72,3,3,0,0,0,-1.0895428946024257,1.5890349138261408,1.596858536919071,0.88283676412731,0.38737567001672274,0.8395977008101364,-2.0,0.9230769230769232,1.0,cell
C0169,H14_open_ast_cem_diversity,P3_trade_size,WinsorZScore,H48,3,2,1,0,0,0.3600060282019053,3.6942244634559747,4.4303701864035006,3.8492277266984964,3.6935190429335343,3.9108448064575256,-0.579472257568238,0.9435897435897438,0.6666666666666666,cell
C0017,H00_low_turnover_robust,P2_liquidity,TSStdZScore,H72,3,1,2,0,0,0.22829936370685874,6.077358218699377,8.866119863305295,0.9555421145359696,0.9036541271551091,0.9394720901268895,-0.6060641723874644,0.835897435897436,0.3333333333333333,cell
C0036,H06_liquidity_structure_ex_realized_vol_mul,P3_trade_size,TSStdZScore,H48,3,1,2,0,0,0.9191141634249664,6.703651411524448,7.486188976898627,1.3756478312890128,1.252941449561813,1.3973470041895597,-0.0255650651234282,0.9487179487179488,0.3333333333333333,cell
C0050,H05_volatility_structure_ex_liquidity_mul,P3_trade_size,ZScore,spread_6_vs_24,3,1,1,1,0,1.0367375117170428,0.8671028358289256,3.1536808959337534,2.7683053075115285,2.680833222797343,2.815276989268113,0.11088019637278483,0.9282051282051281,0.3333333333333333,cell
C0137,H06_liquidity_structure_ex_realized_vol_mul,P7_cross_symbol_relative,SafeDivZScore,H48,3,1,0,0,2,-0.9025015771594632,-2.242801129016685,1.0925248656176239,0.972905725808357,0.5847369735523633,0.9656664345374196,-1.7997284613569595,0.9076923076923077,0.3333333333333333,cell
C0147,H02_cross_symbol_dispersion_reversal,P3_trade_size,ZScore,H72,3,1,2,0,0,0.6176485840170232,2.397082732575265,2.65160532168863,1.9889744736597386,1.877747627753737,1.9975659454062573,-0.2353515951187555,0.8564102564102564,0.3333333333333333,cell
C0164,H01_cross_symbol_relative_strength,P14_horizon_spread,ClipRank,H12,3,1,2,0,0,0.9343181918470438,-3.9026418468263215,-1.5126384463659683,1.1680236711780292,1.002578490898412,1.1168695916692366,-0.025064401842834427,0.9641025641025641,0.3333333333333333,cell
C0238,H13_symbol_tier_relative,P3_trade_size,DecayZScore,ensemble_6_12_24_48,3,1,2,0,0,0.11943652813929938,2.6605458244293136,3.7989147184710927,1.9151186460839889,1.7872674958198373,1.90380838300018,-0.8000394705603601,0.9230769230769232,0.3333333333333333,cell
C0355,H07_taker_flow_lag_stable,P5_basis_premium,RollingMaxRank,H48,3,1,2,0,0,1.5632498083940398,3.328956930707838,5.132651445319234,4.365257408337503,4.261593033688938,4.344505600918171,0.5663212766426488,1.0,0.3333333333333333,cell
C0004,H14_open_ast_cem_diversity,P2_liquidity,TSRankMul,H72,3,0,3,0,0,0.4664248179858858,0.0,0.0,1.552097220874164,1.5034235831169127,1.5128263217196245,-0.357421146456599,0.8256410256410257,0.0,cell
C0007,H06_liquidity_structure_ex_realized_vol_mul,P7_cross_symbol_relative,SafeDivZScore,H72,3,0,2,1,0,0.27369819714054927,-2.4335122688820294,-0.11335395862853807,2.182736551187783,1.6332848489503469,2.140891758189574,-0.6710996128433481,0.9589743589743591,0.0,cell
C0019,H06_liquidity_structure_ex_realized_vol_mul,P9_price_basis,CrossSymbolRank,mixed_12_48,3,0,3,0,0,1.4672013339135646,-7.70552305713585,-5.547490755122087,4.526203099101668,4.271032399890669,4.56040439977363,0.473759793705914,1.0,0.0,cell
C0020,H00_low_turnover_robust,P8_regime_state,MulRankRank,H72,3,0,3,0,0,2.9498324528738014,-16.80801002678616,-10.393224828582442,5.669437296485612,5.625300199115142,5.675857530432089,1.9509235343303029,1.0,0.0,cell
C0025,H02_cross_symbol_dispersion_reversal,P0_price_return,TSStdZScore,mixed_6_24,3,0,3,0,0,2.519293068800912,-10.551036075973263,-5.496980987785316,4.60233055514255,4.517497028207692,4.538738327146034,1.521507755759148,1.0,0.0,cell
