candidate_id,orientation_fit_split,orientation_entry_label,train_mean_spread,orientation,uses_may
a7al2q_d6f7ebc0dbbdda7a,train_2024,label_t1_to_t25,0.0019598947667496054,1.0,False
a7al2q_6671d1fac5e57efe,train_2024,label_t1_to_t25,0.0017245018372656683,1.0,False
a7al2q_58ec268c498480a1,train_2024,label_t1_to_t25,0.0007315556552108611,1.0,False
a7al2q_d7a6680d151b7968,train_2024,label_t1_to_t25,-0.00022452493733744234,-1.0,False
a7al2q_69233c377095f5a4,train_2024,label_t1_to_t25,-4.441808398442945e-05,-1.0,False
a7al2q_5b4e7d3dc1984b26,train_2024,label_t1_to_t25,0.00018782974902555228,1.0,False
a7al2q_bac72457ad9e4104,train_2024,label_t1_to_t25,0.0004956085150406498,1.0,False
a7al2q_f962751a6f713294,train_2024,label_t1_to_t25,0.0003098672081294855,1.0,False
a7al2q_1378ff7d2322adee,train_2024,label_t1_to_t25,0.0016542222867750324,1.0,False
a7al2q_8e279dd3d23e1613,train_2024,label_t1_to_t25,-0.0002106924930806084,-1.0,False
a7al2q_ceda68bb417b5cad,train_2024,label_t1_to_t25,0.0020839984230346365,1.0,False
a7al2q_f00f22bbcc48dc2c,train_2024,label_t1_to_t25,0.001967691792702108,1.0,False
a7al2q_b463b7c4454b038d,train_2024,label_t1_to_t25,-0.0002254974705224495,-1.0,False
a7al2q_fe342a17a3bf56da,train_2024,label_t1_to_t25,-0.0011050007535289268,-1.0,False
a7al2q_0a44f7b06019cff8,train_2024,label_t1_to_t25,-0.00028105186292303835,-1.0,False
a7al2q_153d45b2cb3aebdd,train_2024,label_t1_to_t25,0.00015150484838141233,1.0,False
a7al2q_0de0d41346741bd1,train_2024,label_t1_to_t25,0.0016744406271996964,1.0,False
a7al2q_1a85ce2f6824961f,train_2024,label_t1_to_t25,-0.000138781702700743,-1.0,False
a7al2q_d933f0049acb4699,train_2024,label_t1_to_t25,-0.0005929512688082064,-1.0,False
a7al2q_d1103bc53dda5f19,train_2024,label_t1_to_t25,0.0019730655089290725,1.0,False
a7al2q_7b47c379b145850f,train_2024,label_t1_to_t25,-2.0420580896741813e-06,-1.0,False
a7al2q_ae4f22820243f5d8,train_2024,label_t1_to_t25,8.899058210518313e-05,1.0,False
a7al2q_e7f3ac7f42ea12ab,train_2024,label_t1_to_t25,0.0001559389791423036,1.0,False
a7al2q_10991f685ed433e6,train_2024,label_t1_to_t25,0.0006609988446852806,1.0,False
a7al2q_47801cd1758f1a59,train_2024,label_t1_to_t25,0.0007511357921643149,1.0,False
a7al2q_2ec6136e6ff32eb3,train_2024,label_t1_to_t25,0.0017975931457237249,1.0,False
a7al2q_881df3d6813ae28f,train_2024,label_t1_to_t25,0.00034189471110678904,1.0,False
a7al2q_070161fc8a8254ad,train_2024,label_t1_to_t25,-0.0011405475604076294,-1.0,False
a7al2q_3ba41c66a0de2fa2,train_2024,label_t1_to_t25,0.00043723894223454663,1.0,False
a7al2q_b6b2f5aba19390f8,train_2024,label_t1_to_t25,3.341710370871826e-05,1.0,False
a7al2q_10e647a6a770bab4,train_2024,label_t1_to_t25,-0.0009975085857327455,-1.0,False
a7al2q_0f14395724f60a61,train_2024,label_t1_to_t25,0.0011712631603732068,1.0,False
a7al2q_d7066321956fffb8,train_2024,label_t1_to_t25,0.0018369947088466715,1.0,False
a7al2q_f36ca1ecd3f7a0c6,train_2024,label_t1_to_t25,-0.0008356355715411887,-1.0,False
a7al2q_c3ec84f31f7ebaa6,train_2024,label_t1_to_t25,-0.0010072199183943544,-1.0,False
a7al2q_69d146749c30da3c,train_2024,label_t1_to_t25,0.0013587131600953381,1.0,False
a7al2q_07a399f87a92a0d2,train_2024,label_t1_to_t25,-0.00013494217852898436,-1.0,False
a7al2q_e3cdfb5cac370798,train_2024,label_t1_to_t25,-0.00033579119357302414,-1.0,False
a7al2q_8110f9704918d1df,train_2024,label_t1_to_t25,-0.001023966901305209,-1.0,False
a7al2q_532a063383e97c15,train_2024,label_t1_to_t25,0.0008977768393714637,1.0,False
a7al2q_1174aa64fb8b7d3d,train_2024,label_t1_to_t25,-0.00040370081683314886,-1.0,False
a7al2q_9fa3d42c3de13e96,train_2024,label_t1_to_t25,-0.0013993831238642662,-1.0,False
a7al2q_b73c1ada9ca478f6,train_2024,label_t1_to_t25,-0.0007675217613766408,-1.0,False
a7al2q_3abec814a5c6d0df,train_2024,label_t1_to_t25,0.0024237290525547816,1.0,False
a7al2q_d213a791f5c9668e,train_2024,label_t1_to_t25,-0.0015762701085449474,-1.0,False
a7al2q_b03bff273b1b5b3d,train_2024,label_t1_to_t25,0.00024736214223381294,1.0,False
a7al2q_b14aea393d7309d7,train_2024,label_t1_to_t25,0.0002986653797549039,1.0,False
