candidate_id,entry_label,split,original_abs_spread,max_control_abs_spread,control_ratio,gate
a7al2q_0133ba7e904144bd,label_t1_to_t25,known_may2026_stress,0.0005565669459924854,0.005172581612948187,9.293727646230046,HOLD_CONTROL_DOMINATED
a7al2q_0133ba7e904144bd,label_t1_to_t25,recent_oos_2026JanApr,0.0032611316528057457,0.0030896951234582505,0.9474303562077913,WARN_CONTROL_CLOSE
a7al2q_0133ba7e904144bd,label_t1_to_t25,test_2025H2,0.0016747330202425907,0.006559834201709945,3.9169432515038913,HOLD_CONTROL_DOMINATED
a7al2q_0133ba7e904144bd,label_t1_to_t25,train_2024,0.002063665618898263,0.009262944877694987,4.48858807011585,HOLD_CONTROL_DOMINATED
a7al2q_0133ba7e904144bd,label_t1_to_t25,validation_2025H1,0.0012198933348154374,0.007066886885180863,5.793036721731118,HOLD_CONTROL_DOMINATED
a7al2q_0133ba7e904144bd,label_t2_to_t26,known_may2026_stress,0.0005579754126582784,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0133ba7e904144bd,label_t2_to_t26,recent_oos_2026JanApr,0.0032122601452635323,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0133ba7e904144bd,label_t2_to_t26,test_2025H2,0.001719993387867488,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0133ba7e904144bd,label_t2_to_t26,train_2024,0.002032342767027206,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0133ba7e904144bd,label_t2_to_t26,validation_2025H1,0.0012612902668653705,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0133ba7e904144bd,label_t_to_t24,known_may2026_stress,0.0005841205324149594,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0133ba7e904144bd,label_t_to_t24,recent_oos_2026JanApr,0.0033045798718777174,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0133ba7e904144bd,label_t_to_t24,test_2025H2,0.0016116986199647568,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0133ba7e904144bd,label_t_to_t24,train_2024,0.002074267892059779,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0133ba7e904144bd,label_t_to_t24,validation_2025H1,0.001196422575856281,,,ELIGIBLE_DIAGNOSTIC
a7al2q_052666e2602c6204,label_t1_to_t25,known_may2026_stress,0.0027015314194106595,0.005128904705821352,1.8985175108347343,HOLD_CONTROL_DOMINATED
a7al2q_052666e2602c6204,label_t1_to_t25,recent_oos_2026JanApr,0.0002082751788662744,0.0029055666603258336,13.950614164116924,HOLD_CONTROL_DOMINATED
a7al2q_052666e2602c6204,label_t1_to_t25,test_2025H2,0.0007314375028915903,0.002108670499160849,2.882912744868354,HOLD_CONTROL_DOMINATED
a7al2q_052666e2602c6204,label_t1_to_t25,train_2024,1.515555283669651e-05,0.0008478455772877946,55.94290003297572,HOLD_CONTROL_DOMINATED
a7al2q_052666e2602c6204,label_t1_to_t25,validation_2025H1,0.0005163846570505268,0.002906834714585162,5.629204266424857,HOLD_CONTROL_DOMINATED
a7al2q_052666e2602c6204,label_t2_to_t26,known_may2026_stress,0.0025736792982167392,,,ELIGIBLE_DIAGNOSTIC
a7al2q_052666e2602c6204,label_t2_to_t26,recent_oos_2026JanApr,0.00015760322282485116,,,ELIGIBLE_DIAGNOSTIC
a7al2q_052666e2602c6204,label_t2_to_t26,test_2025H2,0.0007187068338802449,,,ELIGIBLE_DIAGNOSTIC
a7al2q_052666e2602c6204,label_t2_to_t26,train_2024,2.5065003496972766e-05,,,ELIGIBLE_DIAGNOSTIC
a7al2q_052666e2602c6204,label_t2_to_t26,validation_2025H1,0.0005286303602438802,,,ELIGIBLE_DIAGNOSTIC
a7al2q_052666e2602c6204,label_t_to_t24,known_may2026_stress,0.0028109475561693166,,,ELIGIBLE_DIAGNOSTIC
a7al2q_052666e2602c6204,label_t_to_t24,recent_oos_2026JanApr,0.00024265233802519084,,,ELIGIBLE_DIAGNOSTIC
a7al2q_052666e2602c6204,label_t_to_t24,test_2025H2,0.0007432832418361887,,,ELIGIBLE_DIAGNOSTIC
a7al2q_052666e2602c6204,label_t_to_t24,train_2024,1.4270620302186055e-05,,,ELIGIBLE_DIAGNOSTIC
a7al2q_052666e2602c6204,label_t_to_t24,validation_2025H1,0.000498335744258939,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0531d6565dc36cea,label_t1_to_t25,known_may2026_stress,0.002395014743615904,0.009438737024006508,3.940993285810113,HOLD_CONTROL_DOMINATED
a7al2q_0531d6565dc36cea,label_t1_to_t25,recent_oos_2026JanApr,0.0006931847289978383,0.008792351103946602,12.683994231462679,HOLD_CONTROL_DOMINATED
a7al2q_0531d6565dc36cea,label_t1_to_t25,test_2025H2,0.001504671001279253,0.009953453692425365,6.615036565443914,HOLD_CONTROL_DOMINATED
a7al2q_0531d6565dc36cea,label_t1_to_t25,train_2024,0.001985273591124402,0.010624055190076935,5.351431277570048,HOLD_CONTROL_DOMINATED
a7al2q_0531d6565dc36cea,label_t1_to_t25,validation_2025H1,0.0004066979377036599,0.0101870956190454,25.048309014215405,HOLD_CONTROL_DOMINATED
a7al2q_0531d6565dc36cea,label_t2_to_t26,known_may2026_stress,0.0023471232063211546,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0531d6565dc36cea,label_t2_to_t26,recent_oos_2026JanApr,0.0007596771345225142,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0531d6565dc36cea,label_t2_to_t26,test_2025H2,0.0016085208106285166,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0531d6565dc36cea,label_t2_to_t26,train_2024,0.0019665106916884815,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0531d6565dc36cea,label_t2_to_t26,validation_2025H1,0.0004298851871617208,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0531d6565dc36cea,label_t_to_t24,known_may2026_stress,0.0024953413793183145,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0531d6565dc36cea,label_t_to_t24,recent_oos_2026JanApr,0.0006563219342235557,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0531d6565dc36cea,label_t_to_t24,test_2025H2,0.0014075924859141065,,,ELIGIBLE_DIAGNOSTIC
a7al2q_0531d6565dc36cea,label_t_to_t24,train_2024,0.002023181847132844,,,ELIGIBLE_DIAGNOSTIC
