book,month,daily_sum_return
Core4,2025-07,-1.9759689676803354
Core4,2025-08,0.6349608698125144
Core4,2025-09,0.24180782238738296
Core4,2025-10,1.9696733612220902
Core4,2025-11,1.357003812294092
Core4,2025-12,-0.008158780203940619
Core4,2026-01,0.36687302322207005
Core4,2026-02,0.28464126078017243
Core4,2026-03,0.10148955642200573
Core4,2026-04,0.5564633978663686
CoreSupport8,2025-07,-1.7627177086086925
CoreSupport8,2025-08,0.6441236913281863
CoreSupport8,2025-09,0.17264835792843375
CoreSupport8,2025-10,1.6580859891241542
CoreSupport8,2025-11,0.9794058011050677
CoreSupport8,2025-12,-0.1007551222314659
CoreSupport8,2026-01,0.3657345938753287
CoreSupport8,2026-02,0.3094483927880217
CoreSupport8,2026-03,0.14650778279760251
CoreSupport8,2026-04,0.48043634052259027
All9,2025-07,-4.502923581257723
All9,2025-08,1.7017005884291665
All9,2025-09,0.6605277285170437
All9,2025-10,2.8705838257397893
All9,2025-11,2.744648508794392
All9,2025-12,0.13703881626441639
All9,2026-01,1.082419618143467
All9,2026-02,-0.15567323784368894
All9,2026-03,0.7563787309626272
All9,2026-04,0.7442305578725026
