track_id,label_family,label_horizon_h,selected
G0_ordinary_alpha_basis_premium,L0_raw_forward_return,1,8
G0_ordinary_alpha_basis_premium,L1_cross_sectional_relative_return,1,8
G0_ordinary_alpha_basis_premium,L5_vol_adjusted_return,1,8
G1_neutralized_alpha_diagnostic,L2_BTC_ETH_beta_residual_return,1,10
G1_neutralized_alpha_diagnostic,L2_BTC_ETH_beta_residual_return,4,11
G1_neutralized_alpha_diagnostic,L3_liquidity_tier_relative_return,1,3
G1_neutralized_alpha_diagnostic,L5_vol_adjusted_return,1,8
G2_downside_risk_defense,L6_downside_avoidance,1,32
G2_downside_risk_defense,L6_downside_avoidance,24,8
