track_id,selected,unique_seed_fields,unique_skeletons,unique_production_keys,unique_blueprint_families
G0_ordinary_alpha_basis_premium,24,1,4,8,1
G1_neutralized_alpha_diagnostic,32,3,23,24,1
G2_downside_risk_defense,40,5,24,40,1
