family,rows,research_candidates,near_miss,raw_recent_fail,cost20_recent_fail,lag1_recent_fail,may_stress_fail
basis_premium,500,0,0,496,396,392,203
basis_premium_clean,250,0,3,210,241,219,145
cost_aware_low_turnover,72,0,0,0,0,0,0
cross_symbol_relative,72,0,0,0,0,0,0
flow_liquidity,500,0,58,430,476,436,259
flow_liquidity_clean,250,0,28,164,209,165,211
microstructure_lite,500,1,3,460,488,466,283
microstructure_lite_lag_stable,72,0,0,0,0,0,0
microstructure_lite_latency_robust,250,0,33,150,206,160,211
placebo_random,500,0,0,500,500,500,283
placebo_random_control,322,0,0,225,238,238,191
regime_conditional_no_may,57,0,0,0,0,0,0
residual_orthogonal_basis,72,0,0,0,0,0,0
