field_name,quantile,threshold,fit_split,fit_rows
log_quote_volume_168h,0.33,13.135794883750597,train_2024,1874201
log_quote_volume_168h,0.66,14.510263661319653,train_2024,1874201
realized_vol_168h,0.33,0.009037298733782504,train_2024,1867312
realized_vol_168h,0.66,0.013101499201958619,train_2024,1867312
funding_rate_abs_168h,0.5,6.290285714285715e-05,train_2024,655080
funding_rate_abs_168h,0.8,0.00015776700000000012,train_2024,655080
basis_abs_168h,0.5,6.033768291687774,train_2024,1871779
basis_abs_168h,0.8,8.614194090574825,train_2024,1871779
rolling_coverage_168h,0.9,1.0,train_2024,1874201
rolling_coverage_168h,0.99,1.0,train_2024,1874201
