symbol,rows,search_eligibility,history_tier,liquidity_tier,states,dominant_state_id,dominant_state_share,age_lt30_rows,age_lt30_share,unseen_state_rows,unseen_state_share
0GUSDT,5409,listing_aware,short_history,top100,33,lv_c1d2308e8b,0.1238676280273618,721,0.13329635792198188,153,0.028286189683860232
1000000BOBUSDT,7912,listing_aware,recent_only,tail,29,lv_c1d2308e8b,0.21890798786653184,721,0.09112740141557128,0,0.0
1000000MOGUSDT,12948,listing_aware,listed_by_2025H1,tail,65,lv_1746c0d893,0.08433734939759036,721,0.055684275563793635,2482,0.19168983626814953
1000BONKUSDT,20424,strict_full_history,full_2024_2026apr,top50,76,lv_f81c1f989e,0.13591852722287504,721,0.03530160595377987,2929,0.143409714061888
1000CATUSDT,13356,listing_aware,listed_by_2025H1,tail,66,lv_e626529216,0.09329140461215933,721,0.053983228511530396,3517,0.26332734351602277
1000CHEEMSUSDT,12517,listing_aware,listed_by_2025H1,tail,63,lv_937ea0833b,0.19078053846768395,721,0.057601661740033554,2422,0.1934968442917632
1000FLOKIUSDT,20424,strict_full_history,full_2024_2026apr,top100,61,lv_b44adfd79f,0.12377594986290638,721,0.03530160595377987,2347,0.11491382687034861
1000LUNCUSDT,20424,strict_full_history,full_2024_2026apr,top200,69,lv_96c26a261d,0.12965139052095573,721,0.03530160595377987,4089,0.20020564042303174
1000PEPEUSDT,20424,strict_full_history,full_2024_2026apr,top20,36,lv_06020f9b07,0.3012632197414806,721,0.03530160595377987,398,0.019486878182530358
1000RATSUSDT,20424,strict_full_history,full_2024_2026apr,top200,61,lv_52bd5de3ca,0.12446141793967881,721,0.03530160595377987,8639,0.4229827653740697
1000SATSUSDT,20424,strict_full_history,full_2024_2026apr,top100,75,lv_06e9ff0a93,0.10027418723070897,721,0.03530160595377987,6372,0.3119858989424207
1000SHIBUSDT,20424,strict_full_history,full_2024_2026apr,top50,41,lv_04c5ba0d83,0.29925577751664706,721,0.03530160595377987,106,0.0051899725812769295
1000XECUSDT,20424,strict_full_history,full_2024_2026apr,tail,60,lv_1c45188236,0.19168625146886017,721,0.03530160595377987,5301,0.2595475910693302
1INCHUSDT,20424,strict_full_history,full_2024_2026apr,top200,71,lv_1c45188236,0.1844888366627497,721,0.03530160595377987,4797,0.2348707403055229
1MBABYDOGEUSDT,14197,listing_aware,listed_by_2025H1,top200,61,lv_df179999cb,0.16235824469958443,721,0.05078537719236458,1682,0.1184757343100655
2ZUSDT,5052,listing_aware,short_history,tail,45,lv_0fdf3fa5a9,0.08808392715756136,721,0.1427157561361837,258,0.0510688836104513
4USDT,4909,listing_aware,short_history,top200,30,lv_11d1987305,0.17804033408026074,721,0.1468730902424119,0,0.0
AAVEUSDT,20424,strict_full_history,full_2024_2026apr,top50,55,lv_06020f9b07,0.21621621621621623,721,0.03530160595377987,1943,0.09513317665491579
ACEUSDT,20424,strict_full_history,full_2024_2026apr,tail,88,lv_88725ec87a,0.08083627105366235,721,0.03530160595377987,6161,0.3016549157853506
ACHUSDT,20424,strict_full_history,full_2024_2026apr,tail,70,lv_1c45188236,0.13067959263611437,721,0.03530160595377987,3884,0.19016842929886407
ACTUSDT,12852,listing_aware,listed_by_2025H1,top200,57,lv_5cab3ebb6d,0.08955804544039839,721,0.056100217864923745,3677,0.2861033302209773
ACUUSDT,2388,listing_aware,short_history,tail,23,lv_5e67fe5d76,0.13986599664991625,721,0.3019262981574539,164,0.06867671691792294
ACXUSDT,12249,listing_aware,listed_by_2025H1,tail,57,lv_1474e8a39c,0.11013143930116744,721,0.05886194791411544,1948,0.15903339048085557
ADAUSDT,20424,strict_full_history,full_2024_2026apr,top20,36,lv_04c5ba0d83,0.33641793967880923,721,0.03530160595377987,751,0.036770466118292204
AERGOUSDT,9469,hold_quality_or_short_history,recent_only,tail,68,lv_39f7a6f3ec,0.09958812968634491,710,0.07498151863977189,1112,0.11743584327806526
AEROUSDT,12298,listing_aware,listed_by_2025H1,top200,95,lv_cf17745d1a,0.12579281183932348,721,0.05862741909253537,1985,0.16140835908277767
AEVOUSDT,18683,listing_aware,listed_by_2025H1,top200,61,lv_88725ec87a,0.1020714018091313,721,0.03859123267141251,4638,0.24824706952844833
AGLDUSDT,20424,strict_full_history,full_2024_2026apr,tail,68,lv_1c45188236,0.12083822953388171,721,0.03530160595377987,4883,0.23908147277712496
AGTUSDT,8294,listing_aware,recent_only,tail,44,lv_f8ae294231,0.17723655654690137,721,0.0869303110682421,24,0.0028936580660718593
AIAUSDT,2869,hold_quality_or_short_history,short_history,tail,17,lv_adc7fa05ea,0.32171488323457653,710,0.2474729871035204,534,0.18612757058208435
AINUSDT,7070,listing_aware,recent_only,tail,35,lv_1243487648,0.13507779349363508,721,0.10198019801980197,0,0.0
AIOTUSDT,8772,listing_aware,recent_only,tail,29,lv_f8ae294231,0.18422252621979024,721,0.08219334245326038,0,0.0
AIOUSDT,6253,listing_aware,short_history,tail,37,lv_1f9d8a4f8c,0.09851271389732928,721,0.11530465376619223,18,0.002878618263233648
AIXBTUSDT,11910,listing_aware,listed_by_2025H1,top100,74,lv_eb465cc404,0.1351805205709488,721,0.060537363560033586,1795,0.15071368597816961
AKEUSDT,5196,listing_aware,short_history,tail,24,lv_11d1987305,0.16493456505003848,721,0.13876058506543495,0,0.0
AKTUSDT,12685,listing_aware,listed_by_2025H1,tail,76,lv_9827e98ba5,0.07000394166338195,721,0.05683878596767836,3001,0.23657863618446984
ALCHUSDT,11485,listing_aware,listed_by_2025H1,tail,59,lv_1f9d8a4f8c,0.07993034392686112,721,0.06277753591641272,2600,0.22638223770134958
ALGOUSDT,20424,strict_full_history,full_2024_2026apr,top100,74,lv_f93252378d,0.13307873090481787,721,0.03530160595377987,1271,0.062230708969839406
ALICEUSDT,20424,strict_full_history,full_2024_2026apr,tail,73,lv_a152530946,0.12034860947904426,721,0.03530160595377987,3330,0.16304347826086957
ALLOUSDT,4090,listing_aware,short_history,tail,33,lv_6f53fb23d8,0.13838630806845967,721,0.17628361858190708,262,0.06405867970660147
ALLUSDT,6423,listing_aware,short_history,tail,15,lv_fd823dbade,0.30017125953604235,721,0.11225284135139343,0,0.0
ALPINEUSDT,8631,listing_aware,recent_only,tail,70,lv_dbcfc4ac24,0.19847062912756344,721,0.08353609083536091,4,0.0004634457189201715
ALTUSDT,19834,strict_full_history,full_2024_2026apr,top200,99,lv_88725ec87a,0.07255218311989513,721,0.036351719269940505,5067,0.2554704043561561
ANIMEUSDT,11095,listing_aware,recent_only,tail,89,lv_937ea0833b,0.10554303740423614,721,0.06498422712933755,2290,0.206399278954484
ANKRUSDT,20424,strict_full_history,full_2024_2026apr,tail,64,lv_1c45188236,0.216069330199765,721,0.03530160595377987,7148,0.3499804151978065
APEUSDT,20424,strict_full_history,full_2024_2026apr,top100,63,lv_fdbc06969e,0.10198785742264004,721,0.03530160595377987,2268,0.11104582843713279
API3USDT,20424,strict_full_history,full_2024_2026apr,top200,127,lv_9827e98ba5,0.05341754798276537,721,0.03530160595377987,6266,0.3067959263611438
APRUSDT,4550,listing_aware,short_history,tail,31,lv_6f53fb23d8,0.19494505494505496,721,0.15846153846153846,62,0.013626373626373627
APTUSDT,20424,strict_full_history,full_2024_2026apr,top50,54,lv_04c5ba0d83,0.16431649040344692,721,0.03530160595377987,2158,0.10566000783392088
ARBUSDT,20424,strict_full_history,full_2024_2026apr,top50,43,lv_06020f9b07,0.2357520564042303,721,0.03530160595377987,76,0.0037211124167645907
ARCUSDT,11243,listing_aware,recent_only,top200,42,lv_f8ae294231,0.15538557324557503,721,0.06412879124788758,1770,0.15743129058080582
ARIAUSDT,5749,listing_aware,short_history,tail,29,lv_638bb9adf0,0.18855453122282137,721,0.12541311532440425,0,0.0
ARKMUSDT,20424,strict_full_history,full_2024_2026apr,top100,60,lv_9dc20a78c5,0.1700940070505288,721,0.03530160595377987,3355,0.1642675283979632
ARKUSDT,20424,strict_full_history,full_2024_2026apr,tail,104,lv_1474e8a39c,0.10247747747747747,721,0.03530160595377987,6918,0.3387191539365452
