pool_name,seed_id,expression,semantic_pair,operator,input_fields,input_field_count,info_clusters,input_cluster_count,filter_decision,rejected_fields,filter_reason
a7ff_v20260530_formula_index,,"Abs(ZScore(Mean(mark_index_basis_bps,8)))",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Abs(ZScore(Mean(mark_index_basis_bps,168)))",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Abs(ZScore(Mean(mark_index_basis_bps,24)))",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Abs(ZScore(Mean(mark_index_basis_bps,72)))",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Mean(mark_index_basis_bps,168)",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Mean(mark_index_basis_bps,4)",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Decay(mark_index_basis_bps,168)",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Mean(mark_index_basis_bps,24)",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Delta(mark_index_basis_bps,24)",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Mean(mark_index_basis_bps,1)",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Mean(mark_index_basis_bps,2)",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Delta(mark_index_basis_bps,168)",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Delta(mark_index_basis_bps,4)",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Delta(mark_index_basis_bps,12)",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Delta(mark_index_basis_bps,1)",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Decay(mark_index_basis_bps,24)",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Mean(mark_index_basis_bps,336)",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
a7ff_v20260530_formula_index,,"Delta(mark_index_basis_bps,336)",basis_premium_like,single,mark_index_basis_bps,1,ic_013,1,accept_primary_incremental_input,,has_primary_incremental_signal
