atlas_candidate_count,decision,field_count,field_family,full_timestamps_before_subset,generated_at,missing_fields_excluded,response_rows,stage,symbols_loaded,timestamps,transform_count
144,PASS_A7FFCORE16E_FAMILY_SHARD_COMPLETE,5,basis_premium,21025,2026-06-01T09:09:00Z,[],800,A7FF-CORE16E-FAMILY,96,3481,9
0,PASS_A7FFCORE16E_FAMILY_SHARD_COMPLETE,2,coverage,21025,2026-06-01T09:12:43Z,[],320,A7FF-CORE16E-FAMILY,96,3481,0
0,PASS_A7FFCORE16E_FAMILY_SHARD_COMPLETE,3,funding,21025,2026-06-01T09:04:33Z,[],480,A7FF-CORE16E-FAMILY,96,3481,0
0,PASS_A7FFCORE16E_FAMILY_SHARD_COMPLETE,4,liquidity,21025,2026-06-01T09:03:01Z,[],640,A7FF-CORE16E-FAMILY,96,3481,0
0,PASS_A7FFCORE16E_FAMILY_SHARD_COMPLETE,1,liquidity_volatility,21025,2026-06-01T09:11:50Z,[],160,A7FF-CORE16E-FAMILY,96,3481,0
0,PASS_A7FFCORE16E_FAMILY_SHARD_COMPLETE,2,listing_age,21025,2026-06-01T09:10:00Z,[],320,A7FF-CORE16E-FAMILY,96,3481,0
0,PASS_A7FFCORE16E_FAMILY_SHARD_COMPLETE,2,listing_age_interaction,21025,2026-06-01T09:12:04Z,[],320,A7FF-CORE16E-FAMILY,96,3481,0
0,PASS_A7FFCORE16E_FAMILY_SHARD_COMPLETE,3,open_interest,21025,2026-06-01T09:07:15Z,[],480,A7FF-CORE16E-FAMILY,96,3481,0
0,PASS_A7FFCORE16E_FAMILY_SHARD_COMPLETE,1,open_interest_interaction,21025,2026-06-01T09:06:37Z,[],160,A7FF-CORE16E-FAMILY,96,3481,0
1,PASS_A7FFCORE16E_FAMILY_SHARD_COMPLETE,3,positioning,21025,2026-06-01T09:10:15Z,[],480,A7FF-CORE16E-FAMILY,96,3481,1
4,PASS_A7FFCORE16E_FAMILY_SHARD_COMPLETE,2,price_return,21025,2026-06-01T09:00:39Z,[],320,A7FF-CORE16E-FAMILY,96,3481,2
0,PASS_A7FFCORE16E_FAMILY_SHARD_COMPLETE,2,taker_flow,21025,2026-06-01T09:03:24Z,[],320,A7FF-CORE16E-FAMILY,96,3481,0
0,PASS_A7FFCORE16E_FAMILY_SHARD_COMPLETE,2,volatility,21025,2026-06-01T09:00:38Z,[],320,A7FF-CORE16E-FAMILY,96,3481,0
