path,line_no,pattern,category,severity,decision,classification,excerpt,rationale
scripts/build_crypto_primary_additions_1h_panel_from_vision.py,271,global_rank_or_quantile,normalization_scope,low,review,scope_check,"panel[f""cs_rank_{col}""] = grp.rank(pct=True)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7aa1_primitive_response_map.py,248,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future_24h"": shift_matrix(signal, -24),",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ab4_materialization_preflight.py,107,global_rank_or_quantile,normalization_scope,low,review,scope_check,"ranked = series.rolling(window=w, min_periods=min_periods).rank(pct=True)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ab6_small_numeric_replay_preflight.py,121,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"return pd.DataFrame(values).rank(axis=0, pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ab6_small_numeric_replay_preflight.py,142,global_rank_or_quantile,normalization_scope,low,review,scope_check,"ranks = pd.DataFrame(sig).rank(axis=0, pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ab6_small_numeric_replay_preflight.py,184,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future_1h"": shift_matrix(base_signal, -1),",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ab8_clue_forensic_execution.py,83,global_rank_or_quantile,normalization_scope,low,review,scope_check,"ranks = pd.DataFrame(sig).rank(axis=0, pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ac3_label_diversification_diagnostic.py,103,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"ranks = pd.DataFrame(sig).rank(axis=0, pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ac3_label_diversification_diagnostic.py,130,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"ranks = pd.DataFrame(np.where(valid, sig, np.nan)).rank(axis=0, pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ac3_label_diversification_diagnostic.py,170,global_rank_or_quantile,normalization_scope,low,review,intentional_label_or_control_context,"ranks = pd.Series(sig_t[idx]).rank(pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ae1_label_adequacy_response_map.py,341,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future_24h"": shift_matrix(signal, -24),",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ag3_numeric_replay_pilot.py,166,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"control_spreads[""wrong_lag_future_24h""], _ = spread_series(shift_matrix(signal, -24), label)",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ag5_clue_forensic_audit.py,89,global_rank_or_quantile,normalization_scope,low,review,scope_check,"ranks = pd.DataFrame(np.where(valid, signal, np.nan)).rank(axis=0, pct=True, method=""average"").to_numpy(dtype=np.float64)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ai0r_core12_aggtrades_unified_feature_build.py,137,global_rank_or_quantile,normalization_scope,low,review,scope_check,"rank = values.rank(axis=1, pct=True)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ak_lv1_latent_state_feature_build.py,151,global_rank_or_quantile,normalization_scope,low,review,scope_check,"df[""age_percentile_active_universe""] = df.groupby(""timestamp"")[""listing_age_days""].rank(pct=True)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ak_lv1_latent_state_feature_build.py,152,global_rank_or_quantile,normalization_scope,low,review,scope_check,"df[""liquidity_rank_active_universe""] = df.groupby(""timestamp"")[""median_quote_volume_168h""].rank(pct=True)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ak_lv1_latent_state_feature_build.py,173,global_rank_or_quantile,normalization_scope,low,review,scope_check,"""threshold"": float(values.quantile(q)) if len(values) else np.nan,","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ak_lv2_response_merge_audit.py,153,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,lag1 = log_close.shift(-25) - log_close.shift(-1),Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ak_lv2_response_merge_audit.py,279,global_rank_or_quantile,normalization_scope,low,review,scope_check,q25 = values.quantile(0.25),"Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ak_lv2_response_merge_audit.py,280,global_rank_or_quantile,normalization_scope,low,review,scope_check,q75 = values.quantile(0.75),"Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ak_lv3_neutral_field_family_smoke.py,122,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"df[""fwd_ret_24h""] = log_close.shift(-24) - log_close",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7ak_lv3_neutral_field_family_smoke.py,208,global_rank_or_quantile,normalization_scope,low,review,scope_check,"q_hi = g[""signal""].quantile(0.9)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7ak_lv3_neutral_field_family_smoke.py,209,global_rank_or_quantile,normalization_scope,low,review,scope_check,"q_lo = g[""signal""].quantile(0.1)","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7al0g_upper_regime_state_builder.py,92,global_rank_or_quantile,normalization_scope,low,review,scope_check,threshold = float(values.quantile(q)) if len(values) else np.nan,"Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7al1_field_family_neutralized_baseline.py,255,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"panel[""fwd_ret_1h""] = log_close.groupby(panel[""symbol""], sort=False).shift(-1) - log_close",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7al1_field_family_neutralized_baseline.py,256,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"panel[""fwd_ret_24h""] = log_close.groupby(panel[""symbol""], sort=False).shift(-24) - log_close",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7al1_field_family_neutralized_baseline.py,423,global_rank_or_quantile,normalization_scope,low,review,scope_check,"work[""rank_pct""] = work.groupby(keys, observed=True)[""signal""].rank(pct=True, method=""average"")","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7al1_field_family_neutralized_baseline.py,658,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"""wrong_lag_future_24h"": global_z(strict, value.groupby(strict[""symbol""], sort=False).shift(-24)),",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7al2i_replay_preflight.py,113,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"out[PRIMARY_LABEL] = log_close.groupby(out[""symbol""], sort=False).shift(-24) - log_close",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7al2i_replay_preflight.py,149,global_rank_or_quantile,normalization_scope,low,review,scope_check,"work[""rank_pct""] = work.groupby(keys, observed=True)[""signal""].rank(pct=True, method=""average"")","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
scripts/crypto_a7al2l_derived_replay_preflight.py,127,negative_shift_or_lag,lookahead_or_control,high,review,intentional_label_or_control_context,"out[PRIMARY_LABEL] = log_close.groupby(out[""symbol""], sort=False).shift(-24) - log_close",Negative shifts are valid only for label/control construction; production features must never use them.
scripts/crypto_a7al2l_derived_replay_preflight.py,202,global_rank_or_quantile,normalization_scope,low,review,scope_check,"work[""rank_pct""] = work.groupby(keys, observed=True)[""signal""].rank(pct=True, method=""average"")","Ranks/quantiles must be timestamp-local, train-only, or explicitly rolling."
