artifact,size_bytes,class,search_feed_policy
runtime/a7ab0_selector_rewrite_dryrun_contract/a7ab0_selector_hard_gates.csv,429,diagnostic_or_gate,not_allowed_directly_without_guard
runtime/a7ab1_selector_rewrite_dryrun/a7ab1_selector_hard_gate_audit.csv,764,diagnostic_or_gate,not_allowed_directly_without_guard
runtime/a7ab1_selector_rewrite_dryrun/a7ab1_selector_queue.csv,4666,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7ab2_seed_constrained_micro_generation_contract/a7ab2_hard_gates.csv,580,diagnostic_or_gate,not_allowed_directly_without_guard
runtime/a7ab2_seed_constrained_micro_generation_contract/a7ab2_seed_queue_input.csv,4651,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7ab3_seed_constrained_dry_generation/a7ab3_static_selected_family_summary.csv,205,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7ab3_seed_constrained_dry_generation/a7ab3_static_selected_queue.csv,158673,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7ab5_numeric_replay_contract/a7ab5_pass_gates.csv,537,diagnostic_or_gate,not_allowed_directly_without_guard
runtime/a7ab5_numeric_replay_contract/a7ab5_replay_contract_queue.csv,41257,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7ab6_small_numeric_replay_preflight/a7ab6_clue_queue.csv,6183,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7ab6_small_numeric_replay_preflight/a7ab6_ranked_decision_queue.csv,139633,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7ab7_clue_forensic_contract/a7ab7_clue_queue_input.csv,5969,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7ab7_clue_forensic_contract/a7ab7_pass_gates.csv,566,diagnostic_or_gate,not_allowed_directly_without_guard
runtime/a7ac0_representative_forensic_contract/a7ac0_pass_gates.csv,948,diagnostic_or_gate,not_allowed_directly_without_guard
runtime/a7ac2_label_diversification_contract/a7ac2_pass_gates.csv,864,diagnostic_or_gate,not_allowed_directly_without_guard
runtime/a7ad0_ranked_label_translation_contract/a7ad0_pass_gates.csv,433,diagnostic_or_gate,not_allowed_directly_without_guard
runtime/a7af0_role_aware_selector_contract/a7af0_selector_hard_gates.csv,515,diagnostic_or_gate,not_allowed_directly_without_guard
runtime/a7af1_role_aware_selector_dryrun/a7af1_selected_queue.csv,9781,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7af1_role_aware_selector_dryrun/a7af1_selected_tier_summary.csv,307,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7ag0_role_aware_generation_contract/a7ag0_source_queue_track_summary.csv,307,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7ag0_role_aware_generation_contract/a7ag0_source_selected_queue.csv,9764,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7ag2_numeric_replay_contract/a7ag2_numeric_replay_queue.csv,57140,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7ah1d_ordinary_alpha_dry_rerank/a7ah1d_ordinary_alpha_rerank_queue.csv,18694,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7ah1d_ordinary_alpha_dry_rerank/a7ah1d_ordinary_alpha_selected.csv,1342,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7ai0_core12_aggtrades_experiment_contract/a7ai0_split_manifest.csv,612,diagnostic_or_gate,not_allowed_directly_without_guard
runtime/a7aj_universe500_silver_acceptance_panel_prep/a7aj_output_panel_manifest.csv,67745,diagnostic_or_gate,not_allowed_directly_without_guard
runtime/a7al2g_matched_control_gate/a7al2g_candidate_gate_matrix.csv,18738,diagnostic_or_gate,not_allowed_directly_without_guard
runtime/a7al2h_selector_repair/a7al2h_selected_control_gated_candidates.csv,10405,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7al2h_selector_repair/a7al2h_selected_family_counts.csv,98,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7al2h_selector_repair/a7al2h_selected_policy_counts.csv,101,raw_selected_or_queue,not_allowed_directly_without_guard
runtime/a7al2k_derived_generator_smoke/a7al2k_selected_candidates.csv,321298,raw_selected_or_queue,not_allowed_directly_without_guard
