candidate_id,family_id,dataset,sample_rows,score_non_null_ratio,score_std
a7ffcore33_007,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,1872,0.2857905982905983,0.22669151425361633
a7ffcore33_008,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,1872,0.2857905982905983,0.044017937034368515
a7ffcore33_015,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,1872,0.2900641025641026,0.19585685431957245
a7ffcore33_016,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,1872,0.2900641025641026,0.25454309582710266
a7ffcore33_017,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,1872,0.2857905982905983,0.2019519805908203
a7ffcore33_018,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,1872,0.2900641025641026,0.9500855207443237
a7ffcore33_020,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,1872,0.2900641025641026,0.1841161847114563
a7ffcore33_000,F1b_taker_flow_market_panel,top498_replay_v2,15866,0.9564477499054582,0.3320985734462738
a7ffcore33_001,F1b_taker_flow_market_panel,top498_replay_v2,15866,0.160216815832598,0.40239888429641724
a7ffcore33_002,F2a_basis_funding_independent,top498_replay_v2,15866,0.160216815832598,0.00308709847740829
a7ffcore33_003,F2a_basis_funding_independent,top498_replay_v2,15866,0.9549981091642507,1.4180728197097778
a7ffcore33_004,F2a_basis_funding_independent,top498_replay_v2,15866,0.160216815832598,0.0016052393475547433
a7ffcore33_005,F2a_basis_funding_independent,top498_replay_v2,15866,0.9534224127064163,0.7432255148887634
a7ffcore33_006,F1b_taker_flow_market_panel,top498_replay_v2,15866,0.9534224127064163,2588534784.0
a7ffcore33_009,F2a_basis_funding_independent,top498_replay_v2,15866,0.16002773225765787,0.5862049460411072
a7ffcore33_010,F2a_basis_funding_independent,top498_replay_v2,15866,0.15958653724946426,0.0018749855225905776
a7ffcore33_011,F2a_basis_funding_independent,top498_replay_v2,15866,0.9565107777637716,0.009099523536860943
a7ffcore33_012,F1b_taker_flow_market_panel,top498_replay_v2,15866,0.9565107777637716,0.287166565656662
a7ffcore33_013,F2a_basis_funding_independent,top498_replay_v2,15866,0.9552502205975041,23.648160934448242
a7ffcore33_014,F1b_taker_flow_market_panel,top498_replay_v2,15866,0.15958653724946426,0.3753630816936493
a7ffcore33_019,F1b_taker_flow_market_panel,top498_replay_v2,15866,0.16002773225765787,0.8949161171913147
