dataset,shard_id,candidate_id,family_id,estimated_full_source_rows,sample_packet_rows,recommended_full_packet_output
core12_aggtrades_all_features,core12_aggtrades_all_features_candidate_00,a7ffcore33_007,F1a_aggtrades_flow_microstructure,815818,3264,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_007.parquet
core12_aggtrades_all_features,core12_aggtrades_all_features_candidate_01,a7ffcore33_008,F1a_aggtrades_flow_microstructure,815818,3240,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_008.parquet
core12_aggtrades_all_features,core12_aggtrades_all_features_candidate_02,a7ffcore33_015,F1a_aggtrades_flow_microstructure,815818,3264,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_015.parquet
core12_aggtrades_all_features,core12_aggtrades_all_features_candidate_03,a7ffcore33_016,F1a_aggtrades_flow_microstructure,815818,3264,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_016.parquet
core12_aggtrades_all_features,core12_aggtrades_all_features_candidate_04,a7ffcore33_017,F1a_aggtrades_flow_microstructure,815818,3264,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_017.parquet
core12_aggtrades_all_features,core12_aggtrades_all_features_candidate_05,a7ffcore33_018,F1a_aggtrades_flow_microstructure,815818,3264,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_018.parquet
core12_aggtrades_all_features,core12_aggtrades_all_features_candidate_06,a7ffcore33_020,F1a_aggtrades_flow_microstructure,815818,3264,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_020.parquet
top498_replay_v2,top498_replay_v2_candidate_00,a7ffcore33_000,F1b_taker_flow_market_panel,6949596,73656,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_000.parquet
top498_replay_v2,top498_replay_v2_candidate_01,a7ffcore33_001,F1b_taker_flow_market_panel,6949596,12264,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_001.parquet
top498_replay_v2,top498_replay_v2_candidate_02,a7ffcore33_002,F2a_basis_funding_independent,6949596,12264,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_002.parquet
top498_replay_v2,top498_replay_v2_candidate_03,a7ffcore33_003,F2a_basis_funding_independent,6949596,73552,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_003.parquet
top498_replay_v2,top498_replay_v2_candidate_04,a7ffcore33_004,F2a_basis_funding_independent,6949596,12244,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_004.parquet
top498_replay_v2,top498_replay_v2_candidate_05,a7ffcore33_005,F2a_basis_funding_independent,6949596,73504,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_005.parquet
top498_replay_v2,top498_replay_v2_candidate_06,a7ffcore33_006,F1b_taker_flow_market_panel,6949596,73504,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_006.parquet
top498_replay_v2,top498_replay_v2_candidate_07,a7ffcore33_009,F2a_basis_funding_independent,6949596,12016,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_009.parquet
top498_replay_v2,top498_replay_v2_candidate_08,a7ffcore33_010,F2a_basis_funding_independent,6949596,12092,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_010.parquet
top498_replay_v2,top498_replay_v2_candidate_09,a7ffcore33_011,F2a_basis_funding_independent,6949596,73680,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_011.parquet
top498_replay_v2,top498_replay_v2_candidate_10,a7ffcore33_012,F1b_taker_flow_market_panel,6949596,73668,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_012.parquet
top498_replay_v2,top498_replay_v2_candidate_11,a7ffcore33_013,F2a_basis_funding_independent,6949596,73584,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_013.parquet
top498_replay_v2,top498_replay_v2_candidate_12,a7ffcore33_014,F1b_taker_flow_market_panel,6949596,12092,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_014.parquet
top498_replay_v2,top498_replay_v2_candidate_13,a7ffcore33_019,F1b_taker_flow_market_panel,6949596,12216,G:/AlphaFactory_CryptoData/research_runtime/a7ffcore39e_symbol_level_book_packet_20260602/candidate=a7ffcore33_019.parquet
