candidate_id,root_subgraph_id,semantic_bucket,motif_bucket,label_id,horizon,sample_rows,corr,spread,original_score,max_control_score,control_ratio,primary_non_l7,numeric_clue,time_shuffle_corr,symbol_shuffle_corr,same_family_placebo_corr,wrong_lag_future_corr,wrong_lag_stale_corr,sign_flip_corr,time_shuffle_spread,symbol_shuffle_spread,same_family_placebo_spread,wrong_lag_future_spread,wrong_lag_stale_spread,sign_flip_spread,time_shuffle_score,time_shuffle_ratio,symbol_shuffle_score,symbol_shuffle_ratio,same_family_placebo_score,same_family_placebo_ratio,wrong_lag_future_score,wrong_lag_future_ratio,wrong_lag_stale_score,wrong_lag_stale_ratio,sign_flip_score,sign_flip_ratio,non_sign_max_control_score,non_sign_control_ratio,sign_flip_tautology,repaired_numeric_clue,original_policy_blocked_by_sign_flip,sign_flip_diagnostic_ratio,sign_flip_in_max_control_policy
a7ffcore5_c84732657e9ffe68d5,sg_74cf2751de3b75b6,liquidity_like,liquidity_shock,L5_vol_adjusted_return,4,160949,0.0144280328905307,0.1644794888810598,0.1644794888810598,0.1177366645265568,0.7158136575417974,True,True,0.0056038484920921,-0.0020602569442795,-0.002008357311344,0.0306060370054976,0.0008247004298048,-0.0144280328905307,0.0237779947290919,-0.0227311307470356,-0.0322613952752289,0.1177366645265568,0.0480749324028503,-0.1644794888810598,0.0237779947290919,0.1445651059037914,0.0227311307470356,0.1382003975187032,0.0322613952752289,0.1961423609393516,0.1177366645265568,0.7158136575417974,0.0480749324028503,0.2922852735614638,0.1644794888810598,1.0,0.1177366645265568,0.7158136575417974,True,True,True,1.0,diagnostic_only_excluded_from_abs_max_control
a7ffcore5_c84732657e9ffe68d5,sg_74cf2751de3b75b6,liquidity_like,liquidity_shock,L5_vol_adjusted_return,8,160949,0.0115967520419926,0.1917156954699517,0.1917156954699517,0.1424986865492332,0.7432812749103661,True,True,0.0019391998222535,-0.000424318952514,-0.0004908285533069,0.0233494435926507,6.083881820361352e-05,-0.0115967520419926,-0.0144577962453072,-0.0320943694660739,-0.04202690661386,0.1424986865492332,0.022745002007308,-0.1917156954699517,0.0144577962453072,0.0754126896593775,0.0320943694660739,0.1674060612898757,0.04202690661386,0.2192147414474316,0.1424986865492332,0.7432812749103661,0.022745002007308,0.1186392274850178,0.1917156954699517,1.0,0.1424986865492332,0.7432812749103661,True,True,True,1.0,diagnostic_only_excluded_from_abs_max_control
a7ffcore5_c84732657e9ffe68d5,sg_74cf2751de3b75b6,liquidity_like,liquidity_shock,L5_vol_adjusted_return,24,160949,0.0108839641676053,0.3385870092057813,0.3385870092057813,0.2172217513926816,0.6415537084609819,True,True,0.0084686934447293,-0.0004187195236001,-0.0006095979118787,0.0172489303219328,0.0084620661800052,-0.0108839641676053,0.0723835852219199,0.0774385751332762,-0.0628363065015792,0.2172217513926816,0.2121882709358165,-0.3385870092057813,0.0723835852219199,0.2137813420299527,0.0774385751332762,0.2287110049346629,0.0628363065015792,0.1855839261198279,0.2172217513926816,0.6415537084609819,0.2121882709358165,0.6266875726671957,0.3385870092057813,1.0,0.2172217513926816,0.6415537084609819,True,True,True,1.0,diagnostic_only_excluded_from_abs_max_control
a7ffcore5_548e4c9f811a38d9c7,sg_1d81b3d17579bfd1,liquidity_like,liquidity_shock,L1_cross_sectional_relative_return,4,168530,0.0123759184675654,-0.0001808100913396,0.0123759184675654,0.0083384059186893,0.6737605730469585,True,True,-0.0028350609299586,0.0039765897252704,-0.0030380393355664,0.0083384059186893,0.0046329427177368,-0.0123759184675654,-0.0002243982000111,-3.482139214597718e-05,-9.692608226467936e-05,0.0035021165726891,-0.0002079879897586,0.0001808100913396,0.0028350609299586,0.2290788305844677,0.0039765897252704,0.3213167358602257,0.0030380393355664,0.2454799087056401,0.0083384059186893,0.6737605730469585,0.0046329427177368,0.3743514253005737,0.0123759184675654,1.0,0.0083384059186893,0.6737605730469585,True,True,True,1.0,diagnostic_only_excluded_from_abs_max_control
a7ffcore5_548e4c9f811a38d9c7,sg_1d81b3d17579bfd1,liquidity_like,liquidity_shock,L3_liquidity_tier_relative_return,4,161558,0.0104021376045701,-0.0004351196707394,0.0104021376045701,0.0043138257835803,0.4147057025745413,True,True,-0.0032872679340839,0.0043138257835803,-0.0023599299760029,0.0026051766345569,0.0034116567689759,-0.0104021376045701,-0.0002985576965787,9.007796137242706e-05,-5.740044274703119e-05,0.0032505934264116,-8.060455326870327e-05,0.0004351196707394,0.0032872679340839,0.3160185011049713,0.0043138257835803,0.4147057025745413,0.0023599299760029,0.2268697132948984,0.0032505934264116,0.3124928307988808,0.0034116567689759,0.3279765081628044,0.0104021376045701,1.0,0.0043138257835803,0.4147057025745413,True,True,True,1.0,diagnostic_only_excluded_from_abs_max_control
a7ffcore5_5868db3efa1fa51de5,sg_eb8a24b1083f7b7a,liquidity_like,single,L5_vol_adjusted_return,8,160949,0.0043039269483186,0.2002494871935599,0.2002494871935599,0.1490222017033894,0.7441826882649916,True,True,-0.0008823430571466,-0.0004132865719534,-0.0005094715095092,0.0075936058558418,0.0023562733729858,-0.0043039269483186,0.0183508904078301,-0.0395523276944262,-0.0343181408895891,0.1490222017033894,0.0426972890577145,-0.2002494871935599,0.0183508904078301,0.0916401368363667,0.0395523276944262,0.1975152508440392,0.0343181408895891,0.1713769227105056,0.1490222017033894,0.7441826882649916,0.0426972890577145,0.213220466409702,0.2002494871935599,1.0,0.1490222017033894,0.7441826882649916,True,True,True,1.0,diagnostic_only_excluded_from_abs_max_control
a7ffcore5_5868db3efa1fa51de5,sg_eb8a24b1083f7b7a,liquidity_like,single,L5_vol_adjusted_return,24,160949,0.0057201892259636,0.3723178787524177,0.3723178787524177,0.270374838469187,0.7261935402489217,True,True,0.0037074929134189,0.0005021797195883,-0.0042847529490142,0.0075396528492735,0.0054398512424802,-0.0057201892259636,0.0146070001209663,-0.0151696842823985,-0.0926508983560573,0.270374838469187,0.2172093538103952,-0.3723178787524177,0.0146070001209663,0.0392326045956004,0.0151696842823985,0.0407439050019028,0.0926508983560573,0.2488489101477393,0.270374838469187,0.7261935402489217,0.2172093538103952,0.5833975916983405,0.3723178787524177,1.0,0.270374838469187,0.7261935402489217,True,True,True,1.0,diagnostic_only_excluded_from_abs_max_control
a7ffcore5_878dbcae60b12dc7c4,sg_b7545d2a9a08d265,liquidity_like,single,L1_cross_sectional_relative_return,4,168510,-0.0045578794769535,0.0001050106388403,0.0045578794769535,0.0033664160341985,0.7385925957938279,True,True,0.0014734071478336,-0.0026984804061426,-0.0008502862412613,-0.0033664160341985,0.0003230140025363,0.0045578794769535,-0.0003081962279917,0.0001898279495684,-0.0003006374905273,0.0004921476624861,2.1974138540621768e-05,-0.0001050106388403,0.0014734071478336,0.3232659299754959,0.0026984804061426,0.5920473368783047,0.0008502862412613,0.1865530331727055,0.0033664160341985,0.7385925957938279,0.0003230140025363,0.0708693602298153,0.0045578794769535,1.0,0.0033664160341985,0.7385925957938279,True,True,True,1.0,diagnostic_only_excluded_from_abs_max_control
a7ffcore5_f8f5a7d388d98ddbee,sg_eecb865fab2bc504,liquidity_like,single,L1_cross_sectional_relative_return,4,168538,-0.0053636998822159,0.0002246569887035,0.0053636998822159,0.0035037236736845,0.653228881299192,True,True,0.0013403900197428,-0.0007153417077525,-0.0035037236736845,-0.0030914734725519,-1.1619673205308883e-05,0.0053636998822159,-0.0003637967044396,2.2670209560653794e-05,-9.83297384741964e-06,0.0005631569180583,-0.0002482788024409,-0.0002246569887035,0.0013403900197428,0.2499002645891973,0.0007153417077525,0.1333672135766425,0.0035037236736845,0.653228881299192,0.0030914734725519,0.5763695845105193,0.0002482788024409,0.0462887200799774,0.0053636998822159,1.0,0.0035037236736845,0.653228881299192,True,True,True,1.0,diagnostic_only_excluded_from_abs_max_control
a7ffcore5_f8f5a7d388d98ddbee,sg_eecb865fab2bc504,liquidity_like,single,L1_cross_sectional_relative_return,24,168538,-0.0069348743696825,-0.0011160020309503,0.0069348743696825,0.0055414725481915,0.799073242396056,True,True,-0.0029637583572276,0.0002945253092581,0.0006662264807874,-0.0055414725481915,-0.0010800920886139,0.0069348743696825,-0.0010470183310734,-0.0001552572713078,0.0006947320661774,-0.0009161800005052,-0.0014899664823583,0.0011160020309503,0.0029637583572276,0.427370158309485,0.0002945253092581,0.0424701722854114,0.0006947320661774,0.1001794739374935,0.0055414725481915,0.799073242396056,0.0014899664823583,0.2148512579942403,0.0069348743696825,1.0,0.0055414725481915,0.799073242396056,True,True,True,1.0,diagnostic_only_excluded_from_abs_max_control
