symbol,status,rows,timestamp_start,timestamp_end
1000BONKUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
1000FLOKIUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
1000LUNCUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
1000PEPEUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
1000RATSUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
1000SATSUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
1000SHIBUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
1000XECUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
1INCHUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
AAVEUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ACEUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ACHUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ADAUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
AGLDUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ALGOUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ALICEUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ALTUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ANKRUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
APEUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
API3USDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
APTUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ARBUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ARKMUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ARKUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ARPAUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ARUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ASTRUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ATOMUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
AUCTIONUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
AVAXUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
AXSUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
BANDUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
BATUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
BCHUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
BEAMXUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
BELUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
BICOUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
BIGTIMEUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
BLURUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
BNBUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
BNTUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
BSVUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
BTCUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
C98USDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
CAKEUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
CELOUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
CELRUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
CFXUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
CHRUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
CHZUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
COMPUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
COTIUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
CRVUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
CTSIUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
CYBERUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
DASHUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
DODOXUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
DOGEUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
DOTUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
DUSKUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
DYDXUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
EDUUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
EGLDUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ENJUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ENSUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ETCUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ETHUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ETHWUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
FETUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
FILUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
FLOWUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
GALAUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
GASUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
GMTUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
GMXUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
GRTUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
GTCUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
HBARUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
HFTUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
HIGHUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
HOTUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ICPUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ICXUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
IDUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
ILVUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
IMXUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
INJUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
IOSTUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
IOTAUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
IOTXUSDT,ok,408,2026-05-26T00:00:00,2026-06-11T23:00:00
