object,gate,split,active_ratio,active_hours,inactive_hours,active_mean_return,inactive_missed_mean_return,active_total_return_sum,inactive_missed_return_sum,n,mean_hour,annualized_mean,std_hour,sharpe_proxy,sortino_proxy,hit_rate,additive_total,additive_max_dd,compounded_total,compounded_max_dd,min_hour,q01,q05,median,q95,month_count,positive_month_count,positive_month_rate,worst_month_sum,mean_turnover_active
FundingCore,G0_no_gate,train_2024,1.0,8736,0,0.00011410594399675168,,0.9968295267556226,,8736,0.00011410594399675168,0.9995680694115447,0.003579212099054625,2.9838218266525076,3.7878864301595527,0.5217490842490843,0.9968295267556226,-1.439899067890831,1.5619269764195503,-0.7657991337629467,-0.030972844954426926,-0.010472586274603537,-0.005378346283689335,0.00013254282171384885,0.0053862544382008585,12,9,0.75,-1.188818753653401,0.021700360645209617
FundingCore,G0_no_gate,validation_2025H1,1.0,4296,0,0.00024043009655932466,,1.0328876948188588,,4296,0.00024043009655932466,2.106167645859684,0.0034223285711086674,6.575354634061474,7.746284318774644,0.5579608938547486,1.0328876948188588,-0.46387921161264956,1.738833721523033,-0.37505945279047137,-0.038121102329422056,-0.008856895194634022,-0.004900910087341912,0.00030988247208006095,0.0052465158805508685,6,5,0.8333333333333334,-0.2752300462032177,0.029497642166787155
FundingCore,G0_no_gate,recent_oos_2025H2_2026Apr,1.0,7248,0,0.00010592494332276514,,0.7677439892034017,,7248,0.00010592494332276514,0.9279025035074226,0.0026433369088904447,3.750574299457433,5.209325740528273,0.5121412803532008,0.7677439892034017,-0.9235493677076454,1.1009979365603724,-0.6068311330647214,-0.017298481156424527,-0.007886884390089763,-0.003723598538453378,4.786639698860093e-05,0.003989508603636153,10,8,0.8,-0.6786325564317995,0.03139337989917947
FundingCore,G0_no_gate,fresh_forward_2026May,1.0,392,0,-0.00030891030746463374,,-0.12109284052613642,,392,-0.00030891030746463374,-2.7060542933901917,0.0027253098280088867,-10.608856388629809,-20.083681777250312,0.35459183673469385,-0.12109284052613642,-0.1967374610949341,-0.11534671215702608,-0.17888775137920254,-0.008057718175704848,-0.0063313689032590895,-0.0037841126213642743,-0.0005083165100628523,0.003805771311741803,1,0,0.0,-0.09142351593127747,0.03255449907235622
FundingCore,G1_avoid_high_funding_abs,train_2024,0.6694139194139194,5848,2888,0.00011490628868231202,0.00011248530143402427,0.6719719762141607,0.3248575505414621,8736,7.691986907213376e-05,0.6738180530718917,0.002581679894123593,2.788612674199134,3.0232882347714924,0.3532509157509158,0.6719719762141605,-0.8317768350599299,0.9018279840021131,-0.5670139976550628,-0.024481989804117314,-0.008080555050404638,-0.003910054846021137,0.0,0.00420784441225253,12,7,0.5833333333333334,-0.7129529097204479,0.022064987717432788
FundingCore,G1_avoid_high_funding_abs,validation_2025H1,0.9755586592178771,4191,105,0.0001917865089082717,0.0021820041522313534,0.8037772588345666,0.2291104359842921,4296,0.00018709898948663097,1.6389871479028872,0.0033384147825849366,5.245455417647769,6.015416098199476,0.5400372439478585,0.8037772588345666,-0.49171386669695627,1.1807814873782267,-0.39216633811064294,-0.038121102329422056,-0.008856895194634022,-0.004824803404433946,0.00021454510537395673,0.004988839537640577,6,5,0.8333333333333334,-0.3106265901105257,0.02947491870658087
FundingCore,G1_avoid_high_funding_abs,recent_oos_2025H2_2026Apr,0.9784768211920529,7092,156,0.00012255099440492792,-0.0006499209174124816,0.8691316523197489,-0.10138766311634713,7248,0.00011991330743925894,1.0504405731679083,0.0025989163772164193,4.31844237768453,5.966388054076151,0.5031732891832229,0.8691316523197488,-0.9091667618922765,1.327126908686746,-0.5996939306739613,-0.017298481156424527,-0.007576155340217332,-0.003609345697139704,1.3561007820306019e-05,0.00392162838720237,10,7,0.7,-0.6664817087574371,0.031307831118244034
FundingCore,G1_avoid_high_funding_abs,fresh_forward_2026May,1.0,392,0,-0.00030891030746463374,,-0.12109284052613642,,392,-0.00030891030746463374,-2.7060542933901917,0.0027253098280088867,-10.608856388629809,-20.083681777250312,0.35459183673469385,-0.12109284052613642,-0.1967374610949341,-0.11534671215702608,-0.17888775137920254,-0.008057718175704848,-0.0063313689032590895,-0.0037841126213642743,-0.0005083165100628523,0.003805771311741803,1,0,0.0,-0.09142351593127747,0.03255449907235622
FundingCore,G2_funding_abs_low_only,train_2024,0.33035714285714285,2886,5850,0.00032225365327324956,1.1419740753679418e-05,0.9300240433465983,0.06680548340902459,8736,0.0001064587961706271,0.9325790544546934,0.0014993187133154836,6.645683319749986,5.914977343434584,0.18143315018315018,0.9300240433465983,-0.18358909760024417,1.5097032650262507,-0.16851605588681073,-0.013890403386169647,-0.0044578651685761835,-0.0019291061100931404,0.0,0.002684066533534455,12,8,0.6666666666666666,-0.03574036673401518,0.026239984862005565
FundingCore,G2_funding_abs_low_only,validation_2025H1,0.7064711359404097,3035,1261,0.00015838768880087123,0.00043789140309929785,0.4807066355106442,0.5521810593082146,4296,0.00011189633042612758,0.9802118545328776,0.0026940637407204928,3.8874071635843106,3.4765455639821226,0.3931564245810056,0.4807066355106441,-0.3936447198258614,0.5920125557556462,-0.33199330478379274,-0.038121102329422056,-0.006717640893739706,-0.0037697321011002497,0.0,0.004066294272610849,6,4,0.6666666666666666,-0.20982636181334222,0.0314693359470161
