cell_id,candidate_decision,count
C0004,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0007,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0007,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0017,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0017,A7O_PILOT_RESEARCH_CANDIDATE,1
C0019,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0020,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0025,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0031,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0032,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0036,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0036,A7O_PILOT_RESEARCH_CANDIDATE,1
C0042,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0044,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0045,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0048,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0048,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0050,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0050,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0050,A7O_PILOT_RESEARCH_CANDIDATE,1
C0059,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0063,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0064,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0078,A7O_PILOT_RESEARCH_CANDIDATE,3
C0082,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0082,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0083,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0094,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0107,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0107,A7O_PILOT_REJECTED,1
C0111,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0132,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0134,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0137,A7O_PILOT_REJECTED,2
C0137,A7O_PILOT_RESEARCH_CANDIDATE,1
C0140,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0147,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0147,A7O_PILOT_RESEARCH_CANDIDATE,1
C0151,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0160,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0164,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0164,A7O_PILOT_RESEARCH_CANDIDATE,1
C0166,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0169,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0169,A7O_PILOT_RESEARCH_CANDIDATE,2
C0183,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0187,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0194,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0200,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0213,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0222,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0227,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0229,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0238,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0238,A7O_PILOT_RESEARCH_CANDIDATE,1
C0241,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0251,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0252,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0253,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0269,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0269,A7O_PILOT_REJECTED,2
C0270,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0280,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0289,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0316,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0318,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0323,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0336,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0336,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0337,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0337,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0339,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0343,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0350,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0355,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0355,A7O_PILOT_RESEARCH_CANDIDATE,1
C0356,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0356,A7O_PILOT_REJECTED,1
C0360,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0360,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0364,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0368,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0370,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
