candidate_id,production_family,expression,horizon,validation_net10,recent_net10,recent_net20,lag1_recent_net10,may_net10_stress_only,may_active_hours,max_control_validation_net10,max_control_recent_net10,dominates_controls,control_val_recent_positive_count,a7s2m_label,derived_feature_id,source_fields,required_negative_controls
a7s2m_F0_open_interest_slow_12_030049ddb0ea,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",12,-0.5253622437234218,-0.24600980609463763,-0.6893431394279708,-0.2755299567914886,-0.789954427218896,492.0,2.8226433400411146,1.9837571743262639,0,1,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_decay12,open_interest_value_change_24h,row_shuffle;time_shuffle;wrong_lag;sign_flip
a7s2m_F0_open_interest_slow_12_19af77253e44,F0_open_interest_slow,"Decay(open_interest_change_4h,12)",12,-1.3470469373290215,-2.6253364107916313,-3.6463364107916307,-2.4248966137279515,-0.4606987796416979,492.0,0.045380270662354505,0.5833364107916308,0,1,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_decay12,open_interest_change_4h,row_shuffle;time_shuffle;wrong_lag;sign_flip
a7s2m_F0_open_interest_slow_12_21330e4bd612,F0_open_interest_slow,"HorizonSpread(open_interest_change_4h,12,48)",12,1.0202695564601494,0.8323272809520912,-0.032506052381242045,0.6452332450850057,0.3922730939261528,492.0,-1.0692123453639057,-0.8938689924549074,1,0,A7S2M_HOLD_COST20_FAIL,oi_horizon_spread,open_interest_change_4h,row_shuffle;time_shuffle;wrong_lag;sign_flip
a7s2m_F0_open_interest_slow_12_993124521e3f,F0_open_interest_slow,"HorizonSpread(open_interest_change_24h,12,48)",12,0.2233229199857818,1.9044286212294712,1.4479286212294717,1.7493237495603169,-0.30533241747400514,492.0,-0.7913229199857819,-2.171585225470011,1,0,A7S2M_NEAR_MISS_MAY_STRESS_FAIL,oi_horizon_spread,open_interest_change_24h,row_shuffle;time_shuffle;wrong_lag;sign_flip
a7s2m_F0_open_interest_slow_12_b67d742ca488,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",12,-1.3027228835485842,-1.0961769700126904,-1.5221769700126901,-1.0449420340642392,-0.09553638006534045,492.0,1.744604694884871,2.2829455836163017,0,2,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_decay12,open_interest_change_24h,row_shuffle;time_shuffle;wrong_lag;sign_flip
a7s2m_F0_open_interest_slow_12_da56fea658c0,F0_open_interest_slow,"Decay(open_interest_zscore_168h,12)",12,-1.471147789390278,0.5875391135675158,0.3442057802341827,0.5528907765261627,-0.49970410694733003,492.0,1.1121477893902785,2.7599820643651123,0,0,A7S2M_HOLD_RAW_VAL_RECENT_FAIL,oi_decay12,open_interest_zscore_168h,row_shuffle;time_shuffle;wrong_lag;sign_flip
a7s2m_F0_open_interest_slow_12_de4b60e16b30,F0_open_interest_slow,"Decay(open_interest_value_zscore_168h,12)",12,0.11314985357154128,0.8816957284994698,0.6305290618328036,0.8906390174384458,-0.9225788302834624,492.0,0.06759732603023783,0.9535547008340661,0,1,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_decay12,open_interest_value_zscore_168h,row_shuffle;time_shuffle;wrong_lag;sign_flip
a7s2m_F0_open_interest_slow_24_6ce30634ff50,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",24,-0.1027097181005826,0.24755205918701062,-0.19578127414632274,0.3178939969741976,-1.3095733307200614,480.0,4.295809440346868,3.3826238475274826,0,1,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_decay12,open_interest_value_change_24h,row_shuffle;time_shuffle;wrong_lag;sign_flip
a7s2m_F0_open_interest_slow_24_73233105dc8b,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",24,-0.8937590676841387,-0.40711368573622275,-0.8331136857362225,-0.1184082921093208,-0.16833711931016238,480.0,0.8702800391438528,3.47645746265226,0,1,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_decay12,open_interest_change_24h,row_shuffle;time_shuffle;wrong_lag;sign_flip
a7s2m_F0_open_interest_slow_24_8a4fc7c959d4,F0_open_interest_slow,"Decay(open_interest_change_4h,12)",24,-1.2474120303863674,-2.3328105395535026,-3.3538105395535034,-2.1626994336161687,-0.7259969665072639,480.0,1.9735621761209636,2.4662853310250723,0,1,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_decay12,open_interest_change_4h,row_shuffle;time_shuffle;wrong_lag;sign_flip
a7s2m_F0_open_interest_slow_24_900ee922f945,F0_open_interest_slow,"Decay(open_interest_zscore_168h,12)",24,-3.553469228948736,1.7865570340474712,1.543223700714138,1.9171851212155042,-1.0048713000070666,480.0,3.1944692289487344,5.22409084558769,0,0,A7S2M_HOLD_RAW_VAL_RECENT_FAIL,oi_decay12,open_interest_zscore_168h,row_shuffle;time_shuffle;wrong_lag;sign_flip
a7s2m_F0_open_interest_slow_24_922070ee9ce9,F0_open_interest_slow,"HorizonSpread(open_interest_change_24h,12,48)",24,0.5343928018009471,-3.2983465727592116,-3.7548465727592113,-2.965351880004233,1.1526786043188868,480.0,4.751663400366991,3.250059274982264,0,1,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_horizon_spread,open_interest_change_24h,row_shuffle;time_shuffle;wrong_lag;sign_flip
a7s2m_F0_open_interest_slow_24_d6d2c9b16c9a,F0_open_interest_slow,"Decay(open_interest_value_zscore_168h,12)",24,0.14390593449777667,1.569945733838265,1.3187790671715982,1.4882073805012817,-1.4593933061114286,480.0,-0.4899059344977763,1.1477048340105918,1,0,A7S2M_NEAR_MISS_MAY_STRESS_FAIL,oi_decay12,open_interest_value_zscore_168h,row_shuffle;time_shuffle;wrong_lag;sign_flip
a7s2m_F0_open_interest_slow_48_0789883d21be,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",48,-2.1165810116782504,-4.061700812503203,-4.487700812503204,-4.266965357692779,1.5340056908317385,456.0,7.278508328403848,3.2097008125032027,0,1,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_decay12,open_interest_change_24h,row_shuffle;time_shuffle;wrong_lag;sign_flip
a7s2m_F0_open_interest_slow_48_27aa57dc5b11,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",48,5.269695781731928,3.7644365619216686,3.321103228588335,3.79250021376021,-3.0472734608675833,456.0,0.6511133587762179,5.855462203806751,0,1,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_decay12,open_interest_value_change_24h,row_shuffle;time_shuffle;wrong_lag;sign_flip
