generator,production_family,derived_feature_id,expression,horizon,source_fields,source_field_families,feature_available_lag_bars,feature_timestamp_rule,execution_rule,required_negative_controls,decision,control_id,base_candidate_id,control_mode,object_type,promotable
crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_24h,12)",12,open_interest_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE,a7s2m_F0_open_interest_slow_12_b67d742ca488__ctrl_row_shuffle_490df31aefb3,a7s2m_F0_open_interest_slow_12_b67d742ca488,row_shuffle,control,False
crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_24h,12)",12,open_interest_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE,a7s2m_F0_open_interest_slow_12_b67d742ca488__ctrl_time_shuffle_b35f95339f1c,a7s2m_F0_open_interest_slow_12_b67d742ca488,time_shuffle,control,False
crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_24h,12)",12,open_interest_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE,a7s2m_F0_open_interest_slow_12_b67d742ca488__ctrl_wrong_lag_5444a600c045,a7s2m_F0_open_interest_slow_12_b67d742ca488,wrong_lag,control,False
crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_24h,12)",12,open_interest_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE,a7s2m_F0_open_interest_slow_12_b67d742ca488__ctrl_sign_flip_ff961861ad98,a7s2m_F0_open_interest_slow_12_b67d742ca488,sign_flip,control,False
crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_24h,12)",24,open_interest_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE,a7s2m_F0_open_interest_slow_24_73233105dc8b__ctrl_row_shuffle_b931194a1728,a7s2m_F0_open_interest_slow_24_73233105dc8b,row_shuffle,control,False
crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_24h,12)",24,open_interest_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE,a7s2m_F0_open_interest_slow_24_73233105dc8b__ctrl_time_shuffle_f465a64a4454,a7s2m_F0_open_interest_slow_24_73233105dc8b,time_shuffle,control,False
crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_24h,12)",24,open_interest_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE,a7s2m_F0_open_interest_slow_24_73233105dc8b__ctrl_wrong_lag_ae363397e0e6,a7s2m_F0_open_interest_slow_24_73233105dc8b,wrong_lag,control,False
crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_24h,12)",24,open_interest_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE,a7s2m_F0_open_interest_slow_24_73233105dc8b__ctrl_sign_flip_efbf295bcd25,a7s2m_F0_open_interest_slow_24_73233105dc8b,sign_flip,control,False
crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_24h,12)",48,open_interest_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE,a7s2m_F0_open_interest_slow_48_0789883d21be__ctrl_row_shuffle_1ae1849839b3,a7s2m_F0_open_interest_slow_48_0789883d21be,row_shuffle,control,False
crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_24h,12)",48,open_interest_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE,a7s2m_F0_open_interest_slow_48_0789883d21be__ctrl_time_shuffle_74feb8e7d52d,a7s2m_F0_open_interest_slow_48_0789883d21be,time_shuffle,control,False
crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_24h,12)",48,open_interest_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE,a7s2m_F0_open_interest_slow_48_0789883d21be__ctrl_wrong_lag_a938d5cb7e7b,a7s2m_F0_open_interest_slow_48_0789883d21be,wrong_lag,control,False
crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_24h,12)",48,open_interest_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE,a7s2m_F0_open_interest_slow_48_0789883d21be__ctrl_sign_flip_8f8ce0bf9335,a7s2m_F0_open_interest_slow_48_0789883d21be,sign_flip,control,False
crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_4h,12)",12,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE,a7s2m_F0_open_interest_slow_12_19af77253e44__ctrl_row_shuffle_420d49919491,a7s2m_F0_open_interest_slow_12_19af77253e44,row_shuffle,control,False
crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_4h,12)",12,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE,a7s2m_F0_open_interest_slow_12_19af77253e44__ctrl_time_shuffle_7482123f8927,a7s2m_F0_open_interest_slow_12_19af77253e44,time_shuffle,control,False
crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_4h,12)",12,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE,a7s2m_F0_open_interest_slow_12_19af77253e44__ctrl_wrong_lag_0405690f7ae8,a7s2m_F0_open_interest_slow_12_19af77253e44,wrong_lag,control,False
