candidate_id,generator,production_family,derived_feature_id,expression,horizon,source_fields,source_field_families,feature_available_lag_bars,feature_timestamp_rule,execution_rule,required_negative_controls,decision
a7s2m_F0_open_interest_slow_12_b67d742ca488,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_24h,12)",12,open_interest_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_24_73233105dc8b,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_24h,12)",24,open_interest_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_48_0789883d21be,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_24h,12)",48,open_interest_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_12_19af77253e44,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_4h,12)",12,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_24_8a4fc7c959d4,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_4h,12)",24,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_48_7d18133e2686,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_4h,12)",48,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_12_030049ddb0ea,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_value_change_24h,12)",12,open_interest_value_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_24_6ce30634ff50,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_value_change_24h,12)",24,open_interest_value_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_48_27aa57dc5b11,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_value_change_24h,12)",48,open_interest_value_change_24h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_12_de4b60e16b30,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_value_zscore_168h,12)",12,open_interest_value_zscore_168h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_24_d6d2c9b16c9a,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_value_zscore_168h,12)",24,open_interest_value_zscore_168h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_48_d2332dc90a91,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_value_zscore_168h,12)",48,open_interest_value_zscore_168h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_12_da56fea658c0,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_zscore_168h,12)",12,open_interest_zscore_168h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_24_900ee922f945,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_zscore_168h,12)",24,open_interest_zscore_168h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
