candidate_id,production_family,expression,horizon,validation_net10,recent_net10,recent_net20,lag1_recent_net10,may_net10_stress_only,may_active_hours,max_control_validation_net10,max_control_recent_net10,dominates_controls,control_val_recent_positive_count,a7s2m_label,derived_feature_id,source_fields,required_negative_controls,label_order
a7s2m_F0_open_interest_slow_12_993124521e3f,F0_open_interest_slow,"HorizonSpread(open_interest_change_24h,12,48)",12,0.2233229199857818,1.9044286212294712,1.4479286212294717,1.7493237495603169,-0.30533241747400514,492.0,-0.7913229199857819,-2.171585225470011,1,0,A7S2M_NEAR_MISS_MAY_STRESS_FAIL,oi_horizon_spread,open_interest_change_24h,row_shuffle;time_shuffle;wrong_lag;sign_flip,1
a7s2m_F0_open_interest_slow_24_d6d2c9b16c9a,F0_open_interest_slow,"Decay(open_interest_value_zscore_168h,12)",24,0.14390593449777667,1.569945733838265,1.3187790671715982,1.4882073805012817,-1.4593933061114286,480.0,-0.4899059344977763,1.1477048340105918,1,0,A7S2M_NEAR_MISS_MAY_STRESS_FAIL,oi_decay12,open_interest_value_zscore_168h,row_shuffle;time_shuffle;wrong_lag;sign_flip,1
a7s2m_F0_open_interest_slow_12_21330e4bd612,F0_open_interest_slow,"HorizonSpread(open_interest_change_4h,12,48)",12,1.0202695564601494,0.8323272809520912,-0.032506052381242045,0.6452332450850057,0.3922730939261528,492.0,-1.0692123453639057,-0.8938689924549074,1,0,A7S2M_HOLD_COST20_FAIL,oi_horizon_spread,open_interest_change_4h,row_shuffle;time_shuffle;wrong_lag;sign_flip,3
a7s2m_F0_open_interest_slow_48_27aa57dc5b11,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",48,5.269695781731928,3.7644365619216686,3.321103228588335,3.79250021376021,-3.0472734608675833,456.0,0.6511133587762179,5.855462203806751,0,1,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_decay12,open_interest_value_change_24h,row_shuffle;time_shuffle;wrong_lag;sign_flip,5
a7s2m_F0_open_interest_slow_12_de4b60e16b30,F0_open_interest_slow,"Decay(open_interest_value_zscore_168h,12)",12,0.11314985357154128,0.8816957284994698,0.6305290618328036,0.8906390174384458,-0.9225788302834624,492.0,0.06759732603023783,0.9535547008340661,0,1,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_decay12,open_interest_value_zscore_168h,row_shuffle;time_shuffle;wrong_lag;sign_flip,5
a7s2m_F0_open_interest_slow_24_6ce30634ff50,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",24,-0.1027097181005826,0.24755205918701062,-0.19578127414632274,0.3178939969741976,-1.3095733307200614,480.0,4.295809440346868,3.3826238475274826,0,1,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_decay12,open_interest_value_change_24h,row_shuffle;time_shuffle;wrong_lag;sign_flip,5
a7s2m_F0_open_interest_slow_12_030049ddb0ea,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",12,-0.5253622437234218,-0.24600980609463763,-0.6893431394279708,-0.2755299567914886,-0.789954427218896,492.0,2.8226433400411146,1.9837571743262639,0,1,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_decay12,open_interest_value_change_24h,row_shuffle;time_shuffle;wrong_lag;sign_flip,5
a7s2m_F0_open_interest_slow_24_73233105dc8b,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",24,-0.8937590676841387,-0.40711368573622275,-0.8331136857362225,-0.1184082921093208,-0.16833711931016238,480.0,0.8702800391438528,3.47645746265226,0,1,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_decay12,open_interest_change_24h,row_shuffle;time_shuffle;wrong_lag;sign_flip,5
a7s2m_F0_open_interest_slow_12_b67d742ca488,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",12,-1.3027228835485842,-1.0961769700126904,-1.5221769700126901,-1.0449420340642392,-0.09553638006534045,492.0,1.744604694884871,2.2829455836163017,0,2,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_decay12,open_interest_change_24h,row_shuffle;time_shuffle;wrong_lag;sign_flip,5
a7s2m_F1_oi_market_interaction_24_ab53ccee3c10,F1_oi_market_interaction,"Mul(ZScore(open_interest_change_24h),Rank(mark_index_ratio))",24,-0.7766944613419029,-2.996725583143573,-4.802225583143573,-2.6983479671759536,-0.5555793699579212,480.0,2.0675310669402287,3.058027957878751,0,1,A7S2M_HOLD_CONTROL_CONTAMINATED,oi_x_market,mark_index_ratio;open_interest_change_24h,row_shuffle;time_shuffle;wrong_lag;sign_flip,5
