symbol,rows,metrics_available_hours,metrics_available_rate,timestamp_min,timestamp_max
BTCUSDT,20919,20917,0.9999043931354271,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00
ETHUSDT,20919,20917,0.9999043931354271,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00
SOLUSDT,20919,20917,0.9999043931354271,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00
BNBUSDT,20919,20917,0.9999043931354271,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00
XRPUSDT,20919,20917,0.9999043931354271,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00
ADAUSDT,20919,20917,0.9999043931354271,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00
DOGEUSDT,20919,20917,0.9999043931354271,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00
AVAXUSDT,20919,20917,0.9999043931354271,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00
LINKUSDT,20919,20917,0.9999043931354271,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00
BCHUSDT,20919,20917,0.9999043931354271,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00
LTCUSDT,20919,20917,0.9999043931354271,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00
SUIUSDT,20919,20917,0.9999043931354271,2024-01-01 00:00:00+00:00,2026-05-22 00:00:00+00:00
