split,rows,active_hours,mean_ic,net_sum_10bps,net_sum_20bps,turnover_mean,gross_exposure_mean,lag1_net_sum_10bps,lag1_net_sum_20bps,lag1_active_hours,candidate_id,base_candidate_id,object_type,control_mode,production_family,expression,horizon,orientation,base_train_ic_for_orientation
train_2024,8774,8739,-0.007203559559374609,0.6219294647362271,0.10142946473622694,0.0593229997720538,0.9960109414178254,1.2274234630453753,0.707090129712043,8738,a7s2m_F0_open_interest_slow_12_b67d742ca488,a7s2m_F0_open_interest_slow_12_b67d742ca488,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",12,-1.0,-0.007203559559374609
validation_2025H1,4344,4344,-0.009049645656599438,-1.3027228835485842,-1.577722883548584,0.06330570902394107,1.0,-1.3257733386965558,-1.6009400053632228,4344,a7s2m_F0_open_interest_slow_12_b67d742ca488,a7s2m_F0_open_interest_slow_12_b67d742ca488,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",12,-1.0,-0.007203559559374609
recent_oos_2025H2_2026Apr,7296,7294,0.004530979340093456,-1.0961769700126904,-1.5221769700126901,0.05838815789473684,0.9997258771929824,-1.0449420340642392,-1.4709420340642394,7294,a7s2m_F0_open_interest_slow_12_b67d742ca488,a7s2m_F0_open_interest_slow_12_b67d742ca488,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",12,-1.0,-0.007203559559374609
fresh_may_2026,505,492,0.0695036670646427,-0.09553638006534045,-0.1227030467320071,0.05379537953795379,0.9742574257425742,-0.044897223198695324,-0.07206388986536197,492,a7s2m_F0_open_interest_slow_12_b67d742ca488,a7s2m_F0_open_interest_slow_12_b67d742ca488,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",12,-1.0,-0.007203559559374609
train_2024,8774,8739,-0.005491938310640616,1.5620614582386214,1.0415614582386215,0.0593229997720538,0.9960109414178254,1.7261685464179009,1.2058352130845686,8738,a7s2m_F0_open_interest_slow_24_73233105dc8b,a7s2m_F0_open_interest_slow_24_73233105dc8b,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",24,-1.0,-0.005491938310640616
validation_2025H1,4344,4344,-0.012805458080274086,-0.8937590676841387,-1.1687590676841395,0.06330570902394107,1.0,-0.7571708845894103,-1.032337551256076,4344,a7s2m_F0_open_interest_slow_24_73233105dc8b,a7s2m_F0_open_interest_slow_24_73233105dc8b,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",24,-1.0,-0.005491938310640616
recent_oos_2025H2_2026Apr,7296,7294,-0.003077865627606245,-0.40711368573622275,-0.8331136857362225,0.05838815789473684,0.9997258771929824,-0.1184082921093208,-0.5444082921093207,7294,a7s2m_F0_open_interest_slow_24_73233105dc8b,a7s2m_F0_open_interest_slow_24_73233105dc8b,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",24,-1.0,-0.005491938310640616
fresh_may_2026,505,480,0.07108153860495638,-0.16833711931016238,-0.19483711931016243,0.05247524752475247,0.9504950495049505,-0.17159229231967987,-0.19809229231967979,480,a7s2m_F0_open_interest_slow_24_73233105dc8b,a7s2m_F0_open_interest_slow_24_73233105dc8b,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",24,-1.0,-0.005491938310640616
train_2024,8774,8739,0.0033776727906491724,-2.1792524496228936,-2.699752449622893,0.0593229997720538,0.9960109414178254,-2.223028652884552,-2.743361986217886,8738,a7s2m_F0_open_interest_slow_48_0789883d21be,a7s2m_F0_open_interest_slow_48_0789883d21be,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",48,1.0,0.0033776727906491724
validation_2025H1,4344,4344,-0.013076472330615922,-2.1165810116782504,-2.39158101167825,0.06330570902394107,1.0,-1.7969556778590152,-2.072122344525681,4344,a7s2m_F0_open_interest_slow_48_0789883d21be,a7s2m_F0_open_interest_slow_48_0789883d21be,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",48,1.0,0.0033776727906491724
recent_oos_2025H2_2026Apr,7296,7294,-0.012508604639122834,-4.061700812503203,-4.487700812503204,0.05838815789473684,0.9997258771929824,-4.266965357692779,-4.6929653576927794,7294,a7s2m_F0_open_interest_slow_48_0789883d21be,a7s2m_F0_open_interest_slow_48_0789883d21be,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",48,1.0,0.0033776727906491724
fresh_may_2026,505,456,0.13590357011409648,1.5340056908317385,1.5086723574984053,0.050165016501650166,0.902970297029703,1.6067208738038827,1.5813875404705493,456,a7s2m_F0_open_interest_slow_48_0789883d21be,a7s2m_F0_open_interest_slow_48_0789883d21be,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_24h,12)",48,1.0,0.0033776727906491724
train_2024,8774,8759,-0.004201954447759708,-2.8086156776279294,-4.08611567762793,0.14560063824937314,0.9982904034647823,-1.9211505253664505,-3.1984838586997837,8758,a7s2m_F0_open_interest_slow_12_19af77253e44,a7s2m_F0_open_interest_slow_12_19af77253e44,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_4h,12)",12,-1.0,-0.004201954447759708
validation_2025H1,4344,4344,-0.00417997008817706,-1.3470469373290215,-1.9978802706623544,0.1498235113566605,1.0,-0.9685153792686296,-1.619515379268629,4344,a7s2m_F0_open_interest_slow_12_19af77253e44,a7s2m_F0_open_interest_slow_12_19af77253e44,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_4h,12)",12,-1.0,-0.004201954447759708
recent_oos_2025H2_2026Apr,7296,7294,0.003816791289026171,-2.6253364107916313,-3.6463364107916307,0.13993969298245615,0.9997258771929824,-2.4248966137279515,-3.4458966137279514,7294,a7s2m_F0_open_interest_slow_12_19af77253e44,a7s2m_F0_open_interest_slow_12_19af77253e44,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_4h,12)",12,-1.0,-0.004201954447759708
fresh_may_2026,505,492,0.07689465006538182,-0.4606987796416979,-0.5235321129750312,0.12442244224422441,0.9742574257425742,-0.5259919420148231,-0.5886586086814899,492,a7s2m_F0_open_interest_slow_12_19af77253e44,a7s2m_F0_open_interest_slow_12_19af77253e44,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_4h,12)",12,-1.0,-0.004201954447759708
train_2024,8774,8759,-0.0027309085312568243,-2.3417687239857146,-3.6192687239857135,0.14560063824937314,0.9982904034647823,-1.446901911394617,-2.7242352447279505,8758,a7s2m_F0_open_interest_slow_24_8a4fc7c959d4,a7s2m_F0_open_interest_slow_24_8a4fc7c959d4,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_4h,12)",24,-1.0,-0.0027309085312568243
validation_2025H1,4344,4344,-0.00494042247840877,-1.2474120303863674,-1.8982453637197003,0.1498235113566605,1.0,-1.1488952796048613,-1.7998952796048613,4344,a7s2m_F0_open_interest_slow_24_8a4fc7c959d4,a7s2m_F0_open_interest_slow_24_8a4fc7c959d4,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_4h,12)",24,-1.0,-0.0027309085312568243
recent_oos_2025H2_2026Apr,7296,7294,-0.0005784591059108515,-2.3328105395535026,-3.3538105395535034,0.13993969298245615,0.9997258771929824,-2.1626994336161687,-3.1836994336161673,7294,a7s2m_F0_open_interest_slow_24_8a4fc7c959d4,a7s2m_F0_open_interest_slow_24_8a4fc7c959d4,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_4h,12)",24,-1.0,-0.0027309085312568243
fresh_may_2026,505,480,0.0971506190630514,-0.7259969665072639,-0.7869969665072638,0.12079207920792079,0.9504950495049505,-0.6910942721555384,-0.7520942721555384,480,a7s2m_F0_open_interest_slow_24_8a4fc7c959d4,a7s2m_F0_open_interest_slow_24_8a4fc7c959d4,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_4h,12)",24,-1.0,-0.0027309085312568243
train_2024,8774,8759,0.003971938553511859,-0.8070934835353292,-2.084593483535331,0.14560063824937314,0.9982904034647823,-1.6828403909462737,-2.960173724279607,8758,a7s2m_F0_open_interest_slow_48_7d18133e2686,a7s2m_F0_open_interest_slow_48_7d18133e2686,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_4h,12)",48,1.0,0.003971938553511859
validation_2025H1,4344,4344,-0.020148359927365425,-3.462678158291792,-4.113511491625124,0.1498235113566605,1.0,-3.9188941059859586,-4.569894105985959,4344,a7s2m_F0_open_interest_slow_48_7d18133e2686,a7s2m_F0_open_interest_slow_48_7d18133e2686,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_4h,12)",48,1.0,0.003971938553511859
recent_oos_2025H2_2026Apr,7296,7294,-0.008957453295265165,-2.7920943566725027,-3.8130943566725026,0.13993969298245615,0.9997258771929824,-2.9929285391941587,-4.013928539194159,7294,a7s2m_F0_open_interest_slow_48_7d18133e2686,a7s2m_F0_open_interest_slow_48_7d18133e2686,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_4h,12)",48,1.0,0.003971938553511859
fresh_may_2026,505,456,0.11932584958900758,1.1915012115754982,1.134001211575498,0.11386138613861387,0.902970297029703,1.2314576349619542,1.1739576349619538,456,a7s2m_F0_open_interest_slow_48_7d18133e2686,a7s2m_F0_open_interest_slow_48_7d18133e2686,candidate,original,F0_open_interest_slow,"Decay(open_interest_change_4h,12)",48,1.0,0.003971938553511859
train_2024,8774,8739,-0.01504321617679969,-0.24325373972567688,-0.7524204063923423,0.058031304612111534,0.9960109414178254,0.49485500653249925,-0.014144993467499534,8738,a7s2m_F0_open_interest_slow_12_030049ddb0ea,a7s2m_F0_open_interest_slow_12_030049ddb0ea,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",12,-1.0,-0.01504321617679969
validation_2025H1,4344,4344,-0.021831559762135952,-0.5253622437234218,-0.7906955770567554,0.06108041743400859,1.0,-0.4881742488138969,-0.7536742488138969,4344,a7s2m_F0_open_interest_slow_12_030049ddb0ea,a7s2m_F0_open_interest_slow_12_030049ddb0ea,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",12,-1.0,-0.01504321617679969
recent_oos_2025H2_2026Apr,7296,7294,-0.014841685067739177,-0.24600980609463763,-0.6893431394279708,0.06076388888888888,0.9997258771929824,-0.2755299567914886,-0.7188632901248218,7294,a7s2m_F0_open_interest_slow_12_030049ddb0ea,a7s2m_F0_open_interest_slow_12_030049ddb0ea,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",12,-1.0,-0.01504321617679969
fresh_may_2026,505,492,0.09194667121496393,-0.789954427218896,-0.8184544272188959,0.05643564356435644,0.9742574257425741,-0.7628768126949016,-0.7913768126949017,492,a7s2m_F0_open_interest_slow_12_030049ddb0ea,a7s2m_F0_open_interest_slow_12_030049ddb0ea,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",12,-1.0,-0.01504321617679969
train_2024,8774,8739,-0.011309704899248665,-1.18286294457877,-1.6920296112454358,0.058031304612111534,0.9960109414178254,-1.1039944060988525,-1.612994406098852,8738,a7s2m_F0_open_interest_slow_24_6ce30634ff50,a7s2m_F0_open_interest_slow_24_6ce30634ff50,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",24,-1.0,-0.011309704899248665
validation_2025H1,4344,4344,-0.024328516251169784,-0.1027097181005826,-0.36804305143391636,0.06108041743400859,1.0,0.20268703917339437,-0.06281296082660548,4344,a7s2m_F0_open_interest_slow_24_6ce30634ff50,a7s2m_F0_open_interest_slow_24_6ce30634ff50,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",24,-1.0,-0.011309704899248665
recent_oos_2025H2_2026Apr,7296,7294,-0.0196922316790959,0.24755205918701062,-0.19578127414632274,0.06076388888888888,0.9997258771929824,0.3178939969741976,-0.12543933635913618,7294,a7s2m_F0_open_interest_slow_24_6ce30634ff50,a7s2m_F0_open_interest_slow_24_6ce30634ff50,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",24,-1.0,-0.011309704899248665
fresh_may_2026,505,480,0.09991322583396128,-1.3095733307200614,-1.3374066640533948,0.055115511551155114,0.9504950495049503,-1.2890306262133318,-1.316863959546665,480,a7s2m_F0_open_interest_slow_24_6ce30634ff50,a7s2m_F0_open_interest_slow_24_6ce30634ff50,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",24,-1.0,-0.011309704899248665
train_2024,8774,8739,-0.0041090617815642905,-3.8476132924024,-4.3567799590690655,0.058031304612111534,0.9960109414178254,-3.3432953805040406,-3.8522953805040387,8738,a7s2m_F0_open_interest_slow_48_27aa57dc5b11,a7s2m_F0_open_interest_slow_48_27aa57dc5b11,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",48,-1.0,-0.0041090617815642905
validation_2025H1,4344,4344,-0.04056555783075116,5.269695781731928,5.004362448398594,0.06108041743400859,1.0,5.138747490053083,4.8732474900530836,4344,a7s2m_F0_open_interest_slow_48_27aa57dc5b11,a7s2m_F0_open_interest_slow_48_27aa57dc5b11,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",48,-1.0,-0.0041090617815642905
recent_oos_2025H2_2026Apr,7296,7294,-0.025737218635491128,3.7644365619216686,3.321103228588335,0.06076388888888888,0.9997258771929824,3.79250021376021,3.349166880426876,7294,a7s2m_F0_open_interest_slow_48_27aa57dc5b11,a7s2m_F0_open_interest_slow_48_27aa57dc5b11,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",48,-1.0,-0.0041090617815642905
fresh_may_2026,505,456,0.17128266470371736,-3.0472734608675833,-3.0737734608675833,0.05247524752475247,0.9029702970297029,-3.0584989298455016,-3.0848322631788347,456,a7s2m_F0_open_interest_slow_48_27aa57dc5b11,a7s2m_F0_open_interest_slow_48_27aa57dc5b11,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_change_24h,12)",48,-1.0,-0.0041090617815642905
train_2024,8774,8740,-0.016397271286027772,-2.3837973181395773,-2.6817973181395764,0.03396398449965808,0.9961249145201733,-1.9184370907586192,-2.2164370907586184,8739,a7s2m_F0_open_interest_slow_12_de4b60e16b30,a7s2m_F0_open_interest_slow_12_de4b60e16b30,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_zscore_168h,12)",12,-1.0,-0.016397271286027772
validation_2025H1,4344,4344,-0.0279207596007771,0.11314985357154128,-0.05985014642845876,0.039825046040515656,1.0,0.23553440046879126,0.06253440046879111,4344,a7s2m_F0_open_interest_slow_12_de4b60e16b30,a7s2m_F0_open_interest_slow_12_de4b60e16b30,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_zscore_168h,12)",12,-1.0,-0.016397271286027772
recent_oos_2025H2_2026Apr,7296,7294,-0.012506243934826215,0.8816957284994698,0.6305290618328036,0.03442525584795321,0.9997258771929824,0.8906390174384458,0.6394723507717791,7294,a7s2m_F0_open_interest_slow_12_de4b60e16b30,a7s2m_F0_open_interest_slow_12_de4b60e16b30,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_zscore_168h,12)",12,-1.0,-0.016397271286027772
fresh_may_2026,505,492,0.11217238046506342,-0.9225788302834624,-0.939745496950129,0.03399339933993399,0.9742574257425741,-0.8684392032867889,-0.8856058699534557,492,a7s2m_F0_open_interest_slow_12_de4b60e16b30,a7s2m_F0_open_interest_slow_12_de4b60e16b30,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_zscore_168h,12)",12,-1.0,-0.016397271286027772
train_2024,8774,8740,-0.017102500621643476,-2.2207827460593563,-2.518782746059356,0.03396398449965808,0.9961249145201733,-1.640158662423697,-1.938158662423698,8739,a7s2m_F0_open_interest_slow_24_d6d2c9b16c9a,a7s2m_F0_open_interest_slow_24_d6d2c9b16c9a,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_zscore_168h,12)",24,-1.0,-0.017102500621643476
validation_2025H1,4344,4344,-0.022942287942962252,0.14390593449777667,-0.029094065502224042,0.039825046040515656,1.0,0.12294730265796638,-0.05005269734203399,4344,a7s2m_F0_open_interest_slow_24_d6d2c9b16c9a,a7s2m_F0_open_interest_slow_24_d6d2c9b16c9a,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_zscore_168h,12)",24,-1.0,-0.017102500621643476
recent_oos_2025H2_2026Apr,7296,7294,-0.01274246015190409,1.569945733838265,1.3187790671715982,0.03442525584795321,0.9997258771929824,1.4882073805012817,1.2370407138346158,7294,a7s2m_F0_open_interest_slow_24_d6d2c9b16c9a,a7s2m_F0_open_interest_slow_24_d6d2c9b16c9a,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_zscore_168h,12)",24,-1.0,-0.017102500621643476
fresh_may_2026,505,480,0.14809228348399534,-1.4593933061114286,-1.4762266394447614,0.03333333333333333,0.9504950495049503,-1.3757466329017076,-1.3924132995683742,480,a7s2m_F0_open_interest_slow_24_d6d2c9b16c9a,a7s2m_F0_open_interest_slow_24_d6d2c9b16c9a,candidate,original,F0_open_interest_slow,"Decay(open_interest_value_zscore_168h,12)",24,-1.0,-0.017102500621643476
