candidate_id,generator,production_family,derived_feature_id,expression,horizon,source_fields,source_field_families,feature_available_lag_bars,feature_timestamp_rule,execution_rule,required_negative_controls,decision
a7s2m_F0_open_interest_slow_12_7a9f05f40ee7,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_rank,Rank(open_interest_change_4h),12,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_12_d0eec1a4a7f3,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_zscore,ZScore(open_interest_change_4h),12,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_12_19af77253e44,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_4h,12)",12,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_12_21330e4bd612,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_horizon_spread,"HorizonSpread(open_interest_change_4h,12,48)",12,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_24_2c3e952d991f,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_rank,Rank(open_interest_change_4h),24,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_24_9c02bf433bcf,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_zscore,ZScore(open_interest_change_4h),24,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_24_8a4fc7c959d4,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_decay12,"Decay(open_interest_change_4h,12)",24,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_24_9496038c5aef,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_horizon_spread,"HorizonSpread(open_interest_change_4h,12,48)",24,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_48_f39267cff9cc,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_rank,Rank(open_interest_change_4h),48,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
a7s2m_F0_open_interest_slow_48_6006710fc91d,crypto_a7s2m_metrics_registry_diagnostic,F0_open_interest_slow,oi_zscore,ZScore(open_interest_change_4h),48,open_interest_change_4h,metrics_positioning,1,metrics 1h feature available at hour timestamp + 1h,next 1h bar or later; May stress post-selection only,row_shuffle;time_shuffle;wrong_lag;sign_flip,A7S2M_GENERATED_CANDIDATE
