label_family,label_horizon_h,candidate_count,median_cost_adjusted_spread,median_control_ratio,median_lag_spread,clean_candidate_count
L0_raw_forward_return,1,26,0.00022302677487795,0.6573040219786224,0.00018324866729795,0
L0_raw_forward_return,4,3,4.706378756326029e-05,0.8964218718927963,0.0001074111316396,0
L0_raw_forward_return,8,1,0.0010839827369843,0.8065148925193107,0.001541311332843,0
L0_raw_forward_return,24,1,0.0015348645023085,0.6974625475030997,0.0018734702430239,1
L1_cross_sectional_relative_return,1,26,0.00022302677487795,0.6868028707306015,0.00018324866729795,0
L1_cross_sectional_relative_return,4,3,4.706378756326018e-05,0.8964218718927964,0.0001074111316396,0
L1_cross_sectional_relative_return,8,1,0.0010839827369843,0.8065148925193107,0.001541311332843,0
L1_cross_sectional_relative_return,24,1,0.0015348645023085,0.6974625475030999,0.0018734702430239,1
L3_liquidity_tier_relative_return,1,19,0.0003359793013756,0.6015404282873321,0.0001498828270342,0
L3_liquidity_tier_relative_return,4,2,9.110345476990686e-05,1.1518861001609713,0.0002519697547436,0
L3_liquidity_tier_relative_return,8,1,0.0008991645059895,0.7724834718015949,0.0013468107866438,0
L3_liquidity_tier_relative_return,24,2,0.00049402218360735,1.1512454694115277,0.0008350390396482501,1
L5_vol_adjusted_return,1,7,0.0377348233212379,0.6817677191886472,-0.0018939677626027,0
L5_vol_adjusted_return,4,2,0.04777039960926535,0.8473532530944583,0.01505182223638625,0
L5_vol_adjusted_return,24,1,0.0962834256029572,0.947619754963101,0.0863964323576571,1
