decision,count
HOLD_A7AG3_PRE_MAY_UNSTABLE,30
HOLD_A7AG3_CONTROL_DOMINATED,27
A7AG3_NUMERIC_REPLAY_CLUE,24
HOLD_A7AG3_COST5_PROXY_FRAGILE,10
HOLD_A7AG3_ONE_BAR_LAG_FRAGILE,5
