timestamp,multiplier,gross_exposure,turnover,funding_drag,net_return,object,funding_abs_mean,funding_mean,funding_dispersion,funding_positive_share,funding_negative_share,funding_persistence_abs_mean,basis_abs_mean,basis_minus_abs_mean,vol_ret12_abs_mean,vol_hl_mean,funding_abs_mean_bucket,funding_dispersion_bucket,funding_positive_share_bucket,funding_negative_share_bucket,funding_persistence_abs_mean_bucket,basis_abs_mean_bucket,basis_minus_abs_mean_bucket,vol_ret12_abs_mean_bucket,vol_hl_mean_bucket
2026-05-08 13:00:00+00:00,0.25,0.5,0.0,-3.6105833333333336e-05,-0.008057718175704848,FundingCore,4.183916666666667e-05,2.863916666666667e-05,4.6684436817554325e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0003838022159322792,1.9526290391658179,0.004504278537818457,0.006137017836789926,low,low,low,high,low,mid,mid,low,low
2026-05-08 12:00:00+00:00,0.25,0.5,0.0,-3.6105833333333336e-05,-0.007341202253882067,FundingCore,4.183916666666667e-05,2.863916666666667e-05,4.6684436817554325e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0005647093616558777,4.050931821666034,0.004869340813790267,0.006671125857342193,low,low,low,high,low,high,high,low,low
2026-05-08 11:00:00+00:00,0.25,0.5,0.0,-2.369375e-05,-0.006688222381153993,FundingCore,4.183916666666667e-05,2.863916666666667e-05,4.6684436817554325e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.000547349679360228,4.2988672483335595,0.005133849681885581,0.0036368045544020225,low,low,low,high,low,high,high,low,low
2026-05-08 09:00:00+00:00,0.25,0.5,0.16666666666666666,-1.1846875000000002e-05,-0.0064564169806737085,FundingCore,4.183916666666667e-05,2.863916666666667e-05,4.6684436817554325e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0004894235810709857,3.7766202824996236,0.005133170111128728,0.006644370337511261,low,low,low,high,low,mid,high,low,low
2026-05-18 00:00:00+00:00,0.25,0.5,0.0,-4.1153749999999995e-05,-0.006319001510987314,FundingCore,4.7838333333333346e-05,-2.374e-05,5.8387098888938354e-05,0.3333333333333333,0.5833333333333334,0.9166666666666666,0.00037722831328301787,2.5454839000003635,0.024480425490783303,0.011195604620571557,low,mid,low,high,low,low,mid,high,mid
2026-05-08 10:00:00+00:00,0.25,0.5,0.0,-1.1846875000000002e-05,-0.005985912922275353,FundingCore,4.183916666666667e-05,2.863916666666667e-05,4.6684436817554325e-05,0.5833333333333334,0.3333333333333333,0.8888888888888888,0.0005424071118870685,3.8178858766673454,0.005875911494421164,0.00625193372330023,low,low,low,high,low,high,high,low,low
2026-05-17 23:00:00+00:00,0.25,0.5,0.0,-4.1153749999999995e-05,-0.005736464914670067,FundingCore,4.7838333333333346e-05,-2.374e-05,5.8387098888938354e-05,0.3333333333333333,0.5833333333333334,0.9166666666666666,0.0005494562792411617,2.6959990858336824,0.02036386256280288,0.03552069025037227,low,mid,low,high,low,high,mid,mid,high
2026-05-08 14:00:00+00:00,0.25,0.5,0.0,-3.6105833333333336e-05,-0.005731043218194101,FundingCore,4.183916666666667e-05,2.863916666666667e-05,4.6684436817554325e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0003452294857011114,2.745544845000017,0.015194230320247212,0.012606457371312177,low,low,low,high,low,low,mid,mid,mid
2026-05-08 15:00:00+00:00,0.25,0.5,0.0,-3.6105833333333336e-05,-0.004820766567114094,FundingCore,4.183916666666667e-05,2.863916666666667e-05,4.6684436817554325e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0003404243350200546,2.423879975833278,0.018475396610455986,0.012176324256920187,low,low,low,high,low,low,mid,mid,mid
2026-05-14 15:00:00+00:00,0.25000000000000006,0.5,0.0,-3.3193749999999995e-06,-0.004788030710133873,FundingCore,5.021583333333333e-05,2.904083333333334e-05,5.148276579891135e-05,0.5833333333333334,0.3333333333333333,0.9166666666666666,0.0005058961837771103,4.072523479999501,0.027459473548628044,0.010486833051090383,low,low,low,high,low,mid,high,high,mid
