check,pass,detail
q_manifest_present,True,PASS_A7AL2Q_LOCAL_OI_PRICE_CANDIDATES_FOUND_EXECUTION_HOLD
r_manifest_present,True,PASS_A7AL2R_LOCAL_FORENSIC_CANDIDATES_READY_FOR_A7AL2S_CONTRACT
s_manifest_present,True,PASS_A7AL2S_COMPANY_FULL_FOLLOWUP_CONTRACT_READY
t_manifest_present,True,HOLD_A7AL2T_MAY_STRESS_FAILURE_CONFIRMED_NO_EXPANSION
u_manifest_present,True,PASS_A7AL2U_OBJECTIVE_SELECTOR_REPAIR_CONTRACT_READY
candidate_id_unique,True,0
all_fast_replay_candidates_in_generated_pool,True,128
all_forensic_candidates_in_fast_replay_pool,True,14
all_may_attributed_candidates_in_forensic_pool,True,14
