candidate_id,production_family,expression,horizon,validation_net10,recent_net10,recent_net20,may_net10,max_control_validation_net10,max_control_recent_net10,dominates_controls,control_val_recent_positive_count,a7x3_label,derived_feature_id,source_fields,transform,paired_ablation_plan,label_order
a7x3_F0_slow_aggtrades_horizon_24_8b7b85eebb38,F0_slow_aggtrades_horizon,"HorizonSpread(agg_flow_minus_ethusdt_4h,12,48)",24,2.289047834798577,4.244064049852078,3.431564049852076,-0.2470630239647803,0.8752940732897174,-0.4786611682037685,1,0,A7X3_NEAR_MISS_MAY_STRESS_FAIL,horizon_spread,agg_flow_minus_ethusdt_4h,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls,1
a7x3_F0_slow_aggtrades_horizon_24_d177e27d482b,F0_slow_aggtrades_horizon,"HorizonSpread(agg_flow_minus_btcusdt_4h,12,48)",24,2.289047834798577,4.244064049852078,3.431564049852076,-0.2470630239647803,0.8752940732897174,-0.4786611682037685,1,0,A7X3_NEAR_MISS_MAY_STRESS_FAIL,horizon_spread,agg_flow_minus_btcusdt_4h,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls,1
a7x3_F0_slow_aggtrades_horizon_48_50c526838e42,F0_slow_aggtrades_horizon,"HorizonSpread(agg_notional_sum_24h,12,48)",48,-0.009732833589947587,5.562449782636741,5.283449782636742,-0.10853033315357358,3.8338946839424177,5.57805328189289,0,1,A7X3_HOLD_CONTROL_CONTAMINATED,horizon_spread,agg_notional_sum_24h,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls,4
a7x3_F0_slow_aggtrades_horizon_48_923970023469,F0_slow_aggtrades_horizon,"HorizonSpread(agg_large_notional_sum_24h,12,48)",48,5.300638091836323,2.5719271779783597,2.282927177978359,-0.30124078578337365,7.921351844517581,5.677574805905177,0,1,A7X3_HOLD_CONTROL_CONTAMINATED,horizon_spread,agg_large_notional_sum_24h,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls,4
a7x3_F0_slow_aggtrades_horizon_24_4777f848567d,F0_slow_aggtrades_horizon,"HorizonSpread(agg_notional_sum_24h,12,48)",24,-3.0801963128108607,2.422425690193358,2.14342569019336,-0.5732385832245961,3.850857743380753,2.899181846025929,0,1,A7X3_HOLD_CONTROL_CONTAMINATED,horizon_spread,agg_notional_sum_24h,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls,4
a7x3_F0_slow_aggtrades_horizon_48_75dc2ca72e3f,F0_slow_aggtrades_horizon,"HorizonSpread(agg_flow_accel_4h_vs_24h,12,48)",48,2.235067165877447,2.3499658689116067,1.523465868911606,-0.08618053589311075,2.9753713089419076,3.425573205150024,0,1,A7X3_HOLD_CONTROL_CONTAMINATED,horizon_spread,agg_flow_accel_4h_vs_24h,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls,4
a7x3_F0_slow_aggtrades_horizon_48_f99a5c2b74a2,F0_slow_aggtrades_horizon,"HorizonSpread(agg_cross_symbol_signed_flow_share,12,48)",48,6.560877268893918,1.9319590996549016,1.0544590996549008,0.1276447539800823,1.7067751406425316,2.1295550057207553,0,1,A7X3_HOLD_CONTROL_CONTAMINATED,horizon_spread,agg_cross_symbol_signed_flow_share,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls,4
a7x3_F0_slow_aggtrades_horizon_24_b820df62f45e,F0_slow_aggtrades_horizon,"HorizonSpread(agg_large_notional_sum_24h,12,48)",24,-2.2953416567822034,0.3376401303487364,0.0486401303487366,-0.6777719393694251,7.9991364477173725,2.0928196687129796,0,1,A7X3_HOLD_CONTROL_CONTAMINATED,horizon_spread,agg_large_notional_sum_24h,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls,4
a7x3_F0_slow_aggtrades_horizon_48_1c2c7eed8cfc,F0_slow_aggtrades_horizon,"HorizonSpread(agg_avg_trade_notional_24h,12,48)",48,-2.8239925027193387,-1.1593587124188047,-1.457358712418804,-0.5020605607111441,2.4689925027193365,2.5602309427029315,0,1,A7X3_HOLD_CONTROL_CONTAMINATED,horizon_spread,agg_avg_trade_notional_24h,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls,4
a7x3_F0_slow_aggtrades_horizon_24_44f6877c820f,F0_slow_aggtrades_horizon,"HorizonSpread(agg_cross_symbol_signed_flow_share,12,48)",24,-5.275702733356805,-2.256324771314312,-3.133824771314313,0.029205185618591645,4.200702733356804,0.5013247713143109,0,1,A7X3_HOLD_CONTROL_CONTAMINATED,horizon_spread,agg_cross_symbol_signed_flow_share,horizon_spread,standalone_agg;market_state_only;interaction;matched_controls,4
