candidate_id,generator,production_family,derived_feature_id,expression,horizon,source_fields,source_field_families,transform,window_hours,availability_mask,cross_symbol_scope,feature_available_lag_bars,feature_timestamp_rule,execution_rule,requires_residual_baselines,required_negative_controls,paired_ablation_plan,decision,reject_reasons
a7x3_F0_slow_aggtrades_horizon_24_2638108d5ff6,crypto_a7x3_small_controlled_diagnostic,F0_slow_aggtrades_horizon,slow_decay,"Decay(agg_flow_imbalance_notional,12)",24,agg_flow_imbalance_notional,aggtrades_reset_interaction,slow_decay,,agg_features_available,core3_only,1,agg hour bucket t observable only after hour close; all rolling inputs past-only,next-bar or later; May stress post-selection only,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;matched_family_controls,standalone_agg;market_state_only;interaction;matched_controls,A7X3_GENERATED_CANDIDATE,
a7x3_F0_slow_aggtrades_horizon_24_a2a63ef51fc1,crypto_a7x3_small_controlled_diagnostic,F0_slow_aggtrades_horizon,slow_tsmean,"TSMean(agg_flow_imbalance_notional,12)",24,agg_flow_imbalance_notional,aggtrades_reset_interaction,slow_tsmean,,agg_features_available,core3_only,1,agg hour bucket t observable only after hour close; all rolling inputs past-only,next-bar or later; May stress post-selection only,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;matched_family_controls,standalone_agg;market_state_only;interaction;matched_controls,A7X3_GENERATED_CANDIDATE,
a7x3_F0_slow_aggtrades_horizon_48_c6fc86b642b5,crypto_a7x3_small_controlled_diagnostic,F0_slow_aggtrades_horizon,slow_decay,"Decay(agg_flow_imbalance_notional,12)",48,agg_flow_imbalance_notional,aggtrades_reset_interaction,slow_decay,,agg_features_available,core3_only,1,agg hour bucket t observable only after hour close; all rolling inputs past-only,next-bar or later; May stress post-selection only,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;matched_family_controls,standalone_agg;market_state_only;interaction;matched_controls,A7X3_GENERATED_CANDIDATE,
a7x3_F0_slow_aggtrades_horizon_48_5554dab92611,crypto_a7x3_small_controlled_diagnostic,F0_slow_aggtrades_horizon,slow_tsmean,"TSMean(agg_flow_imbalance_notional,12)",48,agg_flow_imbalance_notional,aggtrades_reset_interaction,slow_tsmean,,agg_features_available,core3_only,1,agg hour bucket t observable only after hour close; all rolling inputs past-only,next-bar or later; May stress post-selection only,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;matched_family_controls,standalone_agg;market_state_only;interaction;matched_controls,A7X3_GENERATED_CANDIDATE,
a7x3_F0_slow_aggtrades_horizon_24_47f514158da8,crypto_a7x3_small_controlled_diagnostic,F0_slow_aggtrades_horizon,slow_decay,"Decay(agg_flow_imbalance_notional,24)",24,agg_flow_imbalance_notional,aggtrades_reset_interaction,slow_decay,,agg_features_available,core3_only,1,agg hour bucket t observable only after hour close; all rolling inputs past-only,next-bar or later; May stress post-selection only,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;matched_family_controls,standalone_agg;market_state_only;interaction;matched_controls,A7X3_GENERATED_CANDIDATE,
a7x3_F0_slow_aggtrades_horizon_24_bb9bb97d50d2,crypto_a7x3_small_controlled_diagnostic,F0_slow_aggtrades_horizon,slow_tsmean,"TSMean(agg_flow_imbalance_notional,24)",24,agg_flow_imbalance_notional,aggtrades_reset_interaction,slow_tsmean,,agg_features_available,core3_only,1,agg hour bucket t observable only after hour close; all rolling inputs past-only,next-bar or later; May stress post-selection only,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;matched_family_controls,standalone_agg;market_state_only;interaction;matched_controls,A7X3_GENERATED_CANDIDATE,
a7x3_F0_slow_aggtrades_horizon_48_f831f409b8b2,crypto_a7x3_small_controlled_diagnostic,F0_slow_aggtrades_horizon,slow_decay,"Decay(agg_flow_imbalance_notional,24)",48,agg_flow_imbalance_notional,aggtrades_reset_interaction,slow_decay,,agg_features_available,core3_only,1,agg hour bucket t observable only after hour close; all rolling inputs past-only,next-bar or later; May stress post-selection only,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;matched_family_controls,standalone_agg;market_state_only;interaction;matched_controls,A7X3_GENERATED_CANDIDATE,
a7x3_F0_slow_aggtrades_horizon_48_22642f947127,crypto_a7x3_small_controlled_diagnostic,F0_slow_aggtrades_horizon,slow_tsmean,"TSMean(agg_flow_imbalance_notional,24)",48,agg_flow_imbalance_notional,aggtrades_reset_interaction,slow_tsmean,,agg_features_available,core3_only,1,agg hour bucket t observable only after hour close; all rolling inputs past-only,next-bar or later; May stress post-selection only,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;matched_family_controls,standalone_agg;market_state_only;interaction;matched_controls,A7X3_GENERATED_CANDIDATE,
a7x3_F0_slow_aggtrades_horizon_24_88f238ea771e,crypto_a7x3_small_controlled_diagnostic,F0_slow_aggtrades_horizon,slow_decay,"Decay(agg_flow_imbalance_notional,48)",24,agg_flow_imbalance_notional,aggtrades_reset_interaction,slow_decay,,agg_features_available,core3_only,1,agg hour bucket t observable only after hour close; all rolling inputs past-only,next-bar or later; May stress post-selection only,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;matched_family_controls,standalone_agg;market_state_only;interaction;matched_controls,A7X3_GENERATED_CANDIDATE,
a7x3_F0_slow_aggtrades_horizon_24_c79ea3da1cad,crypto_a7x3_small_controlled_diagnostic,F0_slow_aggtrades_horizon,slow_tsmean,"TSMean(agg_flow_imbalance_notional,48)",24,agg_flow_imbalance_notional,aggtrades_reset_interaction,slow_tsmean,,agg_features_available,core3_only,1,agg hour bucket t observable only after hour close; all rolling inputs past-only,next-bar or later; May stress post-selection only,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;matched_family_controls,standalone_agg;market_state_only;interaction;matched_controls,A7X3_GENERATED_CANDIDATE,
a7x3_F0_slow_aggtrades_horizon_48_733f33ec15fd,crypto_a7x3_small_controlled_diagnostic,F0_slow_aggtrades_horizon,slow_decay,"Decay(agg_flow_imbalance_notional,48)",48,agg_flow_imbalance_notional,aggtrades_reset_interaction,slow_decay,,agg_features_available,core3_only,1,agg hour bucket t observable only after hour close; all rolling inputs past-only,next-bar or later; May stress post-selection only,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;matched_family_controls,standalone_agg;market_state_only;interaction;matched_controls,A7X3_GENERATED_CANDIDATE,
a7x3_F0_slow_aggtrades_horizon_48_bc1c926678d0,crypto_a7x3_small_controlled_diagnostic,F0_slow_aggtrades_horizon,slow_tsmean,"TSMean(agg_flow_imbalance_notional,48)",48,agg_flow_imbalance_notional,aggtrades_reset_interaction,slow_tsmean,,agg_features_available,core3_only,1,agg hour bucket t observable only after hour close; all rolling inputs past-only,next-bar or later; May stress post-selection only,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;matched_family_controls,standalone_agg;market_state_only;interaction;matched_controls,A7X3_GENERATED_CANDIDATE,
a7x3_F0_slow_aggtrades_horizon_24_8c929afeca56,crypto_a7x3_small_controlled_diagnostic,F0_slow_aggtrades_horizon,horizon_spread,"HorizonSpread(agg_flow_imbalance_notional,12,48)",24,agg_flow_imbalance_notional,aggtrades_reset_interaction,horizon_spread,,agg_features_available,core3_only,1,agg hour bucket t observable only after hour close; all rolling inputs past-only,next-bar or later; May stress post-selection only,FundingCore;Core4,row_shuffle;time_shuffle;wrong_lag;sign_flip;matched_family_controls,standalone_agg;market_state_only;interaction;matched_controls,A7X3_GENERATED_CANDIDATE,
