artifact,column
CORE33E aggregate replay,replay_candidate_id
CORE33E aggregate replay,family_id
CORE33E aggregate replay,dataset
CORE33E aggregate replay,motif
CORE33E aggregate replay,operator
CORE33E aggregate replay,label_family
CORE33E aggregate replay,horizon_h
CORE33E aggregate replay,split
CORE33E aggregate replay,spread
CORE33E aggregate replay,net_spread
CORE33E aggregate replay,control_ratio
CORE33E aggregate replay,turnover
CORE33E aggregate replay,tstat
CORE33E aggregate replay,n
CORE33E aggregate replay,timestamp_count
CORE33E aggregate replay,positive_net
CORE33E aggregate replay,control_clean
CORE36E candidate rescore,replay_candidate_id
CORE36E candidate rescore,preflight_candidate_id
CORE36E candidate rescore,numeric_probe_id
CORE36E candidate rescore,family_id
CORE36E candidate rescore,dataset
CORE36E candidate rescore,motif
CORE36E candidate rescore,operator
CORE36E candidate rescore,primary_field
CORE36E candidate rescore,partner_field
CORE36E candidate rescore,window_h
CORE36E candidate rescore,expression
CORE36E candidate rescore,cluster_key
CORE36E candidate rescore,train_rows
CORE36E candidate rescore,train_median_net_spread
CORE36E candidate rescore,train_min_net_spread
CORE36E candidate rescore,train_positive_rows
CORE36E candidate rescore,train_median_control_ratio
CORE36E candidate rescore,train_max_control_ratio
CORE36E candidate rescore,train_control_clean_rows
CORE36E candidate rescore,train_median_turnover
CORE36E candidate rescore,train_median_tstat
CORE36E candidate rescore,train_control_margin
CORE36E candidate rescore,train_objective_pass
CORE36E candidate rescore,oos_split_count
CORE36E candidate rescore,oos_split_pass_count
CORE36E candidate rescore,oos_min_split_net_spread
CORE36E candidate rescore,oos_median_split_net_spread
CORE36E candidate rescore,oos_worst_control_ratio
CORE36E candidate rescore,oos_control_clean_rows
CORE36E candidate rescore,oos_positive_rows
CORE36E candidate rescore,oos_all_splits_available
CORE36E candidate rescore,oos_two_split_balance_pass
CORE36E candidate rescore,oos_all_split_balance_pass
CORE36E candidate rescore,executable_objective_score
CORE36E candidate rescore,selected_for_core37_contract
CORE36E candidate rescore,strict_executable_survivor
CORE36E candidate rescore,failure_reason
