interval,horizon,feature,family,train_sign,train_mean_ic,train_icir,train_2024_mean_ic_oriented,train_2024_icir_oriented,train_2024_ls_annualized,train_2024_ls_sharpe_proxy,train_2024_ls_hit_rate,train_2024_n,validation_2025H1_mean_ic_oriented,validation_2025H1_icir_oriented,validation_2025H1_ls_annualized,validation_2025H1_ls_sharpe_proxy,validation_2025H1_ls_hit_rate,validation_2025H1_n,recent_oos_2025H2_2026_mean_ic_oriented,recent_oos_2025H2_2026_icir_oriented,recent_oos_2025H2_2026_ls_annualized,recent_oos_2025H2_2026_ls_sharpe_proxy,recent_oos_2025H2_2026_ls_hit_rate,recent_oos_2025H2_2026_n
1h,1,ret_1,price,-1.0,-0.030834184612920677,-0.08611453922606903,0.030834184612920677,0.08611453922606903,0.5364037911949757,0.9093763306946302,0.5128088352499146,8783,0.03158976300878833,0.08618475282462149,1.5335234931454735,2.9668112302436556,0.52048802946593,4344,0.03505683921862469,0.09832583816958308,0.27258566858474576,0.6934500771508414,0.5343385880740233,7295
1h,1,ret_3,price,-1.0,-0.026308622272302653,-0.07360542506770416,0.026308622272302653,0.07360542506770416,-0.9790512878667346,-1.649185912118068,0.5068898758683521,8781,0.023168633894871813,0.06353010267037475,0.09500349700518393,0.18618529835886186,0.5094383057090239,4344,0.041243580456995735,0.11687989098785699,1.0680917897724143,2.8184430924485984,0.5337902673063742,7295
1h,1,ret_6,price,-1.0,-0.027867605853394376,-0.07894130874617473,0.027867605853394376,0.07894130874617473,-0.9091208751677898,-1.5199965683278658,0.5060378218272955,8778,0.012438317396814322,0.03419444732288421,-0.7631736843382736,-1.4321663964593094,0.4976979742173112,4344,0.03946070033234047,0.11099944149780344,0.9707453043848275,2.536786123282581,0.5337902673063742,7295
1h,1,ret_12,price,-1.0,-0.016286700416305554,-0.04557190393615983,0.016286700416305554,0.04557190393615983,-1.873780587617849,-3.133225366022722,0.49601003191974463,8772,0.009726334405083175,0.026620359382252684,-0.7843678810328313,-1.4614570250526946,0.5094383057090239,4344,0.036603768648848074,0.10290307560628163,0.740277299001542,1.9400780412365133,0.5291295407813571,7295
1h,1,ret_24,price,-1.0,-0.013995149869731572,-0.038988804405799875,0.013995149869731572,0.038988804405799875,-1.3964761431091484,-2.317690372719256,0.4985159817351598,8760,0.02320874647852225,0.06244258732700063,0.13592821381877265,0.24482162964164447,0.5117403314917127,4344,0.03456837088018638,0.0961987988725829,1.0231961586132576,2.679809820844615,0.5313228238519534,7295
1h,1,hl_range,price,-1.0,-0.024769056643798786,-0.062049784503639155,0.024769056643798786,0.062049784503639155,-1.5003946998075597,-2.3578130912594815,0.5103597449908925,8784,0.022886742504314828,0.053659240711219136,-0.30739361984620833,-0.5252282260719822,0.524171270718232,4344,0.021444190845514334,0.053665172628744935,0.0723730282665341,0.17014277302906988,0.5202193283070596,7295
1h,1,abs_ret_1,price,-1.0,-0.015765327494768822,-0.044513061328885425,0.015765327494768822,0.044513061328885425,-0.8734241662839154,-1.5326343694545141,0.5052943185699647,8783,0.012113634876442141,0.03353680712136083,-0.6670791143973368,-1.3309444048931367,0.5085174953959485,4344,0.011833160533225775,0.03378621533745778,-0.030997347180891272,-0.0798420753366981,0.5106237148732008,7295
1h,1,realized_vol_6,volatility,-1.0,-0.025394699770409812,-0.06462851701431191,0.025394699770409812,0.06462851701431191,-1.6514018815388118,-2.587799500758498,0.5076870515886573,8781,0.02526688772378114,0.05992690119666633,-0.3019609194955501,-0.5156856028032499,0.5142725598526704,4344,0.0224653545441581,0.057804087178143775,0.5635837788629529,1.3319783385863215,0.5154215215901302,7295
1h,1,realized_vol_12,volatility,-1.0,-0.026387359249851035,-0.06492898506040395,0.026387359249851035,0.06492898506040395,-0.9002584789484416,-1.3925422818416051,0.511164274322169,8778,0.02916171294389884,0.0672455212678376,0.11727222704876483,0.19273815918366352,0.5211786372007366,4344,0.02472378291643031,0.061112745328572096,0.38597297657031165,0.8728928323608749,0.5177518848526388,7295
1h,1,realized_vol_24,volatility,-1.0,-0.027491537289486025,-0.06616115960029637,0.027491537289486025,0.06616115960029637,-1.1458130886800906,-1.7277463163104623,0.5077519379844961,8772,0.0320906983682619,0.07239996729655983,0.16337163565794874,0.25088150458393577,0.5257826887661142,4344,0.023001035636617026,0.05543257668469151,0.3459365498745417,0.77072781129478,0.5118574366004113,7295
1h,1,quote_asset_volume,volatility,1.0,0.014638352706639693,0.04718823067171235,0.014638352706639693,0.04718823067171235,0.4507502733477835,1.0621496788609468,0.51183970856102,8784,0.00863659016641077,0.029331528116149932,0.3846206417475758,1.0600281395385271,0.5135819521178637,4344,0.007678579306887537,0.024322753872681263,0.0425647345721069,0.14334826855368052,0.5093899931459904,7295
1h,1,quote_volume_mean_6,volatility,1.0,0.013757321897426312,0.04422204310881905,0.013757321897426312,0.04422204310881905,0.1927341032107372,0.4464098767834769,0.5115007970849464,8782,0.009332788492901258,0.031572348973833556,0.04425385596609078,0.12295584546654723,0.5124309392265194,4344,0.008158955326754232,0.025737429620449323,-0.10632038229811554,-0.36302324717630513,0.5029472241261138,7295
1h,1,quote_volume_mean_12,volatility,1.0,0.013426881572001082,0.04303967732257812,0.013426881572001082,0.04303967732257812,0.05694301273432036,0.13005476718842335,0.507802711014922,8779,0.009492139756362367,0.03181494013288802,-0.038864293740949477,-0.10529027937950311,0.5154235727440147,4344,0.007377542385697023,0.023286456478162985,-0.2424534816472562,-0.8116492967250163,0.5047292666209733,7295
1h,1,quote_volume_mean_24,volatility,1.0,0.014622730783698332,0.04666865711354825,0.014622730783698332,0.04666865711354825,0.07118575680812249,0.16140762204904163,0.5127094494471675,8773,0.009036541450528113,0.03023917648625425,-0.005448890606663512,-0.014930067625448473,0.5154235727440147,4344,0.008287295247223056,0.026149083497881295,-0.2427487663188748,-0.8040056357652761,0.5054146675805347,7295
1h,1,avg_trade_size_quote,liquidity,1.0,0.021073812478637342,0.064580482072366,0.021073812478637342,0.064580482072366,-0.19269478777752427,-0.41154853514762635,0.518046225663213,8783,0.018718043895567135,0.060316131405770176,0.37823819024548755,0.9542574949297603,0.5267034990791897,4344,0.012444876688643362,0.03896840970950695,0.2026614328820018,0.6438785285405654,0.5211788896504456,7295
1h,1,taker_buy_ratio,flow,-1.0,-0.009763755140613872,-0.03190332903126246,0.009763755140613872,0.03190332903126246,-0.5297078854655529,-1.1050907407641457,0.5096208584766025,8783,0.011575327558025317,0.03751053086474864,1.0745239059420282,2.393267101733801,0.5200276243093923,4344,-0.002977495161196725,-0.009484005898925835,-1.1429553148602594,-3.6343565295345335,0.49485949280328995,7295
1h,1,taker_imbalance,flow,-1.0,-0.009763755140613872,-0.03190332903126246,0.009763755140613872,0.03190332903126246,-0.5297078854655529,-1.1050907407641457,0.5096208584766025,8783,0.011575327558025317,0.03751053086474864,1.0745239059420282,2.393267101733801,0.5200276243093923,4344,-0.002977495161196725,-0.009484005898925835,-1.1429553148602594,-3.6343565295345335,0.49485949280328995,7295
1h,1,mark_minus_index,basis,-1.0,-0.007137022532697109,-0.022013162617450916,0.007137022532697109,0.022013162617450916,0.45197959514443403,0.8980638511978953,0.5031876138433515,8784,0.02271541785124985,0.05955750812324371,0.19951862692171235,0.3843956156651144,0.516804788213628,4344,0.014185096577398804,0.042173613997227875,0.20403924929921502,0.5577590113201746,0.5084304318026045,7295
1h,1,mark_index_ratio,basis,-1.0,-0.01599878018836804,-0.05075563550667535,0.01599878018836804,0.05075563550667535,1.4772709019387502,2.9251808844626117,0.5119535519125683,8784,-0.00033743894490070024,-0.0010621411655112212,-0.3836038614033828,-0.8478395691759587,0.4972375690607735,4344,0.008150156676098504,0.02643105263767506,0.31075311133089334,0.986967580214891,0.5050034270047978,7295
