field,status
R10_stress_proxy_state,upper_regime
R2_market_breadth_state,upper_regime
R3_liquidity_cycle_state,upper_regime
R4_leverage_crowding_state,upper_regime
R5_basis_premium_dislocation_state,upper_regime
account_position_divergence,computed_derived
active_universe_size,base
age_percentile_active_universe,base
basis_dislocation_state,upper_regime_alias:R5_basis_premium_dislocation_state
funding_rate,base
funding_rate_abs_state_168h_z,computed_dense_funding
funding_rate_delta_state_24h,computed_dense_funding
funding_rate_state_last_ffill_8h,computed_dense_funding
funding_rate_update_age_hours,computed_dense_funding
funding_state_x_basis_delta,computed_dense_funding
global_long_short_account_ratio_last,base
kline_taker_buy_quote_share,base
leverage_crowding_state,upper_regime_alias:R4_leverage_crowding_state
liquidity_cycle_state,upper_regime_alias:R3_liquidity_cycle_state
listing_age_days,base
log1p_listing_age_days,base
mark_index_basis_bps,base
mark_trade_basis_bps,base
market_breadth_state,upper_regime_alias:R2_market_breadth_state
open_interest_last,base
open_interest_mean,base
open_interest_value_change_24h,computed_derived
open_interest_value_last,base
open_interest_value_mean,base
premium_abs_state,computed_derived
premium_close_bps,base
quote_volume_z_168h,computed_derived
sqrt_listing_age_days,base
stress_proxy_state,upper_regime_alias:R10_stress_proxy_state
taker_buy_sell_volume_ratio_last,base
taker_buy_sell_volume_ratio_mean,base
top_global_account_divergence,computed_derived
top_long_short_account_ratio_last,base
top_long_short_position_ratio_last,base
trade_quote_volume,base
