candidate_id,family_id,dataset,motif,primary_field,partner_field,window_h,operator,expression,candidate_role,executes_numeric,primary_field_available,partner_field_available,materialization_preflight_pass
a7ffcore29e_0000,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_signed_aggressor_notional,premium_index_bps,4,Delta,"Delta(agg_signed_aggressor_notional,4)*ZScore(Delta(premium_index_bps,4))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0001,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_volume_imbalance,premium_index_bps,8,Delta,"Delta(agg_volume_imbalance,8)*ZScore(Delta(premium_index_bps,8))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0002,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_max_trade_notional,premium_index_bps,24,Delta,"Delta(agg_max_trade_notional,24)*ZScore(Delta(premium_index_bps,24))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0003,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_large_notional_ratio_100k_plus,premium_index_bps,72,Delta,"Delta(agg_large_notional_ratio_100k_plus,72)*ZScore(Delta(premium_index_bps,72))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0004,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_signed_aggressor_notional,funding_rate,168,Delta,"Delta(agg_signed_aggressor_notional,168)*ZScore(Delta(funding_rate,168))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0005,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_volume_imbalance,funding_rate,4,ZScore,"ZScore(agg_volume_imbalance,4)*ZScore(Delta(funding_rate,4))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0006,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_max_trade_notional,funding_rate,8,ZScore,"ZScore(agg_max_trade_notional,8)*ZScore(Delta(funding_rate,8))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0007,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_large_notional_ratio_100k_plus,funding_rate,24,ZScore,"ZScore(agg_large_notional_ratio_100k_plus,24)*ZScore(Delta(funding_rate,24))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0008,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_signed_aggressor_notional,mark_index_basis_bps,72,ZScore,"ZScore(agg_signed_aggressor_notional,72)*ZScore(Delta(mark_index_basis_bps,72))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0009,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_volume_imbalance,mark_index_basis_bps,168,ZScore,"ZScore(agg_volume_imbalance,168)*ZScore(Delta(mark_index_basis_bps,168))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0010,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_max_trade_notional,mark_index_basis_bps,4,TSRank,"TSRank(agg_max_trade_notional,4)*ZScore(Delta(mark_index_basis_bps,4))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0011,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_large_notional_ratio_100k_plus,mark_index_basis_bps,8,TSRank,"TSRank(agg_large_notional_ratio_100k_plus,8)*ZScore(Delta(mark_index_basis_bps,8))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0012,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_signed_aggressor_notional,agg_price_range_bps,24,TSRank,"TSRank(agg_signed_aggressor_notional,24)*ZScore(Delta(agg_price_range_bps,24))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0013,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_volume_imbalance,agg_price_range_bps,72,TSRank,"TSRank(agg_volume_imbalance,72)*ZScore(Delta(agg_price_range_bps,72))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0014,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_max_trade_notional,agg_price_range_bps,168,TSRank,"TSRank(agg_max_trade_notional,168)*ZScore(Delta(agg_price_range_bps,168))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0015,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_large_notional_ratio_100k_plus,agg_price_range_bps,4,SpreadShortLong,"Sub(ZScore(Mean(agg_large_notional_ratio_100k_plus,4)),ZScore(Mean(agg_price_range_bps,16)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0016,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_signed_aggressor_notional,premium_index_bps,8,SpreadShortLong,"Sub(ZScore(Mean(agg_signed_aggressor_notional,8)),ZScore(Mean(premium_index_bps,32)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0017,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_volume_imbalance,premium_index_bps,24,SpreadShortLong,"Sub(ZScore(Mean(agg_volume_imbalance,24)),ZScore(Mean(premium_index_bps,96)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0018,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_max_trade_notional,premium_index_bps,72,SpreadShortLong,"Sub(ZScore(Mean(agg_max_trade_notional,72)),ZScore(Mean(premium_index_bps,288)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0019,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_large_notional_ratio_100k_plus,premium_index_bps,168,SpreadShortLong,"Sub(ZScore(Mean(agg_large_notional_ratio_100k_plus,168)),ZScore(Mean(premium_index_bps,336)))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0020,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_signed_aggressor_notional,funding_rate,4,WinsorZ,"Clip(ZScore(Delta(agg_signed_aggressor_notional,4)),-3,3)*Sign(Delta(funding_rate,4))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0021,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_volume_imbalance,funding_rate,8,WinsorZ,"Clip(ZScore(Delta(agg_volume_imbalance,8)),-3,3)*Sign(Delta(funding_rate,8))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0022,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_max_trade_notional,funding_rate,24,WinsorZ,"Clip(ZScore(Delta(agg_max_trade_notional,24)),-3,3)*Sign(Delta(funding_rate,24))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0023,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_large_notional_ratio_100k_plus,funding_rate,72,WinsorZ,"Clip(ZScore(Delta(agg_large_notional_ratio_100k_plus,72)),-3,3)*Sign(Delta(funding_rate,72))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0024,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_signed_aggressor_notional,mark_index_basis_bps,168,WinsorZ,"Clip(ZScore(Delta(agg_signed_aggressor_notional,168)),-3,3)*Sign(Delta(mark_index_basis_bps,168))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0025,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_volume_imbalance,mark_index_basis_bps,4,Delta,"Delta(agg_volume_imbalance,4)*ZScore(Delta(mark_index_basis_bps,4))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0026,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_max_trade_notional,mark_index_basis_bps,8,Delta,"Delta(agg_max_trade_notional,8)*ZScore(Delta(mark_index_basis_bps,8))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0027,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_large_notional_ratio_100k_plus,mark_index_basis_bps,24,Delta,"Delta(agg_large_notional_ratio_100k_plus,24)*ZScore(Delta(mark_index_basis_bps,24))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0028,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_signed_aggressor_notional,agg_price_range_bps,72,Delta,"Delta(agg_signed_aggressor_notional,72)*ZScore(Delta(agg_price_range_bps,72))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0029,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_volume_imbalance,agg_price_range_bps,168,Delta,"Delta(agg_volume_imbalance,168)*ZScore(Delta(agg_price_range_bps,168))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0030,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_max_trade_notional,agg_price_range_bps,4,ZScore,"ZScore(agg_max_trade_notional,4)*ZScore(Delta(agg_price_range_bps,4))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0031,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,large_trade_shock,agg_large_notional_ratio_100k_plus,agg_price_range_bps,8,ZScore,"ZScore(agg_large_notional_ratio_100k_plus,8)*ZScore(Delta(agg_price_range_bps,8))",preflight_blueprint_only,False,True,True,True
a7ffcore29e_0032,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_x_dislocation,agg_signed_aggressor_notional,premium_index_bps,24,ZScore,"ZScore(agg_signed_aggressor_notional,24)*ZScore(Delta(premium_index_bps,24))",preflight_blueprint_only,False,True,True,True
