family,control_mode,control_research_like,count
H2_flow_x_crowding,sign_flip,True,3
H0_agg_flow_x_context,row_shuffle,False,64
H0_agg_flow_x_context,sign_flip,False,64
H0_agg_flow_x_context,time_shuffle,False,64
H0_agg_flow_x_context,wrong_lag_stale_24h,False,64
H1_large_trade_x_context,row_shuffle,False,18
H1_large_trade_x_context,sign_flip,False,18
H1_large_trade_x_context,time_shuffle,False,18
H1_large_trade_x_context,wrong_lag_stale_24h,False,18
H2_flow_x_crowding,row_shuffle,False,6
H2_flow_x_crowding,time_shuffle,False,6
H2_flow_x_crowding,wrong_lag_stale_24h,False,6
H2_flow_x_crowding,sign_flip,False,3
H3_flow_pressure_benchmark,row_shuffle,False,2
H3_flow_pressure_benchmark,sign_flip,False,2
H3_flow_pressure_benchmark,time_shuffle,False,2
H3_flow_pressure_benchmark,wrong_lag_stale_24h,False,2
