symbol,path,file_exists,manifest_status,manifest_rows,coverage_metrics,coverage_market_funding,read_ok,error,rows,row_count_match,timestamp_min,timestamp_max,duplicate_symbol_timestamp,gap_hours,inf_cell_count,nan_cell_count,negative_non_allowed_count,feature_lag_min_hours,execution_lag_min_hours,feature_to_execution_lag_min_hours,median_hourly_quote_volume,mean_hourly_quote_volume,p10_hourly_quote_volume,p90_hourly_quote_volume,metrics_missing_rows,market_funding_missing_rows,source_trade_klines_rate,source_metrics_rate,source_market_funding_rate,rows_train_2024,rows_validation_2025H1,rows_recent_2025H2_2026Apr,rows_may_2026_stress_unavailable,liquidity_rank,liquidity_tier,history_tier,search_eligibility,contract_format,base_asset,is_core12,is_major
BTCUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=BTCUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,462167007.90129995,695738223.274714,180518430.80584,1482063776.343305,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,1,top20,full_2024_2026apr,strict_full_history,plain_contract,BTC,True,True
ETHUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=ETHUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,327473852.24046004,498651383.29464686,119531105.190608,1055192225.990766,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,2,top20,full_2024_2026apr,strict_full_history,plain_contract,ETH,True,True
SOLUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=SOLUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,102498740.9185,143458615.5061771,43550265.3527,283074802.01770014,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,3,top20,full_2024_2026apr,strict_full_history,plain_contract,SOL,True,True
XRPUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=XRPUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,35522012.627215,65720077.02152043,9084627.438372,144584581.20097807,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,4,top20,full_2024_2026apr,strict_full_history,plain_contract,XRP,True,True
DOGEUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=DOGEUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,30965032.687955,57352149.05256522,8725537.199798001,123367895.23070504,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,5,top20,full_2024_2026apr,strict_full_history,plain_contract,DOGE,True,False
1000PEPEUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=1000PEPEUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,26037550.509180002,39658086.14064937,6771307.855045691,83243068.03917955,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,6,top20,full_2024_2026apr,strict_full_history,multiplier_contract,1000PEPE,False,False
SUIUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=SUIUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,16604798.868590001,24996104.88367673,3727791.362827,55153567.999421015,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,7,top20,full_2024_2026apr,strict_full_history,plain_contract,SUI,True,False
BNBUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=BNBUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,15758919.18225,26000623.29644047,6200403.33442,52658063.15705704,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,8,top20,full_2024_2026apr,strict_full_history,plain_contract,BNB,True,True
HYPEUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=HYPEUSDT\part.parquet,True,ok,8054,1.0,1.0,True,,8054,True,2025-05-30 10:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,12088,0,1.0,1.0,0.0,12502070.63059,16664461.328625543,4932714.96148,32099928.374161996,0,0,1.0,1.0,1.0,0,758,7296,0,9,top20,recent_only,listing_aware,plain_contract,HYPE,False,False
WIFUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=WIFUSDT\part.parquet,True,ok,20002,0.9995000499950004,1.0,True,,20002,True,2024-01-18 14:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,30141,0,1.0,1.0,0.0,12086847.617509998,18659768.819364708,2021553.1650890002,42261026.480653,10,0,1.0,0.9995000499950005,1.0,8362,4344,7296,0,10,top20,full_2024_2026apr,strict_full_history,plain_contract,WIF,False,False
ADAUSDT,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v1_20260525\symbol=ADAUSDT\part.parquet,True,ok,20424,0.9995103799451626,1.0,True,,20424,True,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,0,35879,0,1.0,1.0,0.0,10795698.578249998,18509944.486593634,3739666.83441,38276514.21968001,10,0,1.0,0.9995103799451626,1.0,8784,4344,7296,0,11,top20,full_2024_2026apr,strict_full_history,plain_contract,ADA,True,False
