symbol,base_asset,contract_format,is_core12,is_major,liquidity_rank,liquidity_tier,history_tier,search_eligibility,median_hourly_quote_volume,rows,timestamp_min,timestamp_max
BTCUSDT,BTC,plain_contract,True,True,1,top20,full_2024_2026apr,strict_full_history,462167007.90129995,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
ETHUSDT,ETH,plain_contract,True,True,2,top20,full_2024_2026apr,strict_full_history,327473852.24046004,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
SOLUSDT,SOL,plain_contract,True,True,3,top20,full_2024_2026apr,strict_full_history,102498740.9185,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
XRPUSDT,XRP,plain_contract,True,True,4,top20,full_2024_2026apr,strict_full_history,35522012.627215,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
DOGEUSDT,DOGE,plain_contract,True,False,5,top20,full_2024_2026apr,strict_full_history,30965032.687955,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
1000PEPEUSDT,1000PEPE,multiplier_contract,False,False,6,top20,full_2024_2026apr,strict_full_history,26037550.509180002,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
SUIUSDT,SUI,plain_contract,True,False,7,top20,full_2024_2026apr,strict_full_history,16604798.868590001,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
BNBUSDT,BNB,plain_contract,True,True,8,top20,full_2024_2026apr,strict_full_history,15758919.18225,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
HYPEUSDT,HYPE,plain_contract,False,False,9,top20,recent_only,listing_aware,12502070.63059,8054,2025-05-30 10:00:00+00:00,2026-04-30 23:00:00+00:00
WIFUSDT,WIF,plain_contract,False,False,10,top20,full_2024_2026apr,strict_full_history,12086847.617509998,20002,2024-01-18 14:00:00+00:00,2026-04-30 23:00:00+00:00
ADAUSDT,ADA,plain_contract,True,False,11,top20,full_2024_2026apr,strict_full_history,10795698.578249998,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
FARTCOINUSDT,FARTCOIN,plain_contract,False,False,12,top20,listed_by_2025H1,listing_aware,9796013.97231,11910,2024-12-20 18:00:00+00:00,2026-04-30 23:00:00+00:00
AVAXUSDT,AVAX,plain_contract,True,False,13,top20,full_2024_2026apr,strict_full_history,9520662.469999999,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
ENAUSDT,ENA,plain_contract,False,False,14,top20,listed_by_2025H1,listing_aware,9480076.84515,18204,2024-04-02 12:00:00+00:00,2026-04-30 23:00:00+00:00
LINKUSDT,LINK,plain_contract,True,False,15,top20,full_2024_2026apr,strict_full_history,9015910.776645001,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00
