split,rows,symbols_with_rows,strict_full_history_symbols,may_allowed_for_ranking
train_2024,1880549,276,181,True
validation_2025H1,1410769,374,181,True
recent_2025H2_2026Apr,3358980,498,181,True
may_2026_stress_unavailable,0,0,0,False
