candidate_id,cell_id,ordinal,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,turnover_class,regime_fold_target,source_fields,source_field_families,expression,expr_hash,horizon,object_type,signal_mode,static_score,may_used_for_generation,may_used_for_static_score,selection_status,execution_lag_1bar_raw_10bp__fresh_forward_2026May,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr,execution_lag_1bar_raw_10bp__validation_2025H1,raw_10bp__fresh_forward_2026May,raw_10bp__recent_oos_2025H2_2026Apr,raw_10bp__validation_2025H1,raw_20bp__fresh_forward_2026May,raw_20bp__recent_oos_2025H2_2026Apr,raw_20bp__validation_2025H1,residual_vs_core4_10bp__fresh_forward_2026May,residual_vs_core4_10bp__recent_oos_2025H2_2026Apr,residual_vs_core4_10bp__validation_2025H1,residual_vs_funding_10bp__fresh_forward_2026May,residual_vs_funding_10bp__recent_oos_2025H2_2026Apr,residual_vs_funding_10bp__validation_2025H1,execution_lag_1bar_raw_10bp__fresh_forward_2026May__gross_exposure,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__gross_exposure,execution_lag_1bar_raw_10bp__validation_2025H1__gross_exposure,raw_10bp__fresh_forward_2026May__gross_exposure,raw_10bp__recent_oos_2025H2_2026Apr__gross_exposure,raw_10bp__validation_2025H1__gross_exposure,raw_20bp__fresh_forward_2026May__gross_exposure,raw_20bp__recent_oos_2025H2_2026Apr__gross_exposure,raw_20bp__validation_2025H1__gross_exposure,residual_vs_core4_10bp__fresh_forward_2026May__gross_exposure,residual_vs_core4_10bp__recent_oos_2025H2_2026Apr__gross_exposure,residual_vs_core4_10bp__validation_2025H1__gross_exposure,residual_vs_funding_10bp__fresh_forward_2026May__gross_exposure,residual_vs_funding_10bp__recent_oos_2025H2_2026Apr__gross_exposure,residual_vs_funding_10bp__validation_2025H1__gross_exposure,execution_lag_1bar_raw_10bp__fresh_forward_2026May__active_hour_count,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__active_hour_count,execution_lag_1bar_raw_10bp__validation_2025H1__active_hour_count,raw_10bp__fresh_forward_2026May__active_hour_count,raw_10bp__recent_oos_2025H2_2026Apr__active_hour_count,raw_10bp__validation_2025H1__active_hour_count,raw_20bp__fresh_forward_2026May__active_hour_count,raw_20bp__recent_oos_2025H2_2026Apr__active_hour_count,raw_20bp__validation_2025H1__active_hour_count,residual_vs_core4_10bp__fresh_forward_2026May__active_hour_count,residual_vs_core4_10bp__recent_oos_2025H2_2026Apr__active_hour_count,residual_vs_core4_10bp__validation_2025H1__active_hour_count,residual_vs_funding_10bp__fresh_forward_2026May__active_hour_count,residual_vs_funding_10bp__recent_oos_2025H2_2026Apr__active_hour_count,residual_vs_funding_10bp__validation_2025H1__active_hour_count,min_fold_component,positive_fold_rate,mean_turnover,mean_gross_exposure,pilot_rank_score,candidate_decision,reject_reasons,liquidity_volatility_flag,diversity_adjusted_rank_score,deep_selection_stage,deep_audit_status,deep_selection_policy,liquidity_volatility_deep_cap,liquidity_volatility_deep_forced_fill_count,return_corr_cluster
a7o_l1_C0355_0565,C0355,565,H07_taker_flow_lag_stable,P5_basis_premium,RollingMaxRank,H48,same_symbol_zscore,FundingCore_and_Core4,low_turnover,F3_high_liquidity_high_vol,cs_z_premium_index;mark_index_ratio,basis,"Decay(Rank(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(RegimeMaskNonMay(F5_funding_neutral,Add(Rank(RollingMax(mark_index_ratio,30)),ZScore(TSMean(cs_z_premium_index,10)))))),6)),8)",a31f7611c7d42b40,48,generated_candidate,original,0.2038,False,False,selected_for_strict_replay,33.76497813908348,4.342351528859412,4.25232087119572,33.78399971166073,4.353159296329666,4.316506836014092,33.78399971166073,4.160059848699858,4.1625371894878,33.78399971166073,4.353159296329666,4.316506836014092,33.78399971166073,4.353159296329666,4.316506836014092,0.4052668165687816,0.4534549104801451,0.3530589581278577,0.4055437401945561,0.4532264645526196,0.3542962976462883,0.4055437401945561,0.4532264645526196,0.3542962976462883,0.4055437401945561,0.4532264645526196,0.3542962976462883,0.4055437401945561,0.4532264645526196,0.3542962976462883,391,7248,4106,391,7248,4107,391,7248,4107,391,7248,4107,391,7248,4107,1.221346627398473,1.0,0.0208652900916229,0.4136085273560543,2.216130304875568,A7O_PILOT_RESEARCH_CANDIDATE,,False,2.216130304875568,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_112
a7o_l1_C0164_1454,C0164,1454,H01_cross_symbol_relative_strength,P14_horizon_spread,ClipRank,H12,cross_symbol_rank,FundingCore_and_Core4,low_turnover,F3_high_liquidity_high_vol,realized_vol_6;ret_6,price;volatility,"CrossSymbolRank(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(Mul(SafeDiv(ZScore(TSMean(realized_vol_6,24)),Clip(Abs(ZScore(TSMean(ret_6,48))),0.05,3.0)),Clip(Rank(TSMean(realized_vol_6,24)),-4.0,4.0))))),12))",3a8c73f40f41e4e7,12,generated_candidate,original,0.2846,False,False,selected_for_strict_replay,0.3774953735136511,1.4979613121858668,1.2842944283521327,0.3421408276839225,1.5691052333732984,1.1149419382316073,0.1368283276839226,1.357095023660274,0.9082680333286888,1.2666219936472387,1.9497637307634563,1.4157761060929113,1.631298173088148,2.019121983105822,1.2711579866151408,0.5,0.5,0.4928070631159243,0.5,0.5,0.4899989107237911,0.5,0.5,0.4899989107237911,0.5,0.5,0.4899989107237911,0.5,0.5,0.4899989107237911,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,0.6110029999659368,1.0,0.0239890142449865,0.4956110717116796,1.60500574640469,A7O_PILOT_RESEARCH_CANDIDATE,,False,1.60500574640469,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_069
a7o_l1_C0050_1163,C0050,1163,H05_volatility_structure_ex_liquidity_mul,P3_trade_size,ZScore,spread_6_vs_24,cross_symbol_zscore,FundingCore,low_turnover,F10_volatility_compression,avg_trade_size_quote;quote_asset_volume,liquidity,"Sub(TSMean(ResidualizeVsFundingCore(cross_symbol_zscore(WinsorZScore(ZScore(Decay(avg_trade_size_quote,36)),3.0))),60),Rank(TSMean(quote_asset_volume,60)))",a5d5230ac3b2470e,48,generated_candidate,original,0.2039,False,False,selected_for_strict_replay,5.474049460916488,5.029894461251091,4.594677841573338,6.105010221301943,5.013148113742174,4.683204642048134,6.050611182840405,4.957851389782714,4.645953189256238,11.35922560426218,9.761756148746423,9.357597735513918,11.71354001733943,9.826558769947662,9.218227430781122,0.4699519230769231,0.4211210655973684,0.3404551764085842,0.4699519230769231,0.4218167609022074,0.3415395430518921,0.4699519230769231,0.4218167609022074,0.3415395430518921,0.4699519230769231,0.4218167609022074,0.3415395430518921,0.4699519230769231,0.4218167609022074,0.3415395430518921,391,7248,4296,391,7248,4296,391,7248,4296,391,7248,4296,391,7248,4296,0.0236086930740748,1.0,0.0054809176499323,0.3905213077211022,1.0222384636615918,A7O_PILOT_RESEARCH_CANDIDATE,,False,1.0222384636615918,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_032
a7o_l1_C0036_0678,C0036,678,H06_liquidity_structure_ex_realized_vol_mul,P3_trade_size,TSStdZScore,H48,same_symbol_rank,FundingCore_and_Core4,low_turnover,F9_liquidity_shock,avg_trade_size_quote;number_of_trades,liquidity,"Sub(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(RollingMin(Add(ZScore(TSStd(number_of_trades,24)),Rank(TSMean(avg_trade_size_quote,12))),60))),30),ZScore(TSStd(number_of_trades,30)))",07c8dcaea61301a8,48,generated_candidate,original,0.1998,False,False,selected_for_strict_replay,20.0907125544285,2.231330121688776,3.005690456981533,20.110954234573345,2.127077373314978,2.979288979594076,19.94694719777688,1.909889834899937,2.756487768480064,22.44484127977167,4.124738721298759,4.927597859574012,22.45856693069588,4.163205324049311,4.906359595804734,0.428046821592426,0.4521690328782302,0.4015481751455873,0.424029728398794,0.4516703477457185,0.4008836564098649,0.424029728398794,0.4516703477457185,0.4008836564098649,0.424029728398794,0.4516703477457185,0.4008836564098649,0.424029728398794,0.4516703477457185,0.4008836564098649,391,7248,4296,391,7248,4296,391,7248,4296,391,7248,4296,391,7248,4296,-0.0009484839976166,0.9846153846153848,0.024886260826942,0.4275095656930461,0.9774453354110324,A7O_PILOT_RESEARCH_CANDIDATE,,False,0.9774453354110324,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_020
a7o_l1_C0147_1648,C0147,1648,H02_cross_symbol_dispersion_reversal,P3_trade_size,ZScore,H72,cross_symbol_rank,none,medium_turnover,F9_liquidity_shock,avg_trade_size_quote;number_of_trades,liquidity,"Neg(CrossSymbolZScore(Clip(cross_symbol_rank(ResidualizeVsFundingCore(Add(ZScore(Decay(avg_trade_size_quote,24)),Rank(TSMean(avg_trade_size_quote,20))))),-4.0,4.0)))",55b72f0930302b88,72,generated_candidate,original,0.2041,False,False,selected_for_strict_replay,6.627313865771423,2.863686895217945,7.871151209808924,7.191248197725796,2.818252344749536,7.829787563240528,6.995996614640655,2.668546173285102,7.716042235461135,7.722513564278562,3.079753364413441,8.051691560997106,7.95481596506589,3.115230511005928,7.963402935767692,0.4128073474630118,0.4123973741771307,0.3321707792542475,0.4167112462080722,0.4128222999797778,0.3310949585840816,0.4167112462080722,0.4128222999797778,0.3310949585840816,0.4167112462080722,0.4128222999797778,0.3310949585840816,0.4167112462080722,0.4128222999797778,0.3310949585840816,367,7248,4296,367,7248,4296,367,7248,4296,367,7248,4296,367,7248,4296,-0.595428745575985,0.8769230769230769,0.0154475107496126,0.3784604927012138,0.2776324536596887,A7O_PILOT_RESEARCH_CANDIDATE,,False,0.2776324536596887,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_065
a7o_l1_C0169_0373,C0169,373,H14_open_ast_cem_diversity,P3_trade_size,WinsorZScore,H48,same_symbol_rank,FundingCore,lag_stable,F8_low_vol_high_liquidity,avg_trade_size_quote;quote_asset_volume,liquidity,"SafeDiv(Decay(ResidualizeVsFundingCore(RegimeMaskNonMay(F5_funding_neutral,Add(WinsorZScore(TSMean(avg_trade_size_quote,16),3.0),ZScore(TSMean(quote_asset_volume,60))))),24),Clip(Abs(TSMean(quote_asset_volume,30)),0.05,4.0))",86f94330fb68c5c3,48,generated_candidate,original,0.2087,False,False,selected_for_strict_replay,11.312463316309998,4.442684361233399,6.546942088541444,11.312463316309998,4.403066182492111,6.51470852488206,11.312463316309998,4.326522148473505,6.45963939018479,11.312463316309998,4.403066182492111,6.51470852488206,11.312463316309998,4.403066182492111,6.51470852488206,0.4699519230769231,0.473272727076536,0.3877393534771948,0.4699519230769231,0.4739583900240413,0.3884619719848747,0.4699519230769231,0.4739583900240413,0.3884619719848747,0.4699519230769231,0.4739583900240413,0.3884619719848747,0.4699519230769231,0.4739583900240413,0.3884619719848747,391,7248,4060,391,7248,4061,391,7248,4061,391,7248,4061,391,7248,4061,-0.698755359719458,0.9230769230769232,0.0081330264107668,0.4383604211772007,0.2222883067547734,A7O_PILOT_RESEARCH_CANDIDATE,,False,0.2222883067547734,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_075
a7o_l1_C0238_0373,C0238,373,H13_symbol_tier_relative,P3_trade_size,DecayZScore,ensemble_6_12_24_48,cross_symbol_zscore,FundingCore,lag_stable,F4_basis_dislocation,avg_trade_size_quote;quote_asset_volume,liquidity,"CrossSymbolZScore(Decay(ResidualizeVsFundingCore(cross_symbol_zscore(RegimeMaskNonMay(F5_funding_neutral,Add(ZScore(Decay(avg_trade_size_quote,16)),ZScore(TSMean(quote_asset_volume,60)))))),24))",8e4aa88d649da0dd,48,generated_candidate,original,0.2107,False,False,selected_for_strict_replay,11.312463316309998,4.331645002839347,6.4251175477746,11.312463316309998,4.305649926202206,6.428187573756337,11.312463316309998,4.229486100133813,6.372664483640247,11.312463316309998,4.305649926202206,6.428187573756337,11.312463316309998,4.305649926202206,6.428187573756337,0.4699519230769231,0.4723720379807867,0.3881278270510852,0.4699519230769231,0.4734131971276759,0.389143810124039,0.4699519230769231,0.4734131971276759,0.389143810124039,0.4699519230769231,0.4734131971276759,0.389143810124039,0.4699519230769231,0.4734131971276759,0.389143810124039,391,7248,4060,391,7248,4061,391,7248,4061,391,7248,4061,391,7248,4061,-0.8455336189980014,0.9230769230769232,0.0080790022738034,0.438064526643719,0.0755235535104708,A7O_PILOT_RESEARCH_CANDIDATE,,False,0.0755235535104708,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_075
a7o_l1_C0169_0181,C0169,181,H14_open_ast_cem_diversity,P3_trade_size,WinsorZScore,H48,same_symbol_rank,FundingCore,lag_stable,F8_low_vol_high_liquidity,quote_asset_volume,liquidity,"SafeDiv(Decay(ResidualizeVsFundingCore(RegimeMaskNonMay(F5_funding_neutral,Add(WinsorZScore(TSMean(quote_asset_volume,60),2.0),ZScore(TSMean(quote_asset_volume,10))))),10),Clip(Abs(TSMean(quote_asset_volume,12)),0.05,4.0))",97dab024b67c102d,48,generated_candidate,original,0.2107,False,False,selected_for_strict_replay,11.312463316309998,4.022549259392882,5.553416008699442,11.312463316309998,3.962369605806409,5.500445359433441,11.312463316309998,3.8593995144701614,5.425721727759498,11.312463316309998,3.962369605806409,5.500445359433441,11.312463316309998,3.962369605806409,5.500445359433441,0.4699519230769231,0.460396930643225,0.3915757582911403,0.4699519230769231,0.461266844363043,0.3924534663231425,0.4699519230769231,0.461266844363043,0.3924534663231425,0.4699519230769231,0.461266844363043,0.3924534663231425,0.4699519230769231,0.461266844363043,0.3924534663231425,391,7248,4107,391,7248,4108,391,7248,4108,391,7248,4108,391,7248,4108,-1.03873010084083,0.9230769230769232,0.0108779053766543,0.4325150120615858,-0.1183726541080705,A7O_PILOT_RESEARCH_CANDIDATE,,False,-0.1183726541080705,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_075
a7o_l1_C0017_0177,C0017,177,H00_low_turnover_robust,P2_liquidity,TSStdZScore,H72,cross_symbol_zscore,none,medium_turnover,F2_low_liquidity,number_of_trades;quote_volume_mean_6,liquidity,"TSMean(Clip(Clip(cross_symbol_zscore(ResidualizeVsCore4(Sub(ZScore(TSStd(quote_volume_mean_6,96)),ZScore(TSMean(number_of_trades,10))))),-4.0,4.0),-3.0,3.0),20)",e4802d7ef87b6f9e,72,generated_candidate,original,0.1822,False,False,selected_for_strict_replay,18.73311401000984,1.649891303602677,6.462645904115135,18.23207465609813,1.6602544822019027,6.489444385678296,18.14644057635923,1.5670337906361032,6.413160528536067,26.33087085094726,9.540226408676109,14.33729646589177,26.598359589915884,9.570652692650174,14.240227104095188,0.4102747475598687,0.4154567432275796,0.3567477081390668,0.4083036727700307,0.4149820667720175,0.3566459766526968,0.4083036727700307,0.4149820667720175,0.3566459766526968,0.4083036727700307,0.4149820667720175,0.3566459766526968,0.4083036727700307,0.4149820667720175,0.3566459766526968,367,7248,4296,367,7248,4296,367,7248,4296,367,7248,4296,367,7248,4296,-1.1829718240100835,0.953846153846154,0.0098462342494308,0.3906657917467938,-0.2315872287262875,A7O_PILOT_RESEARCH_CANDIDATE,,False,-0.2315872287262875,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_008
a7o_l1_C0137_0775,C0137,775,H06_liquidity_structure_ex_realized_vol_mul,P7_cross_symbol_relative,SafeDivZScore,H48,cross_symbol_rank,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,cs_z_mark_index_ratio;cs_z_ret_12,basis;price,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(SafeDiv(SafeDiv(ZScore(TSMean(cs_z_ret_12,60)),Clip(Abs(ZScore(TSMean(cs_z_mark_index_ratio,12))),0.2,1.5)),Clip(Abs(ZScore(TSStd(cs_z_mark_index_ratio,10))),0.05,6.0))))),-4.0,4.0),ZScore(TSStd(cs_z_ret_12,24)))",41ccdd457cdfef11,48,generated_candidate,original,0.2826,False,False,selected_for_strict_replay,2.4705607523798427,3.498608061036809,2.3148381264807223,2.6206394549268794,3.594611340710383,2.2518575785468538,2.248441902050557,3.1810639387660364,1.9178946231992933,7.027816355787324,7.702168858569816,6.315435840402381,7.1875737763802645,7.739523559058641,6.249011017834003,0.4311816867259361,0.441057477018041,0.3417011307609912,0.4306236578463815,0.439496951313913,0.3420820244231087,0.4306236578463815,0.439496951313913,0.3420820244231087,0.4306236578463815,0.439496951313913,0.3420820244231087,0.4306236578463815,0.439496951313913,0.3420820244231087,391,7248,4296,391,7248,4296,391,7248,4296,391,7248,4296,391,7248,4296,-2.0,0.9230769230769232,0.0435408793541588,0.4001803652371459,-1.0878082967616165,A7O_PILOT_RESEARCH_CANDIDATE,,False,-1.0878082967616165,cell_quota,selected_for_deep_audit,global_liquidity_volatility_cap_15pct,28,0,rc_061
