candidate_decision,count,share
A7O_PILOT_MAY_VETOED_NEAR_MISS,166,0.8645833333333334
A7O_PILOT_RESEARCH_CANDIDATE,13,0.06770833333333333
A7O_PILOT_PRE_MAY_NEAR_MISS,7,0.036458333333333336
A7O_PILOT_REJECTED,6,0.03125
