candidate_id,candidate_decision,fail_raw_gross,fail_residual_gross,fail_raw_active_hours,fail_residual_active_hours,fail_raw_may_severe,fail_residual_funding_may_negative,raw_may,residual_funding_may,raw_may_gross,residual_may_gross,raw_may_active_hours,residual_may_active_hours
a7o_l1_C0004_0564,A7O_PILOT_MAY_VETOED_NEAR_MISS,True,True,True,True,False,False,0.0,0.0,0.0,0.0,0,0
a7o_l1_C0004_0180,A7O_PILOT_MAY_VETOED_NEAR_MISS,True,True,True,True,False,False,0.0,0.0,0.0,0.0,0,0
a7o_l1_C0004_2036,A7O_PILOT_MAY_VETOED_NEAR_MISS,True,True,True,True,False,False,0.0,0.0,0.0,0.0,0,0
a7o_l1_C0007_0757,A7O_PILOT_MAY_VETOED_NEAR_MISS,False,False,False,False,False,True,-0.36250902041782,-0.36250902041782,0.3488260206434039,0.3488260206434039,367,367
a7o_l1_C0007_0484,A7O_PILOT_MAY_VETOED_NEAR_MISS,False,False,False,False,True,True,-7.6444524965825345,-3.3627162575053124,0.3598551931369027,0.3598551931369027,367,367
a7o_l1_C0007_0581,A7O_PILOT_PRE_MAY_NEAR_MISS,False,False,False,False,False,False,0.7064247103542658,3.3851634020375183,0.3813483466878043,0.3813483466878043,367,367
a7o_l1_C0017_0372,A7O_PILOT_MAY_VETOED_NEAR_MISS,True,True,True,True,False,False,0.0,0.0,0.0,0.0,0,0
a7o_l1_C0017_0564,A7O_PILOT_MAY_VETOED_NEAR_MISS,True,True,True,True,False,False,0.0,0.0,0.0,0.0,0,0
a7o_l1_C0017_0177,A7O_PILOT_RESEARCH_CANDIDATE,False,False,False,False,False,False,18.23207465609813,26.598359589915884,0.4083036727700307,0.4083036727700307,367,367
a7o_l1_C0019_0387,A7O_PILOT_MAY_VETOED_NEAR_MISS,False,False,False,False,True,True,-2.107097101117738,-0.2125982871073723,0.4929845679681665,0.4929845679681665,415,415
a7o_l1_C0019_0949,A7O_PILOT_MAY_VETOED_NEAR_MISS,True,True,True,True,False,False,0.0,0.0,0.0,0.0,0,0
a7o_l1_C0019_1454,A7O_PILOT_MAY_VETOED_NEAR_MISS,False,False,False,False,True,True,-21.009472070289814,-16.42987397825889,0.3214169856550191,0.3214169856550191,367,367
a7o_l1_C0020_1255,A7O_PILOT_MAY_VETOED_NEAR_MISS,False,False,False,False,True,True,-26.12771400403572,-20.9571299727026,0.350170845724105,0.350170845724105,367,367
a7o_l1_C0020_1549,A7O_PILOT_MAY_VETOED_NEAR_MISS,False,False,False,False,True,False,-3.966447201087813,3.60524666214762,0.346527450635864,0.346527450635864,367,367
a7o_l1_C0020_2028,A7O_PILOT_MAY_VETOED_NEAR_MISS,False,False,False,False,True,True,-20.32986887523494,-13.827791175192347,0.331477222512882,0.331477222512882,367,367
a7o_l1_C0025_0193,A7O_PILOT_MAY_VETOED_NEAR_MISS,False,False,False,False,True,True,-16.650423995885163,-11.94380978986905,0.4001644543485779,0.4001644543485779,391,391
a7o_l1_C0025_0387,A7O_PILOT_MAY_VETOED_NEAR_MISS,False,False,False,False,True,False,-3.4821167926162837,0.1989222176967109,0.4908579781793384,0.4908579781793384,415,415
a7o_l1_C0025_0484,A7O_PILOT_MAY_VETOED_NEAR_MISS,False,False,False,False,True,True,-11.520567439418343,-4.746055391183609,0.3508454974139066,0.3508454974139066,367,367
a7o_l1_C0031_0373,A7O_PILOT_MAY_VETOED_NEAR_MISS,True,True,True,True,False,False,0.0,0.0,0.0,0.0,0,0
a7o_l1_C0031_0180,A7O_PILOT_MAY_VETOED_NEAR_MISS,True,True,True,True,False,False,0.0,0.0,0.0,0.0,0,0
a7o_l1_C0031_0949,A7O_PILOT_MAY_VETOED_NEAR_MISS,True,True,True,True,False,False,0.0,0.0,0.0,0.0,0,0
a7o_l1_C0032_0193,A7O_PILOT_MAY_VETOED_NEAR_MISS,False,False,False,False,True,True,-14.186734196705984,-8.698205131107693,0.4019347726393902,0.4019347726393902,391,391
a7o_l1_C0032_0387,A7O_PILOT_MAY_VETOED_NEAR_MISS,False,False,False,False,True,False,-4.592194262795403,0.2653751549197846,0.4943206115899443,0.4943206115899443,415,415
a7o_l1_C0032_0484,A7O_PILOT_MAY_VETOED_NEAR_MISS,False,False,False,False,True,True,-10.478082324100711,-4.052030769011789,0.3401233255987881,0.3401233255987881,367,367
a7o_l1_C0036_0678,A7O_PILOT_RESEARCH_CANDIDATE,False,False,False,False,False,False,20.110954234573345,22.45856693069588,0.424029728398794,0.424029728398794,391,391
