split,field_name,non_null_rate
train_2024,agg_cross_symbol_large_notional_share,1.0
train_2024,agg_cross_symbol_signed_flow_share,1.0
train_2024,agg_features_available,1.0
train_2024,agg_flow_accel_4h_vs_24h,0.9987462958741737
train_2024,agg_flow_imbalance_notional_24h,0.9987462958741737
train_2024,agg_large_notional_share_24h,0.9987462958741737
train_2024,agg_large_notional_share_4h,0.9998860268976522
train_2024,agg_notional_accel_4h_vs_24h,0.9987462958741737
train_2024,agg_signed_flow_z_24h,0.9987462958741737
train_2024,flow_pressure_score_v1,0.9952131297013904
train_2024,mark_index_basis_change_24h,0.9972646455436517
train_2024,open_interest_change_24h,0.9959349593495935
train_2024,premium_index_change_24h,0.9972646455436517
train_2024,ret_1,0.9998860268976522
train_2024,ret_24,0.9972646455436517
train_2024,symbol,1.0
train_2024,timestamp,1.0
train_2024,top_long_short_position_ratio_zscore_168h,0.9973786186459995
validation_2025H1,agg_cross_symbol_large_notional_share,1.0
validation_2025H1,agg_cross_symbol_signed_flow_share,1.0
validation_2025H1,agg_features_available,1.0
validation_2025H1,agg_flow_accel_4h_vs_24h,1.0
validation_2025H1,agg_flow_imbalance_notional_24h,1.0
validation_2025H1,agg_large_notional_share_24h,1.0
validation_2025H1,agg_large_notional_share_4h,1.0
validation_2025H1,agg_notional_accel_4h_vs_24h,1.0
validation_2025H1,agg_signed_flow_z_24h,1.0
validation_2025H1,flow_pressure_score_v1,1.0
validation_2025H1,mark_index_basis_change_24h,1.0
validation_2025H1,open_interest_change_24h,0.9995395948434622
validation_2025H1,premium_index_change_24h,1.0
validation_2025H1,ret_1,1.0
validation_2025H1,ret_24,1.0
validation_2025H1,symbol,1.0
validation_2025H1,timestamp,1.0
validation_2025H1,top_long_short_position_ratio_zscore_168h,1.0
recent_2025H2_2026Apr,agg_cross_symbol_large_notional_share,1.0
recent_2025H2_2026Apr,agg_cross_symbol_signed_flow_share,1.0
recent_2025H2_2026Apr,agg_features_available,1.0
recent_2025H2_2026Apr,agg_flow_accel_4h_vs_24h,1.0
recent_2025H2_2026Apr,agg_flow_imbalance_notional_24h,1.0
recent_2025H2_2026Apr,agg_large_notional_share_24h,1.0
recent_2025H2_2026Apr,agg_large_notional_share_4h,1.0
recent_2025H2_2026Apr,agg_notional_accel_4h_vs_24h,1.0
recent_2025H2_2026Apr,agg_signed_flow_z_24h,1.0
recent_2025H2_2026Apr,flow_pressure_score_v1,1.0
recent_2025H2_2026Apr,mark_index_basis_change_24h,1.0
recent_2025H2_2026Apr,open_interest_change_24h,0.9998629385964912
recent_2025H2_2026Apr,premium_index_change_24h,1.0
recent_2025H2_2026Apr,ret_1,1.0
recent_2025H2_2026Apr,ret_24,1.0
recent_2025H2_2026Apr,symbol,1.0
recent_2025H2_2026Apr,timestamp,1.0
recent_2025H2_2026Apr,top_long_short_position_ratio_zscore_168h,1.0
may_2026_stress,agg_cross_symbol_large_notional_share,1.0
may_2026_stress,agg_cross_symbol_signed_flow_share,1.0
may_2026_stress,agg_features_available,1.0
may_2026_stress,agg_flow_accel_4h_vs_24h,1.0
may_2026_stress,agg_flow_imbalance_notional_24h,1.0
may_2026_stress,agg_large_notional_share_24h,1.0
may_2026_stress,agg_large_notional_share_4h,1.0
may_2026_stress,agg_notional_accel_4h_vs_24h,1.0
may_2026_stress,agg_signed_flow_z_24h,1.0
may_2026_stress,flow_pressure_score_v1,1.0
may_2026_stress,mark_index_basis_change_24h,1.0
may_2026_stress,open_interest_change_24h,1.0
may_2026_stress,premium_index_change_24h,1.0
may_2026_stress,ret_1,1.0
may_2026_stress,ret_24,1.0
may_2026_stress,symbol,1.0
may_2026_stress,timestamp,1.0
may_2026_stress,top_long_short_position_ratio_zscore_168h,1.0
