open_minus_funding_ms,row_count
0,20664
3599984,48
3599985,36
3599986,48
3599987,84
3599988,72
3599989,192
3599990,288
3599991,228
3599992,300
3599993,564
3599994,492
3599995,816
3599996,828
3599997,1020
3599998,1392
3599999,4224
3600000,20664
7199984,48
7199985,36
7199986,48
7199987,84
7199988,72
7199989,192
7199990,288
7199991,228
7199992,300
7199993,564
7199994,492
7199995,816
7199996,828
7199997,1020
7199998,1392
7199999,4224
7200000,20664
10799984,48
10799985,36
10799986,48
10799987,84
10799988,72
10799989,192
10799990,288
10799991,228
10799992,300
10799993,564
10799994,492
10799995,816
10799996,828
10799997,1020
10799998,1392
10799999,4224
10800000,20664
14399984,48
14399985,36
14399986,48
14399987,84
14399988,72
14399989,192
14399990,288
14399991,228
14399992,300
14399993,564
14399994,492
14399995,816
14399996,828
14399997,1020
14399998,1392
14399999,4224
14400000,20664
17999984,48
17999985,36
17999986,48
17999987,84
17999988,72
17999989,192
17999990,288
17999991,228
17999992,300
17999993,564
17999994,492
17999995,816
17999996,828
17999997,1020
17999998,1392
17999999,4224
18000000,20664
21599984,48
21599985,36
21599986,48
21599987,84
21599988,72
21599989,192
21599990,288
21599991,228
21599992,300
21599993,564
21599994,492
21599995,816
21599996,828
21599997,1020
21599998,1392
21599999,4224
21600000,20664
25199984,48
25199985,36
25199986,48
25199987,84
25199988,72
25199989,192
25199990,288
25199991,228
25199992,300
25199993,564
25199994,492
25199995,816
25199996,828
25199997,1020
25199998,1392
25199999,4224
25200000,20664
28799984,24
28799985,12
28799986,12
28799987,24
28799988,60
28799989,144
28799990,192
28799991,96
28799992,120
28799993,300
28799994,228
28799995,372
28799996,372
28799997,516
28799998,768
28799999,1620
28800000,5772
