path,asset_kind,category,target_module,refactor_priority,bytes
runtime/a7aa0_label_feature_response_contract/a7aa0_authorization_matrix.json,runtime_artifact,experiment_registry,alphafactory_crypto/governance,10,342
runtime/a7aa0_label_feature_response_contract/a7aa0_candidate_primitive_fields.csv,runtime_artifact,promotion,alphafactory_crypto/promotion,40,2651
runtime/a7aa0_label_feature_response_contract/a7aa0_label_family_contract.csv,runtime_artifact,data_contracts,alphafactory_crypto/data_contracts,20,877
runtime/a7aa0_label_feature_response_contract/a7aa0_manifest.json,runtime_artifact,stage_entry_or_misc,manual_review,60,701
runtime/a7aa0_label_feature_response_contract/a7aa0_negative_control_contract.csv,runtime_artifact,data_contracts,alphafactory_crypto/data_contracts,20,190
runtime/a7aa0_label_feature_response_contract/a7aa0_transform_contract.csv,runtime_artifact,data_contracts,alphafactory_crypto/data_contracts,20,252
runtime/a7aa1_primitive_response_map/a7aa1_authorization_matrix.json,runtime_artifact,experiment_registry,alphafactory_crypto/governance,10,361
runtime/a7aa1_primitive_response_map/a7aa1_decision_counts.csv,runtime_artifact,stage_entry_or_misc,manual_review,60,144
runtime/a7aa1_primitive_response_map/a7aa1_field_family_label_summary.csv,runtime_artifact,label_factory,alphafactory_crypto/labels,20,5619
runtime/a7aa1_primitive_response_map/a7aa1_manifest.json,runtime_artifact,stage_entry_or_misc,manual_review,60,838
runtime/a7aa1_primitive_response_map/a7aa1_primitive_response_candidates.csv,runtime_artifact,promotion,alphafactory_crypto/promotion,40,7764
runtime/a7aa1_primitive_response_map/a7aa1_primitive_response_map.csv,runtime_artifact,stage_entry_or_misc,manual_review,60,387125
runtime/a7aa2_feature_role_classification/a7aa2_authorization_matrix.json,runtime_artifact,experiment_registry,alphafactory_crypto/governance,10,347
runtime/a7aa2_feature_role_classification/a7aa2_family_role_summary.csv,runtime_artifact,stage_entry_or_misc,manual_review,60,285
runtime/a7aa2_feature_role_classification/a7aa2_feature_role_ledger.csv,runtime_artifact,feature_factory,alphafactory_crypto/features,20,3149
runtime/a7aa2_feature_role_classification/a7aa2_manifest.json,runtime_artifact,stage_entry_or_misc,manual_review,60,643
runtime/a7aa2_feature_role_classification/a7aa2_selector_rewrite_seed_policy.json,runtime_artifact,selector,alphafactory_crypto/selectors,30,1168
runtime/a7aa2_feature_role_classification/a7aa2_selector_seed_fields.csv,runtime_artifact,selector,alphafactory_crypto/selectors,30,1077
runtime/a7aa3_selector_rewrite_contract/a7aa3_allowed_selector_seed_fields.csv,runtime_artifact,selector,alphafactory_crypto/selectors,30,1077
runtime/a7aa3_selector_rewrite_contract/a7aa3_authorization_matrix.json,runtime_artifact,experiment_registry,alphafactory_crypto/governance,10,356
runtime/a7aa3_selector_rewrite_contract/a7aa3_blocked_primary_fields_until_response_evidence.csv,runtime_artifact,stage_entry_or_misc,manual_review,60,477
runtime/a7aa3_selector_rewrite_contract/a7aa3_manifest.json,runtime_artifact,stage_entry_or_misc,manual_review,60,528
runtime/a7aa3_selector_rewrite_contract/a7aa3_selector_rewrite_contract.json,runtime_artifact,data_contracts,alphafactory_crypto/data_contracts,20,1032
runtime/a7ab0_selector_rewrite_dryrun_contract/a7ab0_allowed_seed_fields.csv,runtime_artifact,stage_entry_or_misc,manual_review,60,1077
runtime/a7ab0_selector_rewrite_dryrun_contract/a7ab0_authorization_matrix.json,runtime_artifact,experiment_registry,alphafactory_crypto/governance,10,354
runtime/a7ab0_selector_rewrite_dryrun_contract/a7ab0_manifest.json,runtime_artifact,stage_entry_or_misc,manual_review,60,935
