path,asset_kind,category,target_module,refactor_priority,bytes
reports/CRYPTO_A7AA0_LABEL_FEATURE_RESPONSE_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,9656
reports/CRYPTO_A7AA1_PRIMITIVE_RESPONSE_MAP_20260529.md,report,stage_entry_or_misc,manual_review,60,30938
reports/CRYPTO_A7AA2_FEATURE_ROLE_CLASSIFICATION_20260529.md,report,feature_factory,alphafactory_crypto/features,20,15685
reports/CRYPTO_A7AA3_SELECTOR_REWRITE_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,5612
reports/CRYPTO_A7AB0_SELECTOR_REWRITE_DRYRUN_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,5408
reports/CRYPTO_A7AB1_SELECTOR_REWRITE_DRYRUN_20260529.md,report,selector,alphafactory_crypto/selectors,30,12126
reports/CRYPTO_A7AB2_SEED_CONSTRAINED_MICRO_GENERATION_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,10771
reports/CRYPTO_A7AB3_SEED_CONSTRAINED_DRY_GENERATION_20260529.md,report,stage_entry_or_misc,manual_review,60,18383
reports/CRYPTO_A7AB4_MATERIALIZATION_PREFLIGHT_20260529.md,report,replay_engine,alphafactory_crypto/replay,20,12916
reports/CRYPTO_A7AB5_NUMERIC_REPLAY_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,16065
reports/CRYPTO_A7AB6_SMALL_NUMERIC_REPLAY_PREFLIGHT_20260529.md,report,replay_engine,alphafactory_crypto/replay,20,36643
reports/CRYPTO_A7AB7_CLUE_FORENSIC_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,5238
reports/CRYPTO_A7AB8_CLUE_FORENSIC_EXECUTION_20260529.md,report,stage_entry_or_misc,manual_review,60,31715
reports/CRYPTO_A7AB9_SURVIVOR_FREEZE_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,8802
reports/CRYPTO_A7AC0_REPRESENTATIVE_FORENSIC_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,11022
reports/CRYPTO_A7AC1_REPRESENTATIVE_FORENSIC_EXECUTION_20260529.md,report,stage_entry_or_misc,manual_review,60,19638
reports/CRYPTO_A7AC1R_REPRESENTATIVE_QUARANTINE_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,12367
reports/CRYPTO_A7AC2_LABEL_DIVERSIFICATION_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,9964
reports/CRYPTO_A7AC3_LABEL_DIVERSIFICATION_DIAGNOSTIC_20260529.md,report,label_factory,alphafactory_crypto/labels,20,19503
reports/CRYPTO_A7AD0_RANKED_LABEL_TRANSLATION_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,5399
reports/CRYPTO_A7AD1_RANKED_LABEL_TRANSLATION_AUDIT_20260529.md,report,label_factory,alphafactory_crypto/labels,20,20162
reports/CRYPTO_A7AE0_LABEL_ADEQUACY_EXTENSION_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,8843
reports/CRYPTO_A7AE1_LABEL_ADEQUACY_RESPONSE_MAP_20260529.md,report,label_factory,alphafactory_crypto/labels,20,124585
reports/CRYPTO_A7AE2_LABEL_ADEQUACY_ROLE_REVIEW_20260529.md,report,label_factory,alphafactory_crypto/labels,20,31382
reports/CRYPTO_A7AF0_ROLE_AWARE_SELECTOR_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,16126
reports/CRYPTO_A7AF1_ROLE_AWARE_SELECTOR_DRYRUN_20260529.md,report,selector,alphafactory_crypto/selectors,30,62240
reports/CRYPTO_A7AG0_ROLE_AWARE_GENERATION_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,6559
reports/CRYPTO_A7AG1_STATIC_BLUEPRINT_DRYRUN_20260529.md,report,stage_entry_or_misc,manual_review,60,87991
reports/CRYPTO_A7AG2_NUMERIC_REPLAY_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,101690
reports/CRYPTO_A7AG3_NUMERIC_REPLAY_PILOT_20260529.md,report,replay_engine,alphafactory_crypto/replay,20,51314
reports/CRYPTO_A7AG4_CLUE_FORENSIC_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,5945
reports/CRYPTO_A7AG5_CLUE_FORENSIC_AUDIT_20260529.md,report,stage_entry_or_misc,manual_review,60,4863
reports/CRYPTO_A7AH0_CORE12_AGGTRADES_FINAL_HANDOFF_AUDIT_20260524.md,report,stage_entry_or_misc,manual_review,60,27877
reports/CRYPTO_A7AH0_POST_A7AG_ROLE_SPLIT_DECISION_20260529.md,report,stage_entry_or_misc,manual_review,60,5267
reports/CRYPTO_A7AH1_ORDINARY_ALPHA_OBJECTIVE_REWRITE_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,4546
reports/CRYPTO_A7AH1D_ORDINARY_ALPHA_DRY_RERANK_20260529.md,report,selector,alphafactory_crypto/selectors,30,35164
reports/CRYPTO_A7AH2_DOWNSIDE_RISK_DEFENSE_FORENSIC_CONTRACT_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,7090
reports/CRYPTO_A7AH2F_DOWNSIDE_RISK_DEFENSE_FORENSIC_AUDIT_20260529.md,report,stage_entry_or_misc,manual_review,60,51731
reports/CRYPTO_A7AI0_CORE12_AGGTRADES_EXPERIMENT_CONTRACT_20260524.md,report,data_contracts,alphafactory_crypto/data_contracts,20,11335
reports/CRYPTO_A7AI0R_CORE12_AGGTRADES_UNIFIED_FEATURE_BUILD_20260524.md,report,feature_factory,alphafactory_crypto/features,20,10190
reports/CRYPTO_A7AIF0_FIELD_CONTRACT_ENFORCEMENT_LEDGER_20260529.md,report,data_contracts,alphafactory_crypto/data_contracts,20,13959
reports/CRYPTO_A7AIF1_ENGINE_ENFORCEMENT_GAP_AUDIT_20260529.md,report,formula_generator,alphafactory_crypto/generators,30,10408
reports/CRYPTO_A7AJ0_UNIVERSE500_SILVER_ACCEPTANCE_20260525.md,report,stage_entry_or_misc,manual_review,60,13383
reports/CRYPTO_A7AJ1_UNIVERSE300_SEARCH_PANEL_PREP_20260525.md,report,stage_entry_or_misc,manual_review,60,3006
reports/CRYPTO_A7AK_LV0_LISTING_AGE_LATENT_VARIABLE_CONTRACT_20260526.md,report,data_contracts,alphafactory_crypto/data_contracts,20,18156
reports/CRYPTO_A7AK_LV1_LATENT_STATE_FEATURE_BUILD_20260527.md,report,feature_factory,alphafactory_crypto/features,20,26784
reports/CRYPTO_A7AK_LV2_RESPONSE_MERGE_AUDIT_20260527.md,report,stage_entry_or_misc,manual_review,60,59071
